t,seg,active_gate,thrust,thrust_cmd,base_thrust,vtrim,descent_on,gate_v_ok,gate_found,u_err,v_err,size_frac,cy,steer,bank_seg,ff_bank_deg,trim_deg,des_roll_deg,roll_n,est_pitch_deg,gyro_pitch,des_pitch_deg,pitch_n,tube_found,u_tube,curvature,area_frac,est_roll_deg,hold_on,loop_hz,det_hz
0.015645,0,0,0.276637,0.276637,0.2750,+0.00164,0,1,1,+0.02091,-0.01023,0.08127,178.16,0,0,+0.000,+0.000,+0.000,+0.00000,-17.803,+0.00000,0.00,+0.00000,1,-0.01828,+0.00105,0.01856,+0.009,0,0.0,0.0
0.050672,0,0,0.276784,0.276784,0.2750,+0.00178,0,1,1,+0.02092,-0.01038,0.08108,178.13,0,0,+0.000,+0.000,+0.000,+0.00000,-17.803,+0.00000,0.00,+0.00000,1,-0.01680,-0.00206,0.01853,+0.010,0,0.0,0.0
0.081845,0,0,0.278193,0.278193,0.2750,+0.00319,0,1,1,+0.02189,-0.01183,0.08184,177.87,0,0,+0.000,+0.000,+0.000,+0.00000,-17.834,-0.00705,0.00,+0.00000,1,-0.01561,-0.00355,0.01834,+0.024,0,0.0,0.0
0.110389,0,0,0.277113,0.277113,0.2750,+0.00211,0,1,1,+0.02102,-0.01096,0.08146,178.03,0,0,+0.000,+0.000,+0.000,+0.00000,-17.517,-0.00103,0.00,+0.00000,1,-0.01703,-0.00081,0.01810,+0.033,0,0.0,0.0
0.138595,0,0,0.279618,0.279618,0.2750,+0.00462,0,1,1,+0.02204,-0.01351,0.08278,177.57,0,0,+0.000,+0.000,+0.000,+0.00000,-16.579,+0.00028,0.00,+0.00000,1,-0.01611,-0.00446,0.01795,+0.034,0,0.0,0.0
0.167635,0,0,0.280518,0.280518,0.2750,+0.00552,0,1,1,+0.02211,-0.01481,0.08333,177.33,0,0,+0.000,+0.000,+0.000,+0.00000,-15.599,+0.00557,0.00,+0.00000,1,-0.01809,-0.00351,0.01782,+0.032,0,0.0,0.0
0.196148,0,0,0.281626,0.281626,0.2750,+0.00663,0,1,1,+0.02236,-0.01643,0.08425,177.04,0,0,+0.000,+0.000,+0.000,+0.00000,-14.372,+0.00064,0.00,+0.00000,1,-0.01410,-0.00796,0.01782,+0.030,0,0.0,0.0
0.225574,0,0,0.280970,0.280970,0.2750,+0.00597,0,1,1,+0.02236,-0.01643,0.08425,177.04,0,0,+0.000,+0.000,+0.000,+0.00000,-13.500,+0.00061,0.00,+0.00000,1,-0.01410,-0.00796,0.01782,+0.028,0,0.0,0.0
0.254552,0,0,0.284090,0.284090,0.2750,+0.00909,0,1,1,+0.02154,-0.02009,0.08607,176.38,0,0,+0.000,+0.000,+0.000,+0.00000,-12.745,+0.00086,0.00,+0.00000,1,-0.01017,-0.01291,0.01784,+0.027,0,0.0,0.0
0.283789,0,0,0.283131,0.283131,0.2750,+0.00813,0,1,1,+0.02154,-0.02009,0.08607,176.38,0,0,+0.000,+0.000,+0.000,+0.00000,-12.298,+0.00079,0.00,+0.00000,1,-0.01017,-0.01291,0.01784,+0.026,0,0.0,0.0
0.310855,0,0,0.282473,0.282473,0.2750,+0.00747,0,1,1,+0.02154,-0.02019,0.08607,176.37,0,0,+0.000,+0.000,+0.000,+0.00000,-11.584,+0.00063,0.00,+0.00000,1,-0.01157,-0.01223,0.01833,+0.024,0,0.0,0.0
0.341189,0,0,0.281428,0.281428,0.2750,+0.00643,0,1,1,+0.02168,-0.01985,0.08589,176.43,0,0,+0.000,+0.000,+0.000,+0.00000,-10.869,+0.00055,0.00,+0.00000,1,-0.01955,-0.00256,0.01908,+0.023,0,0.0,0.0
0.370552,0,0,0.281035,0.281035,0.2750,+0.00603,0,1,1,+0.02131,-0.01999,0.08589,176.40,0,0,+0.000,+0.000,+0.000,+0.00000,-10.206,+0.00050,0.00,+0.00000,1,-0.17045,+0.13661,0.03846,+0.022,0,0.0,0.0
0.400067,0,0,0.279264,0.279264,0.2750,+0.00426,0,1,1,+0.02036,-0.01868,0.08407,176.64,0,0,+0.000,+0.000,+0.000,+0.00000,-9.513,+0.00044,0.00,+0.00000,1,-0.01057,-0.03638,0.12335,+0.020,0,0.0,0.0
0.428756,0,0,0.275872,0.275872,0.2750,+0.00087,0,1,1,+0.01845,-0.01549,0.08012,177.21,0,0,+0.000,+0.000,+0.000,+0.00000,-8.790,+0.00038,0.00,+0.00000,1,-0.00580,+0.00498,0.17843,+0.019,0,0.0,0.0
0.457731,0,0,0.264956,0.264956,0.2750,-0.01004,0,1,1,+0.01553,-0.00429,0.07093,179.23,0,0,+0.000,+0.000,+0.000,+0.00000,-8.299,+0.00034,0.00,+0.00000,1,-0.00437,+0.00522,0.18740,+0.018,0,0.0,0.0
0.484854,0,0,0.266600,0.266600,0.2750,-0.00840,0,1,1,+0.01553,-0.00429,0.07093,179.23,0,0,+0.000,+0.000,+0.000,+0.00000,-8.024,+0.00031,0.00,+0.00000,1,-0.00437,+0.00522,0.18740,+0.017,0,0.0,0.0
0.520175,0,0,0.249419,0.249419,0.2750,-0.02558,0,1,1,+0.01729,+0.01522,0.05853,182.74,0,0,+0.000,+0.000,+0.000,+0.00000,-7.526,+0.00026,0.00,+0.00000,1,-0.01080,+0.01243,0.15462,+0.016,0,0.0,0.0
0.549777,0,0,0.253234,0.253234,0.2750,-0.02177,0,1,1,+0.01729,+0.01522,0.05853,182.74,0,0,+0.000,+0.000,+0.000,+0.00000,-7.027,+0.00022,0.00,+0.00000,1,-0.01080,+0.01243,0.15462,+0.015,0,0.0,0.0
0.577663,0,0,0.256831,0.256831,0.2750,-0.01817,0,1,1,+0.01880,+0.01465,0.06455,182.64,0,0,+0.000,+0.000,+0.000,+0.00000,-6.913,+0.00020,0.00,+0.00000,1,-0.00139,-0.00046,0.10829,+0.014,0,0.0,0.0
0.605672,0,0,0.265543,0.265543,0.2750,-0.00946,0,1,1,+0.02154,+0.00844,0.06804,181.52,0,0,+0.000,+0.000,+0.000,+0.00000,-6.913,+0.00017,0.00,+0.00000,1,-0.01543,+0.01262,0.08751,+0.015,0,0.0,0.0
0.634011,0,0,0.264445,0.264445,0.2750,-0.01055,0,1,1,+0.02070,+0.01083,0.06961,181.95,0,0,+0.000,+0.000,+0.000,+0.00000,-6.834,+0.00015,0.00,+0.00000,1,-0.10143,+0.09966,0.06200,+0.014,0,0.0,0.0
0.662745,0,0,0.268502,0.268502,0.2750,-0.00650,0,1,1,+0.02230,+0.00819,0.07265,181.47,0,0,+0.000,+0.000,+0.000,+0.00000,-6.417,+0.00014,0.00,+0.00000,1,-0.06234,+0.05784,0.04629,+0.013,0,0.0,0.0
0.689829,0,0,0.269296,0.269296,0.2750,-0.00570,0,1,1,+0.02230,+0.00819,0.07265,181.47,0,0,+0.000,+0.000,+0.000,+0.00000,-6.112,+0.00012,0.00,+0.00000,1,-0.06234,+0.05784,0.04629,+0.013,0,0.0,0.0
0.718123,0,0,0.273144,0.273144,0.2750,-0.00186,0,1,1,+0.02130,+0.00504,0.07738,180.91,0,0,+0.000,+0.000,+0.000,+0.00000,-5.839,+0.00011,0.00,+0.00000,1,-0.07040,+0.05510,0.03632,+0.012,0,0.0,0.0
0.745877,0,0,0.278952,0.278952,0.2750,+0.00395,0,1,1,+0.02060,-0.00058,0.08051,179.90,0,0,+0.000,+0.000,+0.000,+0.00000,-5.617,+0.00009,0.00,+0.00000,1,-0.10958,+0.07956,0.02947,+0.011,0,0.0,0.0
0.772741,0,0,0.279576,0.279576,0.2750,+0.00458,0,1,1,+0.02028,-0.00178,0.08089,179.68,0,0,+0.000,+0.000,+0.000,+0.00000,-5.306,+0.00008,0.00,+0.00000,1,-0.08754,+0.04721,0.02464,+0.011,0,0.0,0.0
