t,seg,active_gate,thrust,gate_found,v_err,size_frac,cy,est_pitch_deg,gyro_pitch,des_pitch_deg,pitch_n,tube_found,u_tube,curvature,area_frac,est_roll_deg,hold_on,loop_hz,det_hz
0.0200,0,0,0.2750,1,-0.00514,0.07876,179.07,-17.802,+0.00000,-17.80,+0.00000,1,-0.01433,-0.00316,0.01935,+0.016,0,0.0,0.0
0.0554,0,0,0.2750,1,-0.00699,0.07954,178.74,-17.802,+0.00000,-17.80,+0.00000,1,-0.01248,-0.00562,0.01911,+0.016,0,0.0,0.0
0.0844,0,0,0.2750,1,-0.00816,0.07993,178.53,-17.877,-0.00985,-17.80,+0.00000,1,-0.01118,-0.00798,0.01898,-0.006,0,0.0,0.0
0.1141,0,0,0.2750,1,-0.00816,0.07993,178.53,-17.530,-0.00005,-17.80,+0.00000,1,-0.01118,-0.00798,0.01898,+0.007,0,0.0,0.0
0.1428,0,0,0.2750,1,-0.00916,0.08070,178.35,-16.816,-0.00100,-17.80,+0.00000,1,-0.01810,+0.00102,0.01863,+0.007,0,0.0,0.0
0.1743,0,0,0.2750,1,-0.00964,0.08089,178.26,-15.670,-0.00060,-17.80,+0.00000,1,-0.01917,+0.00173,0.01849,+0.139,0,0.0,0.0
0.2057,0,0,0.2750,1,-0.01394,0.08315,177.49,-14.481,+0.00458,-17.80,+0.00000,1,-0.01936,-0.00057,0.01834,+0.267,0,0.0,0.0
0.2357,0,0,0.2750,1,-0.01394,0.08315,177.49,-13.765,+0.00056,-17.80,+0.00000,1,-0.01936,-0.00057,0.01834,+0.330,0,0.0,0.0
0.2629,0,0,0.2750,1,-0.01191,0.08032,177.86,-12.987,+0.00081,-17.80,+0.00000,1,-0.01357,-0.00474,0.01832,+0.370,0,0.0,0.0
0.2892,0,0,0.2750,1,-0.01440,0.08165,177.41,-12.330,+0.00100,-17.80,+0.00000,1,-0.01880,+0.00044,0.01790,+0.408,0,0.0,0.0
0.3185,0,0,0.2750,1,-0.01288,0.08240,177.68,-11.629,+0.00077,-17.80,+0.00000,1,-0.02701,+0.00579,0.01812,+0.433,0,0.0,0.0
0.3477,0,0,0.2750,1,-0.01288,0.08240,177.68,-11.274,+0.00071,-17.80,+0.00000,1,-0.02701,+0.00579,0.01812,+0.437,0,0.0,0.0
0.3765,0,0,0.2750,1,-0.01369,0.08315,177.54,-10.440,+0.00060,-17.80,+0.00000,1,-0.02044,-0.00108,0.01806,+0.468,0,0.0,0.0
0.4032,0,0,0.2750,1,-0.01369,0.08315,177.54,-9.829,+0.00055,-17.80,+0.00000,1,-0.02044,-0.00108,0.01806,+0.512,0,0.0,0.0
0.4296,0,0,0.2750,1,-0.01291,0.08278,177.68,-9.303,+0.00049,-17.80,+0.00000,1,-0.03273,+0.01236,0.01844,+0.541,0,0.0,0.0
0.4585,0,0,0.2750,1,-0.01400,0.08221,177.48,-8.899,+0.00043,-17.80,+0.00000,1,-0.04036,+0.02117,0.01927,+0.549,0,0.0,0.0
0.4892,0,0,0.2750,1,-0.01524,0.08203,177.26,-8.277,+0.00037,-17.80,+0.00000,1,-0.14152,+0.11594,0.02490,+0.572,0,0.0,0.0
0.5156,0,0,0.2750,1,-0.01575,0.08425,177.17,-7.851,+0.00033,-17.80,+0.00000,1,-0.03433,-0.02987,0.11916,+0.604,0,0.0,0.0
0.5431,0,0,0.2750,1,-0.01575,0.08425,177.17,-7.289,+0.00028,-17.80,+0.00000,1,-0.03433,-0.02987,0.11916,+0.773,0,0.0,0.0
0.5714,0,0,0.2750,1,-0.00356,0.07857,179.36,-6.942,+0.00026,-17.80,+0.00000,1,-0.01094,+0.01536,0.17854,+0.954,0,0.0,0.0
0.6009,0,0,0.2750,1,+0.01621,0.06961,182.92,-6.586,+0.00023,-17.80,+0.00000,1,-0.00972,+0.01675,0.20051,+1.013,0,0.0,0.0
0.6269,0,0,0.2750,1,+0.02289,0.06781,184.12,-6.278,+0.00020,-17.80,+0.00000,1,-0.01394,+0.02268,0.18996,+0.983,0,0.0,0.0
0.6578,0,0,0.2750,1,+0.01677,0.07049,183.02,-5.849,+0.00018,-17.80,+0.00000,1,-0.01200,+0.02115,0.15135,+0.803,0,0.0,0.0
0.6852,0,0,0.2750,1,+0.00916,0.07495,181.65,-5.580,+0.00016,-17.80,+0.00000,1,+0.00551,+0.00503,0.10858,+0.681,0,0.0,0.0
0.7160,0,0,0.2750,1,+0.00226,0.07798,180.41,-5.202,+0.00014,-17.80,+0.00000,1,-0.12056,+0.13518,0.07002,+0.573,0,0.0,0.0
0.7430,0,0,0.2750,1,-0.00597,0.08089,178.92,-4.987,+0.00012,-17.80,+0.00000,1,-0.20663,+0.22295,0.04914,+0.486,0,0.0,0.0
0.7723,0,0,0.2750,1,-0.00941,0.08278,178.31,-4.889,+0.00011,-17.80,+0.00000,1,-0.24166,+0.25854,0.03695,+0.466,0,0.0,0.0
0.7979,0,0,0.2750,1,-0.00941,0.08278,178.31,-4.708,+0.00009,-17.80,+0.00000,1,-0.24166,+0.25854,0.03695,+0.764,0,0.0,0.0
0.8263,0,0,0.2750,1,-0.01033,0.08660,178.14,-4.516,+0.00008,-17.80,+0.00000,1,-0.29755,+0.30001,0.02922,+1.096,0,0.0,0.0
0.8526,0,0,0.2750,1,-0.01066,0.08278,178.08,-4.420,+0.00008,-17.80,+0.00000,1,-0.31783,+0.30462,0.02098,+1.467,0,0.0,0.0
0.8827,0,0,0.2750,1,-0.00404,0.08240,179.27,-4.070,+0.00006,-17.80,+0.00000,0,+0.00000,+0.00000,0.01350,+1.896,0,0.0,0.0
0.9081,0,0,0.2750,1,-0.00788,0.08370,178.58,-3.994,+0.00006,-17.80,+0.00000,0,+0.00000,+0.00000,0.01073,+2.268,0,0.0,0.0
0.9357,0,0,0.2750,1,-0.00788,0.08370,178.58,-3.900,+0.00005,-17.80,+0.00000,0,+0.00000,+0.00000,0.01073,+2.453,0,0.0,0.0
