t,seg,active_gate,thrust,gate_found,v_err,size_frac,cy,est_pitch_deg,gyro_pitch,des_pitch_deg,pitch_n,tube_found,u_tube,curvature,area_frac,est_roll_deg,hold_on,loop_hz,det_hz
0.0084,0,0,0.2750,1,+0.05078,0.05152,189.14,-17.803,+0.00000,-17.80,+0.00000,1,-0.00722,+0.00814,0.14229,+0.015,0,0.0,0.0
0.0418,0,0,0.2750,1,+0.04861,0.05443,188.75,-17.803,+0.00000,-17.80,+0.00000,1,-0.01344,+0.01271,0.10822,+0.015,0,0.0,0.0
0.0699,0,0,0.2750,1,+0.04861,0.05443,188.75,-17.815,-0.02836,-17.80,+0.00000,1,-0.01344,+0.01271,0.10822,+0.016,0,0.0,0.0
0.0972,0,0,0.2750,1,+0.00895,0.06550,181.61,-17.567,-0.00130,-17.80,+0.00000,1,-0.01433,+0.01093,0.08102,+0.003,0,0.0,0.0
0.1266,0,0,0.2750,1,-0.00192,0.06939,179.65,-16.585,-0.00001,-17.80,+0.00000,1,-0.01841,+0.01339,0.06104,+0.002,0,0.0,0.0
0.1580,0,0,0.2750,1,-0.00715,0.07265,178.71,-15.714,+0.00348,-17.80,+0.00000,1,-0.04773,+0.04149,0.04833,+0.057,0,0.0,0.0
0.1841,0,0,0.2750,1,-0.00648,0.07349,178.83,-14.724,+0.00365,-17.80,+0.00000,1,-0.03262,+0.02561,0.03923,+0.110,0,0.0,0.0
0.2124,0,0,0.2750,1,-0.00931,0.07556,178.32,-13.557,+0.00077,-17.80,+0.00000,1,-0.02132,+0.01203,0.03493,+0.198,0,0.0,0.0
0.2444,0,0,0.2750,1,-0.00931,0.07556,178.32,-12.764,+0.00083,-17.80,+0.00000,1,-0.02132,+0.01203,0.03493,+0.280,0,0.0,0.0
0.2718,0,0,0.2750,1,-0.00910,0.07495,178.36,-11.787,+0.00104,-17.80,+0.00000,1,-0.01521,+0.00213,0.03153,+0.327,0,0.0,0.0
0.3000,0,0,0.2750,1,-0.01060,0.07349,178.09,-11.145,+0.00088,-17.80,+0.00000,1,-0.00802,-0.00683,0.02956,+0.345,0,0.0,0.0
0.3284,0,0,0.2750,1,-0.01075,0.07536,178.07,-10.556,+0.00077,-17.80,+0.00000,1,-0.01412,-0.00301,0.02862,+0.360,0,0.0,0.0
0.3558,0,0,0.2750,1,-0.01293,0.07896,177.67,-9.855,+0.00069,-17.80,+0.00000,1,-0.01703,-0.00211,0.02805,+0.349,0,0.0,0.0
0.3861,0,0,0.2750,1,-0.01454,0.07935,177.38,-9.202,+0.00059,-17.80,+0.00000,1,-0.02477,+0.00601,0.02767,+0.284,0,0.0,0.0
0.4154,0,0,0.2750,1,-0.01621,0.08032,177.08,-8.601,+0.00052,-17.80,+0.00000,1,-0.02773,+0.00761,0.02739,+0.241,0,0.0,0.0
0.4469,0,0,0.2750,1,-0.01566,0.08051,177.18,-7.967,+0.00045,-17.80,+0.00000,1,-0.03174,+0.00856,0.02777,+0.201,0,0.0,0.0
0.4764,0,0,0.2750,1,-0.01864,0.08240,176.65,-7.412,+0.00039,-17.80,+0.00000,1,-0.04648,+0.02221,0.02764,+0.165,0,0.0,0.0
0.5048,0,0,0.2750,1,-0.01864,0.08240,176.65,-7.319,+0.00037,-17.80,+0.00000,1,-0.04648,+0.02221,0.02764,+0.137,0,0.0,0.0
0.5350,0,0,0.2750,1,-0.02045,0.08352,176.32,-6.910,+0.00031,-17.80,+0.00000,1,-0.04603,+0.01699,0.02763,+0.118,0,0.0,0.0
0.5640,0,0,0.2750,1,-0.01929,0.08444,176.53,-6.429,+0.00027,-17.80,+0.00000,1,-0.05733,+0.02845,0.02754,+0.097,0,0.0,0.0
0.5920,0,0,0.2750,1,-0.01823,0.08498,176.72,-6.113,+0.00024,-17.80,+0.00000,1,-0.05613,+0.02892,0.02674,+0.084,0,0.0,0.0
0.6216,0,0,0.2750,1,-0.01655,0.08589,177.02,-5.951,+0.00021,-17.80,+0.00000,1,-0.04395,+0.01649,0.02425,+0.069,0,0.0,0.0
0.6505,0,0,0.2750,1,-0.01685,0.08607,176.97,-5.646,+0.00018,-17.80,+0.00000,1,-0.04764,+0.02325,0.02264,+0.056,0,0.0,0.0
0.6795,0,0,0.2750,1,-0.01713,0.08642,176.92,-5.316,+0.00017,-17.80,+0.00000,1,-0.07478,+0.05074,0.02020,+0.049,0,0.0,0.0
0.7071,0,0,0.2750,1,-0.01753,0.08678,176.84,-5.090,+0.00015,-17.80,+0.00000,1,-0.15338,+0.12772,0.01803,+0.041,0,0.0,0.0
0.7362,0,0,0.2750,1,-0.01753,0.08678,176.84,-4.866,+0.00013,-17.80,+0.00000,1,-0.15338,+0.12772,0.01803,+0.035,0,0.0,0.0
0.7681,0,0,0.2750,1,-0.01664,0.08625,177.00,-4.634,+0.00011,-17.80,+0.00000,1,-0.15016,+0.12168,0.01625,+0.028,0,0.0,0.0
0.7993,0,0,0.2750,1,-0.02365,0.08906,175.74,-4.436,+0.00010,-17.80,+0.00000,1,-0.21241,+0.17702,0.01466,+0.021,0,0.0,0.0
0.8285,0,0,0.2750,1,-0.02420,0.08924,175.64,-4.325,+0.00009,-17.80,+0.00000,1,-0.33134,+0.28745,0.01332,+0.017,0,0.0,0.0
0.8562,0,0,0.2750,1,-0.02309,0.08872,175.84,-4.142,+0.00008,-17.80,+0.00000,0,+0.00000,+0.00000,0.01150,+0.014,0,0.0,0.0
0.8844,0,0,0.2750,1,-0.02462,0.08958,175.57,-3.842,+0.00007,-17.80,+0.00000,0,+0.00000,+0.00000,0.02671,+0.014,0,0.0,0.0
0.9134,0,0,0.2750,1,-0.02369,0.08906,175.74,-3.741,+0.00006,-17.80,+0.00000,0,+0.00000,+0.00000,0.05595,+0.011,0,0.0,0.0
