t,seg,active_gate,thrust,thrust_cmd,base_thrust,vtrim,descent_on,gate_v_ok,gate_found,u_err,v_err,size_frac,cy,steer,des_roll_deg,roll_n,est_pitch_deg,gyro_pitch,des_pitch_deg,pitch_n,tube_found,u_tube,curvature,area_frac,est_roll_deg,hold_on,loop_hz,det_hz
0.012112,0,0,0.274137,0.274137,0.2750,-0.00086,0,1,1,+0.01824,+0.00539,0.07307,180.97,0,+0.000,+0.00000,-17.800,+0.00000,-17.80,+0.00000,1,-0.01766,+0.00599,0.01787,+0.010,0,0.0,0.0
0.045023,0,0,0.277248,0.277248,0.2750,+0.00225,0,1,1,+0.01805,+0.00099,0.07433,180.18,0,+0.000,+0.00000,-17.800,+0.00000,-17.80,+0.00000,1,-0.01782,+0.00710,0.01780,+0.010,0,0.0,0.0
0.074733,0,0,0.276850,0.276850,0.2750,+0.00185,0,1,1,+0.01805,+0.00099,0.07433,180.18,0,+0.000,+0.00000,-17.769,+0.00505,-17.80,+0.00000,1,-0.01782,+0.00710,0.01780,+0.008,0,0.0,0.0
0.102756,0,0,0.279266,0.279266,0.2750,+0.00427,0,1,1,+0.01783,-0.00279,0.07515,179.50,0,+0.000,+0.00000,-17.440,-0.00137,-17.80,+0.00000,1,-0.01950,+0.00869,0.01777,+0.006,0,0.0,0.0
0.132553,0,0,0.278406,0.278406,0.2750,+0.00341,0,1,1,+0.01827,-0.00248,0.07536,179.55,0,+0.000,+0.00000,-16.537,-0.00015,-17.80,+0.00000,1,-0.02326,+0.01250,0.01780,+0.007,0,0.0,0.0
0.164635,0,0,0.279340,0.279340,0.2750,+0.00434,0,1,1,+0.01771,-0.00454,0.07577,179.18,0,+0.000,+0.00000,-15.146,+0.00215,-17.80,+0.00000,1,-0.02142,+0.01103,0.01759,+0.007,0,0.0,0.0
0.193927,0,0,0.278817,0.278817,0.2750,+0.00382,0,1,1,+0.01848,-0.00463,0.07597,179.17,0,+0.000,+0.00000,-14.312,+0.00123,-17.80,+0.00000,1,-0.01781,+0.00666,0.01755,+0.007,0,0.0,0.0
0.223603,0,0,0.278096,0.278096,0.2750,+0.00310,0,1,1,+0.01895,-0.00434,0.07597,179.22,0,+0.000,+0.00000,-13.510,+0.00027,-17.80,+0.00000,1,-0.01942,+0.00817,0.01777,+0.007,0,0.0,0.0
0.251279,0,0,0.278517,0.278517,0.2750,+0.00352,0,1,1,+0.01868,-0.00544,0.07617,179.02,0,+0.000,+0.00000,-12.421,+0.00046,-17.80,+0.00000,1,-0.01241,+0.00166,0.01775,+0.007,0,0.0,0.0
0.277501,0,0,0.278037,0.278037,0.2750,+0.00304,0,1,1,+0.01822,-0.00532,0.07617,179.04,0,+0.000,+0.00000,-11.682,+0.00043,-17.80,+0.00000,1,-0.01395,+0.00241,0.01752,+0.007,0,0.0,0.0
0.308036,0,0,0.277667,0.277667,0.2750,+0.00267,0,1,1,+0.01822,-0.00532,0.07617,179.04,0,+0.000,+0.00000,-10.943,+0.00037,-17.80,+0.00000,1,-0.01395,+0.00241,0.01752,+0.007,0,0.0,0.0
0.337741,0,0,0.277455,0.277455,0.2750,+0.00246,0,1,1,+0.01920,-0.00544,0.07778,179.02,0,+0.000,+0.00000,-10.119,+0.00032,-17.80,+0.00000,1,-0.01536,+0.00387,0.01776,+0.007,0,0.0,0.0
0.366108,0,0,0.277064,0.277064,0.2750,+0.00206,0,1,1,+0.02001,-0.00525,0.07837,179.06,0,+0.000,+0.00000,-9.694,+0.00027,-17.80,+0.00000,1,-0.01453,+0.00687,0.01769,+0.006,0,0.0,0.0
0.395842,0,0,0.277062,0.277062,0.2750,+0.00206,0,1,1,+0.02204,-0.00553,0.07954,179.00,0,+0.000,+0.00000,-9.264,+0.00024,-17.80,+0.00000,1,-0.02551,+0.01777,0.01831,+0.006,0,0.0,0.0
0.423619,0,0,0.277404,0.277404,0.2750,+0.00240,0,1,1,+0.02175,-0.00626,0.07974,178.87,0,+0.000,+0.00000,-8.703,+0.00022,-17.80,+0.00000,1,-0.03792,+0.02657,0.01935,+0.006,0,0.0,0.0
0.451824,0,0,0.277547,0.277547,0.2750,+0.00255,0,1,1,+0.02056,-0.00676,0.07993,178.78,0,+0.000,+0.00000,-7.961,+0.00019,-17.80,+0.00000,1,-0.13247,+0.11778,0.02375,+0.006,0,0.0,0.0
0.481537,0,0,0.271593,0.271593,0.2750,-0.00341,0,1,1,+0.02202,+0.00121,0.07718,180.22,0,+0.000,+0.00000,-7.471,+0.00017,-17.80,+0.00000,1,-0.03237,-0.02879,0.10822,+0.006,0,0.0,0.0
0.509577,0,0,0.272099,0.272099,0.2750,-0.00290,0,1,1,+0.02202,+0.00121,0.07718,180.22,0,+0.000,+0.00000,-7.038,+0.00015,-17.80,+0.00000,1,-0.03237,-0.02879,0.10822,+0.005,0,0.0,0.0
0.540251,0,0,0.256096,0.256096,0.2750,-0.01890,0,1,1,+0.01759,+0.02428,0.06827,184.37,0,+0.000,+0.00000,-6.550,+0.00013,-17.80,+0.00000,1,-0.01349,+0.01467,0.16922,+0.005,0,0.0,0.0
0.568866,0,0,0.258502,0.258502,0.2750,-0.01650,0,1,1,+0.01759,+0.02428,0.06827,184.37,0,+0.000,+0.00000,-6.269,+0.00012,-17.80,+0.00000,1,-0.01349,+0.01467,0.16922,+0.005,0,0.0,0.0
0.596600,0,0,0.257210,0.257210,0.2750,-0.01779,0,1,1,+0.01871,+0.02879,0.06620,185.18,0,+0.000,+0.00000,-5.970,+0.00010,-17.80,+0.00000,1,-0.01519,+0.01674,0.16280,+0.005,0,0.0,0.0
0.622673,0,0,0.263687,0.263687,0.2750,-0.01131,0,1,1,+0.01919,+0.02258,0.06939,184.06,0,+0.000,+0.00000,-5.884,+0.00009,-17.80,+0.00000,1,-0.02559,+0.02528,0.12857,+0.005,0,0.0,0.0
0.651588,0,0,0.267818,0.267818,0.2750,-0.00718,0,1,1,+0.02039,+0.01856,0.07115,183.34,0,+0.000,+0.00000,-5.560,+0.00008,-17.80,+0.00000,1,-0.01718,+0.01153,0.08925,+0.004,0,0.0,0.0
0.682379,0,0,0.272529,0.272529,0.2750,-0.00247,0,1,1,+0.02087,+0.01296,0.07328,182.33,0,+0.000,+0.00000,-5.386,+0.00007,-17.80,+0.00000,1,-0.09265,+0.08337,0.05671,+0.004,0,0.0,0.0
0.710074,0,0,0.272591,0.272591,0.2750,-0.00241,0,1,1,+0.02087,+0.01296,0.07328,182.33,0,+0.000,+0.00000,-5.161,+0.00006,-17.80,+0.00000,1,-0.09265,+0.08337,0.05671,+0.004,0,0.0,0.0
0.739396,0,0,0.278102,0.278102,0.2750,+0.00310,0,1,1,+0.02054,+0.00536,0.07837,180.96,0,+0.000,+0.00000,-4.982,+0.00005,-17.80,+0.00000,1,-0.11450,+0.08780,0.03437,+0.004,0,0.0,0.0
0.767158,0,0,0.281661,0.281661,0.2750,+0.00666,0,1,1,+0.02023,-0.00042,0.08070,179.92,0,+0.000,+0.00000,-4.709,+0.00005,-17.80,+0.00000,1,-0.11199,+0.09719,0.02489,+0.004,0,0.0,0.0
0.794638,0,0,0.279714,0.279714,0.2750,+0.00471,0,1,1,+0.02098,+0.00086,0.07993,180.15,0,+0.000,+0.00000,-4.652,+0.00004,-17.80,+0.00000,1,-0.09564,+0.07561,0.01914,+0.004,0,0.0,0.0
0.822728,0,0,0.279762,0.279762,0.2750,+0.00476,0,1,1,+0.02138,-0.00027,0.07993,179.95,0,+0.000,+0.00000,-4.449,+0.00004,-17.80,+0.00000,0,+0.00000,+0.00000,0.01377,+0.003,0,0.0,0.0
0.849188,0,0,0.282670,0.282670,0.2750,+0.00767,0,1,1,+0.01901,-0.00524,0.08127,179.06,0,+0.000,+0.00000,-4.281,+0.00003,-17.80,+0.00000,0,+0.00000,+0.00000,0.01025,+0.003,0,0.0,0.0
0.878578,0,0,0.281632,0.281632,0.2750,+0.00663,0,1,1,+0.01761,-0.00536,0.08315,179.04,0,+0.000,+0.00000,-4.216,+0.00003,-17.80,+0.00000,0,+0.00000,+0.00000,0.00931,+0.003,0,0.0,0.0
0.909632,0,0,0.282151,0.282151,0.2750,+0.00715,0,1,1,+0.01711,-0.00748,0.08127,178.65,0,+0.000,+0.00000,-4.032,+0.00003,-17.80,+0.00000,0,+0.00000,+0.00000,0.00720,+0.003,0,0.0,0.0
0.936045,0,0,0.281260,0.281260,0.2750,+0.00626,0,1,1,+0.01711,-0.00748,0.08127,178.65,0,+0.000,+0.00000,-3.927,+0.00002,-17.80,+0.00000,0,+0.00000,+0.00000,0.00720,+0.003,0,0.0,0.0
0.961939,0,0,0.282677,0.282677,0.2750,+0.00768,0,1,1,+0.01659,-0.01044,0.07857,178.12,0,+0.000,+0.00000,-3.771,+0.00002,-17.80,+0.00000,0,+0.00000,+0.00000,0.00512,+0.002,0,0.0,0.0
0.987985,0,0,0.282112,0.282112,0.2750,+0.00711,0,1,1,+0.01583,-0.01089,0.07876,178.04,0,+0.000,+0.00000,-3.678,+0.00002,-17.80,+0.00000,0,+0.00000,+0.00000,0.00371,+0.002,0,0.0,0.0
1.013707,0,0,0.282338,0.282338,0.2750,+0.00734,0,1,1,+0.01666,-0.01228,0.07857,177.79,0,+0.000,+0.00000,-3.550,+0.00002,-17.80,+0.00000,0,+0.00000,+0.00000,0.00375,+0.002,0,35.9,34.9
1.039760,0,0,0.281543,0.281543,0.2750,+0.00654,0,1,1,+0.01666,-0.01228,0.07857,177.79,0,+0.000,+0.00000,-3.514,+0.00001,-17.80,+0.00000,0,+0.00000,+0.00000,0.00375,+0.002,0,35.9,34.9
1.064982,0,0,0.280816,0.280816,0.2750,+0.00582,0,1,1,+0.01380,-0.01218,0.07993,177.81,0,+0.000,+0.00000,-3.494,+0.00001,-17.80,+0.00000,0,+0.00000,+0.00000,0.00443,+0.002,0,35.9,34.9
1.092835,0,0,0.281575,0.281575,0.2750,+0.00658,0,1,1,+0.01354,-0.01407,0.08051,177.47,0,+0.000,+0.00000,-3.417,+0.00001,-17.80,+0.00000,0,+0.00000,+0.00000,0.00480,+0.002,0,35.9,34.9
1.119168,0,0,0.283317,0.283317,0.2750,+0.00832,0,1,1,+0.01406,-0.01736,0.08184,176.88,0,+0.000,+0.00000,-3.361,+0.00001,-17.80,+0.00000,0,+0.00000,+0.00000,0.00582,+0.002,0,35.9,34.9
1.144964,0,0,0.282504,0.282504,0.2750,+0.00750,0,1,1,+0.01406,-0.01736,0.08184,176.88,0,+0.000,+0.00000,-3.263,+0.00001,-17.80,+0.00000,0,+0.00000,+0.00000,0.00582,+0.002,0,35.9,34.9
1.173422,0,0,0.283625,0.283625,0.2750,+0.00862,0,1,1,+0.01386,-0.01996,0.08259,176.41,0,+0.000,+0.00000,-3.263,+0.00001,-17.80,+0.00000,0,+0.00000,+0.00000,0.00735,+0.002,0,35.9,34.9
1.201479,0,0,0.282251,0.282251,0.2750,+0.00725,0,1,1,+0.01438,-0.01924,0.08240,176.54,0,+0.000,+0.00000,-3.236,+0.00001,-17.80,+0.00000,0,+0.00000,+0.00000,0.00751,+0.002,0,35.9,34.9
1.224836,0,0,0.282569,0.282569,0.2750,+0.00757,0,1,1,+0.01454,-0.02044,0.08315,176.32,0,+0.000,+0.00000,-3.225,+0.00001,-17.80,+0.00000,0,+0.00000,+0.00000,0.00850,+0.001,0,35.9,34.9
1.254206,0,0,0.282272,0.282272,0.2750,+0.00727,0,1,1,+0.01788,-0.02100,0.08553,176.22,0,+0.000,+0.00000,-3.361,+0.00001,-17.80,+0.00000,0,+0.00000,+0.00000,0.01189,+0.001,0,35.9,34.9
1.281283,0,0,0.282279,0.282279,0.2750,+0.00728,0,1,1,+0.01689,-0.02184,0.08462,176.07,0,+0.000,+0.00000,-3.364,+0.00001,-17.80,+0.00000,0,+0.00000,+0.00000,0.01615,+0.001,0,35.9,34.9
