t,seg,active_gate,thrust,thrust_cmd,base_thrust,vtrim,descent_on,gate_v_ok,gate_found,u_err,v_err,size_frac,cy,steer,bank_seg,ff_bank_deg,trim_deg,des_roll_deg,roll_n,est_pitch_deg,gyro_pitch,des_pitch_deg,pitch_n,tube_found,u_tube,curvature,area_frac,est_roll_deg,hold_on,loop_hz,det_hz
0.006843,0,0,0.275000,0.275000,0.2750,+0.00000,0,0,1,+0.02169,-0.01096,0.08184,178.03,0,0,+0.000,+0.000,+0.000,+0.00000,-17.802,+0.00000,0.00,+0.00000,1,-0.01576,-0.00387,0.01839,+0.015,0,0.0,0.0
0.045935,0,0,0.275000,0.275000,0.2750,+0.00000,0,0,1,+0.02192,-0.01177,0.08221,177.88,0,0,+0.000,+0.000,+0.000,+0.00000,-17.802,+0.00000,0.00,+0.00000,1,-0.01648,-0.00289,0.01827,+0.015,0,0.0,0.0
0.076258,0,0,0.275000,0.275000,0.2750,+0.00000,0,0,1,+0.02148,-0.01253,0.08240,177.75,0,0,+0.000,+0.000,+0.000,+0.00000,-17.874,-0.01038,0.00,+0.00000,1,-0.01604,-0.00541,0.01806,+0.002,0,0.0,0.0
0.106736,0,0,0.275000,0.275000,0.2750,+0.00000,0,0,1,+0.02028,-0.01234,0.08184,177.78,0,0,+0.000,+0.000,+0.000,+0.00000,-17.493,-0.00434,0.00,+0.00000,1,-0.01803,-0.00157,0.01806,+0.022,0,0.0,0.0
0.134335,0,0,0.275000,0.275000,0.2750,+0.00000,0,0,1,+0.02028,-0.01234,0.08184,177.78,0,0,+0.000,+0.000,+0.000,+0.00000,-16.740,-0.00009,0.00,+0.00000,1,-0.01803,-0.00157,0.01806,+0.022,0,0.0,0.0
0.164521,0,0,0.275000,0.275000,0.2750,+0.00000,0,0,1,+0.02056,-0.01362,0.08259,177.55,0,0,+0.000,+0.000,+0.000,+0.00000,-15.574,+0.00652,0.00,+0.00000,1,-0.01871,+0.00114,0.01797,+0.020,0,0.0,0.0
0.192198,0,0,0.275000,0.275000,0.2750,+0.00000,0,0,1,+0.02059,-0.01463,0.08315,177.37,0,0,+0.000,+0.000,+0.000,+0.00000,-14.717,+0.00326,0.00,+0.00000,1,-0.01847,+0.00007,0.01786,+0.020,0,0.0,0.0
0.224049,0,0,0.275000,0.275000,0.2750,+0.00000,0,0,1,+0.02057,-0.01736,0.08480,176.88,0,0,+0.000,+0.000,+0.000,+0.00000,-13.514,+0.00049,0.00,+0.00000,1,-0.01281,-0.00918,0.01772,+0.018,0,0.0,0.0
0.253793,0,0,0.275000,0.275000,0.2750,+0.00000,0,0,1,+0.02058,-0.01874,0.08535,176.63,0,0,+0.000,+0.000,+0.000,+0.00000,-12.750,+0.00096,0.00,+0.00000,1,-0.01320,-0.01027,0.01777,+0.018,0,0.0,0.0
0.282164,0,0,0.275000,0.275000,0.2750,+0.00000,0,0,1,+0.02153,-0.01928,0.08571,176.53,0,0,+0.000,+0.000,+0.000,+0.00000,-11.778,+0.00095,0.00,+0.00000,1,-0.02133,-0.00128,0.01796,+0.016,0,0.0,0.0
