t,seg,active_gate,thrust,thrust_cmd,base_thrust,vtrim,descent_on,gate_v_ok,gate_found,u_err,v_err,size_frac,cy,steer,bank_seg,ff_bank_deg,trim_deg,des_roll_deg,roll_n,est_pitch_deg,gyro_pitch,des_pitch_deg,pitch_n,tube_found,u_tube,curvature,area_frac,est_roll_deg,hold_on,loop_hz,det_hz
0.012468,0,0,0.275000,0.275000,0.2750,+0.00000,0,0,1,+0.02106,-0.01070,0.08127,178.07,0,0,+0.000,+0.000,+0.000,+0.00000,-17.803,+0.00000,0.00,+0.00000,1,-0.01628,-0.00163,0.01845,+0.015,0,0.0,0.0
0.044638,0,0,0.275000,0.275000,0.2750,+0.00000,0,0,1,+0.02121,-0.01152,0.08165,177.93,0,0,+0.000,+0.000,+0.000,+0.00000,-17.803,+0.00000,0.00,+0.00000,1,-0.01614,-0.00340,0.01830,+0.015,0,0.0,0.0
0.073746,0,0,0.275000,0.275000,0.2750,+0.00000,0,0,1,+0.02195,-0.01375,0.08296,177.52,0,0,+0.000,+0.000,+0.000,+0.00000,-17.809,-0.00383,0.00,+0.00000,1,-0.01653,-0.00257,0.01812,+0.003,0,0.0,0.0
0.102826,0,0,0.275000,0.275000,0.2750,+0.00000,0,0,1,+0.02004,-0.01210,0.08108,177.82,0,0,+0.000,+0.000,+0.000,+0.00000,-17.668,-0.00525,0.00,+0.00000,1,-0.01750,+0.00010,0.01809,+0.002,0,0.0,0.0
0.130751,0,0,0.275000,0.275000,0.2750,+0.00000,0,0,1,+0.01990,-0.01356,0.08203,177.56,0,0,+0.000,+0.000,+0.000,+0.00000,-17.075,-0.00083,0.00,+0.00000,1,-0.01806,+0.00017,0.01789,+0.001,0,0.0,0.0
0.161777,0,0,0.275000,0.275000,0.2750,+0.00000,0,0,1,+0.01990,-0.01356,0.08203,177.56,0,0,+0.000,+0.000,+0.000,+0.00000,-15.902,+0.00317,0.00,+0.00000,1,-0.01806,+0.00017,0.01789,+0.002,0,0.0,0.0
0.193378,0,0,0.275000,0.275000,0.2750,+0.00000,0,0,1,+0.01999,-0.01418,0.08259,177.45,0,0,+0.000,+0.000,+0.000,+0.00000,-14.704,+0.00184,0.00,+0.00000,1,-0.02151,+0.00162,0.01783,+0.004,0,0.0,0.0
0.220431,0,0,0.275000,0.275000,0.2750,+0.00000,0,0,1,+0.01984,-0.01643,0.08425,177.04,0,0,+0.000,+0.000,+0.000,+0.00000,-13.926,+0.00026,0.00,+0.00000,1,-0.01808,-0.00225,0.01786,+0.004,0,0.0,0.0
0.254340,0,0,0.275000,0.275000,0.2750,+0.00000,0,0,1,+0.02055,-0.01726,0.08480,176.89,0,0,+0.000,+0.000,+0.000,+0.00000,-12.940,+0.00074,0.00,+0.00000,1,-0.01359,-0.00787,0.01776,+0.004,0,0.0,0.0
0.281050,0,0,0.275000,0.275000,0.2750,+0.00000,0,0,1,+0.02121,-0.01869,0.08535,176.64,0,0,+0.000,+0.000,+0.000,+0.00000,-12.181,+0.00070,0.00,+0.00000,1,-0.01515,-0.00686,0.01811,+0.004,0,0.0,0.0
0.309738,0,0,0.275000,0.275000,0.2750,+0.00000,0,0,1,+0.02193,-0.01931,0.08607,176.53,0,0,+0.000,+0.000,+0.000,+0.00000,-11.460,+0.00054,0.00,+0.00000,1,-0.03032,+0.00484,0.01926,+0.004,0,0.0,0.0
0.342438,0,0,0.275000,0.275000,0.2750,+0.00000,0,0,1,+0.02186,-0.01922,0.08553,176.54,0,0,+0.000,+0.000,+0.000,+0.00000,-10.582,+0.00047,0.00,+0.00000,1,-0.16959,+0.13542,0.03911,+0.004,0,0.0,0.0
0.372659,0,0,0.275000,0.275000,0.2750,+0.00000,0,0,1,+0.01981,-0.01816,0.08425,176.73,0,0,+0.000,+0.000,+0.000,+0.00000,-9.627,+0.00041,0.00,+0.00000,1,-0.01107,-0.04650,0.12031,+0.004,0,0.0,0.0
0.400769,0,0,0.275000,0.275000,0.2750,+0.00000,0,0,1,+0.01981,-0.01816,0.08425,176.73,0,0,+0.000,+0.000,+0.000,+0.00000,-9.054,+0.00037,0.00,+0.00000,1,-0.01107,-0.04650,0.12031,+0.004,0,0.0,0.0
0.430449,0,0,0.275000,0.275000,0.2750,+0.00000,0,0,1,+0.01905,-0.01398,0.08032,177.48,0,0,+0.000,+0.000,+0.000,+0.00000,-8.496,+0.00033,0.00,+0.00000,1,-0.00597,+0.00491,0.17688,+0.004,0,0.0,0.0
