t,seg,active_gate,thrust,thrust_cmd,base_thrust,vtrim,descent_on,gate_v_ok,gate_found,u_err,v_err,size_frac,cy,u_f,v_f,sz_f,sig_k,live,steer,bank_seg,ff_bank_deg,trim_deg,des_roll_deg,roll_n,est_pitch_deg,gyro_pitch,des_pitch_deg,pitch_n,tube_found,u_tube,curvature,area_frac,est_roll_deg,hold_on,loop_hz,det_hz
0.011762,0,0,0.275505,0.275505,0.2750,+0.00051,0,1,1,+0.02094,-0.00316,0.07798,179.43,+0.02094,-0.00316,0.07798,1.0000,1,0,0,+0.000,+0.000,+0.000,+0.00000,-17.800,+0.00000,0.00,+0.00000,1,-0.01615,-0.00192,0.01934,+0.016,0,0.0,0.0
0.044690,0,0,0.275928,0.275928,0.2750,+0.00093,0,1,1,+0.02027,-0.00558,0.07876,179.00,+0.02085,-0.00350,0.07809,1.0000,1,0,0,+0.000,+0.000,+0.000,+0.00000,-17.800,+0.00000,0.00,+0.00000,1,-0.01233,-0.00664,0.01919,+0.016,0,0.0,0.0
0.075370,0,0,0.276667,0.276667,0.2750,+0.00167,0,1,1,+0.02014,-0.00827,0.07993,178.51,+0.02075,-0.00413,0.07833,1.0000,1,0,0,+0.000,+0.000,+0.000,+0.00000,-17.802,-0.01380,0.00,+0.00000,1,-0.01272,-0.00512,0.01893,+0.021,0,0.0,0.0
0.102669,0,0,0.277388,0.277388,0.2750,+0.00239,0,1,1,+0.01999,-0.00970,0.08089,178.25,+0.02066,-0.00480,0.07864,1.0000,1,0,0,+0.000,+0.000,+0.000,+0.00000,-17.520,-0.00446,0.00,+0.00000,1,-0.01750,+0.00144,0.01866,+0.037,0,0.0,0.0
0.131334,0,0,0.277920,0.277920,0.2750,+0.00292,0,1,1,+0.02041,-0.00948,0.08070,178.29,+0.02063,-0.00539,0.07890,1.0000,1,0,0,+0.000,+0.000,+0.000,+0.00000,-16.856,-0.00100,0.00,+0.00000,1,-0.01785,+0.00048,0.01846,+0.034,0,0.0,0.0
0.160796,0,0,0.278312,0.278312,0.2750,+0.00331,0,1,1,+0.02041,-0.00948,0.08070,178.29,+0.02060,-0.00591,0.07913,1.0000,1,0,0,+0.000,+0.000,+0.000,+0.00000,-15.631,+0.00551,0.00,+0.00000,1,-0.01785,+0.00048,0.01846,+0.032,0,0.0,0.0
0.192742,0,0,0.278721,0.278721,0.2750,+0.00372,0,1,1,+0.02138,-0.01023,0.08127,178.16,+0.02071,-0.00651,0.07942,1.0000,1,0,0,+0.000,+0.000,+0.000,+0.00000,-14.698,+0.00154,0.00,+0.00000,1,-0.01960,-0.00119,0.01829,+0.031,0,0.0,0.0
0.220777,0,0,0.279228,0.279228,0.2750,+0.00423,0,1,1,+0.02172,-0.01192,0.08221,177.85,+0.02083,-0.00717,0.07977,1.0000,1,0,0,+0.000,+0.000,+0.000,+0.00000,-13.829,+0.00032,0.00,+0.00000,1,-0.01887,-0.00299,0.01828,+0.029,0,0.0,0.0
0.249412,0,0,0.279738,0.279738,0.2750,+0.00474,0,1,1,+0.02207,-0.01288,0.08240,177.68,+0.02099,-0.00789,0.08010,1.0000,1,0,0,+0.000,+0.000,+0.000,+0.00000,-12.738,+0.00085,0.00,+0.00000,1,-0.01442,-0.00554,0.01816,+0.027,0,0.0,0.0
0.281226,0,0,0.280125,0.280125,0.2750,+0.00512,0,1,1,+0.02268,-0.01297,0.08259,177.67,+0.02122,-0.00859,0.08044,1.0000,1,0,0,+0.000,+0.000,+0.000,+0.00000,-11.926,+0.00081,0.00,+0.00000,1,-0.00428,-0.01628,0.01809,+0.026,0,0.0,0.0
0.312787,0,0,0.280765,0.280765,0.2750,+0.00576,0,1,1,+0.02242,-0.01540,0.08389,177.23,+0.02138,-0.00951,0.08091,1.0000,1,0,0,+0.000,+0.000,+0.000,+0.00000,-10.986,+0.00061,0.00,+0.00000,1,-0.01278,-0.01004,0.01793,+0.024,0,0.0,0.0
0.341556,0,0,0.281064,0.281064,0.2750,+0.00606,0,1,1,+0.02257,-0.01480,0.08352,177.34,+0.02153,-0.01018,0.08124,1.0000,1,0,0,+0.000,+0.000,+0.000,+0.00000,-10.298,+0.00054,0.00,+0.00000,1,-0.01605,-0.00666,0.01789,+0.022,0,0.0,0.0
0.372926,0,0,0.281448,0.281448,0.2750,+0.00645,0,1,1,+0.02283,-0.01604,0.08425,177.11,+0.02171,-0.01097,0.08165,1.0000,1,0,0,+0.000,+0.000,+0.000,+0.00000,-9.512,+0.00048,0.00,+0.00000,1,-0.02567,+0.00271,0.01817,+0.021,0,0.0,0.0
0.405256,0,0,0.282106,0.282106,0.2750,+0.00711,0,1,1,+0.02153,-0.01860,0.08535,176.65,+0.02168,-0.01203,0.08216,1.0000,1,0,0,+0.000,+0.000,+0.000,+0.00000,-8.767,+0.00041,0.00,+0.00000,1,-0.02495,+0.00058,0.01859,+0.019,0,0.0,0.0
0.435831,0,0,0.282502,0.282502,0.2750,+0.00750,0,1,1,+0.02153,-0.01860,0.08535,176.65,+0.02166,-0.01290,0.08258,1.0000,1,0,0,+0.000,+0.000,+0.000,+0.00000,-8.227,+0.00038,0.00,+0.00000,1,-0.02495,+0.00058,0.01859,+0.018,0,0.0,0.0
0.466081,0,0,0.282640,0.282640,0.2750,+0.00764,0,1,1,+0.02082,-0.01811,0.08571,176.74,+0.02155,-0.01359,0.08299,1.0000,1,0,0,+0.000,+0.000,+0.000,+0.00000,-7.743,+0.00033,0.00,+0.00000,1,-0.02385,-0.00301,0.01923,+0.017,0,0.0,0.0
0.494655,0,0,0.282756,0.282756,0.2750,+0.00776,0,1,1,+0.02147,-0.01869,0.08589,176.64,+0.02154,-0.01423,0.08336,1.0000,1,0,0,+0.000,+0.000,+0.000,+0.00000,-7.154,+0.00028,0.00,+0.00000,1,-0.10205,+0.07139,0.02319,+0.016,0,0.0,0.0
0.522423,0,0,0.282619,0.282619,0.2750,+0.00762,0,1,1,+0.02071,-0.01769,0.08480,176.82,+0.02144,-0.01465,0.08353,1.0000,1,0,0,+0.000,+0.000,+0.000,+0.00000,-6.784,+0.00025,0.00,+0.00000,1,-0.02337,-0.03264,0.12272,+0.015,0,0.0,0.0
0.548324,0,0,0.281394,0.281394,0.2750,+0.00639,0,1,1,+0.02149,-0.01038,0.08089,178.13,+0.02145,-0.01416,0.08323,1.0000,1,0,0,+0.000,+0.000,+0.000,+0.00000,-6.546,+0.00022,0.00,+0.00000,1,-0.00835,+0.00779,0.17298,+0.014,0,0.0,0.0
0.577099,0,0,0.278113,0.278113,0.2750,+0.00311,0,1,1,+0.01807,+0.00337,0.07136,180.61,+0.02102,-0.01195,0.08174,1.0000,1,0,0,+0.000,+0.000,+0.000,+0.00000,-6.112,+0.00020,0.00,+0.00000,1,-0.01037,+0.01150,0.19637,+0.013,0,0.0,0.0
0.606909,0,0,0.273524,0.273524,0.2750,-0.00148,0,1,1,+0.01469,+0.01544,0.06359,182.78,+0.02020,-0.00840,0.07938,1.0000,1,0,0,+0.000,+0.000,+0.000,+0.00000,-5.701,+0.00017,0.00,+0.00000,1,-0.01227,+0.01418,0.18605,+0.012,0,0.0,0.0
0.638064,0,0,0.268253,0.268253,0.2750,-0.00675,0,1,1,+0.01708,+0.02537,0.06086,184.57,+0.01978,-0.00385,0.07689,1.0000,1,0,0,+0.000,+0.000,+0.000,+0.00000,-5.381,+0.00015,0.00,+0.00000,1,-0.01795,+0.01983,0.15957,+0.012,0,0.0,0.0
0.667509,0,0,0.264990,0.264990,0.2750,-0.01001,0,1,1,+0.01974,+0.02239,0.06407,184.03,+0.01978,-0.00048,0.07524,1.0000,1,0,0,+0.000,+0.000,+0.000,+0.00000,-5.114,+0.00013,0.00,+0.00000,1,+0.00128,-0.00203,0.11767,+0.011,0,0.0,0.0
0.696510,0,0,0.262642,0.262642,0.2750,-0.01236,0,1,1,+0.01974,+0.02239,0.06407,184.03,+0.01977,+0.00241,0.07383,1.0000,1,0,0,+0.000,+0.000,+0.000,+0.00000,-4.849,+0.00012,0.00,+0.00000,1,+0.00128,-0.00203,0.11767,+0.010,0,0.0,0.0
0.725924,0,0,0.262596,0.262596,0.2750,-0.01240,0,1,1,+0.02124,+0.01228,0.07265,182.21,+0.01996,+0.00368,0.07368,1.0000,1,0,0,+0.000,+0.000,+0.000,+0.00000,-4.722,+0.00010,0.00,+0.00000,1,-0.10517,+0.10358,0.06648,+0.010,0,0.0,0.0
0.753573,0,0,0.262716,0.262716,0.2750,-0.01228,0,1,1,+0.02124,+0.01228,0.07265,182.21,+0.02011,+0.00472,0.07355,1.0000,1,0,0,+0.000,+0.000,+0.000,+0.00000,-4.528,+0.00009,0.00,+0.00000,1,-0.10517,+0.10358,0.06648,+0.009,0,0.0,0.0
0.781909,0,0,0.263798,0.263798,0.2750,-0.01120,0,1,1,+0.02176,+0.00697,0.07556,181.25,+0.02032,+0.00500,0.07380,1.0000,1,0,0,+0.000,+0.000,+0.000,+0.00000,-4.383,+0.00008,0.00,+0.00000,1,-0.09688,+0.08886,0.04733,+0.009,0,0.0,0.0
0.811465,0,0,0.265409,0.265409,0.2750,-0.00959,0,1,1,+0.02064,+0.00331,0.07617,180.60,+0.02036,+0.00478,0.07411,1.0000,1,0,0,+0.000,+0.000,+0.000,+0.00000,-4.217,+0.00007,0.00,+0.00000,1,-0.11540,+0.08642,0.03921,+0.008,0,0.0,0.0
0.843464,0,0,0.267654,0.267654,0.2750,-0.00735,0,1,1,+0.02137,-0.00123,0.07817,179.78,+0.02050,+0.00395,0.07467,1.0000,1,0,0,+0.000,+0.000,+0.000,+0.00000,-4.062,+0.00006,0.00,+0.00000,1,-0.08797,+0.04385,0.02888,+0.008,0,0.0,0.0
0.873537,0,0,0.268864,0.268864,0.2750,-0.00614,0,1,1,+0.01959,+0.00191,0.07577,180.34,+0.02038,+0.00369,0.07481,1.0000,1,0,0,+0.000,+0.000,+0.000,+0.00000,-3.911,+0.00005,0.00,+0.00000,1,-0.23388,+0.19935,0.01790,+0.007,0,0.0,0.0
0.901914,0,0,0.270289,0.270289,0.2750,-0.00471,0,1,1,+0.02015,-0.00103,0.07954,179.81,+0.02035,+0.00310,0.07540,1.0000,1,0,0,+0.000,+0.000,+0.000,+0.00000,-3.737,+0.00005,0.00,+0.00000,0,+0.00000,+0.00000,0.01331,+0.007,0,0.0,0.0
0.930135,0,0,0.271451,0.271451,0.2750,-0.00355,0,1,1,+0.02015,-0.00103,0.07954,179.81,+0.02033,+0.00259,0.07591,1.0000,1,0,0,+0.000,+0.000,+0.000,+0.00000,-3.616,+0.00004,0.00,+0.00000,0,+0.00000,+0.00000,0.01331,+0.006,0,0.0,0.0
0.959721,0,0,0.273035,0.273035,0.2750,-0.00197,0,1,1,+0.01664,-0.00474,0.08333,179.15,+0.01985,+0.00165,0.07687,1.0000,1,0,0,+0.000,+0.000,+0.000,+0.00000,-3.550,+0.00004,0.00,+0.00000,0,+0.00000,+0.00000,0.01103,+0.006,0,0.0,0.0
0.987698,0,0,0.275518,0.275518,0.2750,+0.00052,0,1,1,+0.01496,-0.01311,0.08498,177.64,+0.01925,-0.00016,0.07786,1.0000,1,0,0,+0.000,+0.000,+0.000,+0.00000,-3.442,+0.00003,0.00,+0.00000,0,+0.00000,+0.00000,0.00970,+0.006,0,0.0,0.0
1.014249,0,0,0.277301,0.277301,0.2750,+0.00230,0,1,1,+0.01586,-0.01259,0.08607,177.73,+0.01885,-0.00162,0.07883,1.0000,1,0,0,+0.000,+0.000,+0.000,+0.00000,-3.327,+0.00003,0.00,+0.00000,0,+0.00000,+0.00000,0.00528,+0.005,0,34.9,33.9
1.042914,0,0,0.279612,0.279612,0.2750,+0.00461,0,1,1,+0.01559,-0.01796,0.08837,176.77,+0.01844,-0.00367,0.08002,1.0000,1,0,0,+0.000,+0.000,+0.000,+0.00000,-3.309,+0.00003,0.00,+0.00000,0,+0.00000,+0.00000,0.00215,+0.005,0,34.9,33.9
1.069059,0,0,0.281379,0.281379,0.2750,+0.00638,0,1,1,+0.01633,-0.01892,0.08889,176.59,+0.01820,-0.00543,0.08105,1.0000,1,0,0,+0.000,+0.000,+0.000,+0.00000,-3.311,+0.00002,0.00,+0.00000,0,+0.00000,+0.00000,0.00212,+0.005,0,34.9,33.9
1.096920,0,0,0.282779,0.282779,0.2750,+0.00778,0,1,1,+0.01633,-0.01892,0.08889,176.59,+0.01797,-0.00708,0.08201,1.0000,1,0,0,+0.000,+0.000,+0.000,+0.00000,-3.246,+0.00002,0.00,+0.00000,0,+0.00000,+0.00000,0.00212,+0.005,0,34.9,33.9
