t,seg,active_gate,thrust,thrust_cmd,base_thrust,vtrim,descent_on,desc_leg,descent_bias,gate_v_ok,gate_found,u_err,v_err,size_frac,cy,u_f,u_f2,du_lat,v_f,sz_f,sig_k,live,far_rej,tube_solid,rail_on,u_tube_f,curv_f,rail_k,rail_deg,gate_fine_deg,steer,bank_seg,ff_bank_deg,trim_deg,des_roll_deg,roll_n,est_pitch_deg,gyro_pitch,des_pitch_deg,pitch_n,tube_found,u_tube,curvature,area_frac,est_roll_deg,hold_on,loop_hz,det_hz
0.004763,0,0,0.277069,0.277069,0.2750,+0.00207,0,0,0.0000,1,1,+0.01546,-0.01293,0.07265,177.67,+0.01546,+0.01546,+0.00000,-0.01293,0.07265,1.0000,1,0,1,1,-0.00193,+0.00154,1.0000,+0.067,+0.000,0,0,+0.000,+0.067,+0.067,+0.00022,-17.801,+0.00000,+0.00,+0.00000,1,-0.00193,+0.00154,0.17105,+0.015,0,0.0,0.0
0.041824,0,0,0.277069,0.277069,0.2750,+0.00207,0,0,0.0000,1,1,+0.01500,+0.05124,0.05122,189.22,+0.01546,+0.01546,+0.00000,-0.01293,0.07265,1.0000,0,1,1,1,-0.00209,+0.00178,1.0000,+0.068,+0.000,0,0,+0.000,+0.068,+0.068,+0.00023,-17.801,+0.00000,+0.00,+0.00000,1,-0.00291,+0.00308,0.16053,+0.015,0,0.0,0.0
0.072826,0,0,0.277069,0.277069,0.2750,+0.00207,0,0,0.0000,1,1,+0.01412,+0.05044,0.05241,189.08,+0.01546,+0.01546,+0.00000,-0.01293,0.07265,1.0000,0,1,1,1,-0.00263,+0.00245,1.0000,+0.080,+0.000,0,0,+0.000,+0.080,+0.080,+0.00037,-17.870,-0.01875,+0.00,+0.00000,1,-0.00612,+0.00671,0.14475,+0.001,0,0.0,0.0
0.101765,0,0,0.272484,0.272484,0.2750,-0.00252,0,0,0.0000,1,1,+0.01184,+0.01604,0.06186,182.89,+0.01500,+0.01540,+0.00000,-0.00927,0.07129,1.0000,1,0,1,1,-0.00391,+0.00361,1.0000,+0.121,+0.000,0,0,+0.000,+0.121,+0.121,+0.00049,-17.509,-0.00072,+0.00,+0.00000,1,-0.01277,+0.01164,0.10634,+0.010,0,0.0,0.0
0.131543,0,0,0.269601,0.269601,0.2750,-0.00540,0,0,0.0000,1,1,+0.01429,+0.01176,0.06479,182.12,+0.01491,+0.01534,+0.00000,-0.00654,0.07044,1.0000,1,0,1,1,-0.00494,+0.00420,1.0000,+0.163,+0.000,0,0,+0.000,+0.163,+0.163,+0.00067,-16.429,-0.00112,+0.00,+0.00000,1,-0.01190,+0.00821,0.07711,+0.009,0,0.0,0.0
0.159845,0,0,0.269599,0.269599,0.2750,-0.00540,0,0,0.0000,1,1,+0.01667,-0.00140,0.07005,179.75,+0.01513,+0.01531,+0.00000,-0.00590,0.07039,1.0000,1,0,1,1,-0.00683,+0.00566,1.0000,+0.229,+0.000,0,0,+0.000,+0.229,+0.229,+0.00088,-15.508,+0.00492,+0.00,+0.00000,1,-0.02013,+0.01597,0.06187,+0.019,0,0.0,0.0
0.188983,0,0,0.269689,0.269689,0.2750,-0.00531,0,0,0.0000,1,1,+0.01667,-0.00140,0.07005,179.75,+0.01532,+0.01531,+0.00000,-0.00533,0.07035,1.0000,1,0,1,1,-0.00852,+0.00697,1.0000,+0.288,+0.000,0,0,+0.000,+0.288,+0.288,+0.00108,-14.150,+0.00082,+0.00,+0.00000,1,-0.02013,+0.01597,0.06187,+0.032,0,0.0,0.0
0.218721,0,0,0.270518,0.270518,0.2750,-0.00448,0,0,0.0000,1,1,+0.01849,-0.00552,0.07265,179.01,+0.01573,+0.01537,+0.00000,-0.00536,0.07065,1.0000,1,0,1,1,-0.01326,+0.01120,1.0000,+0.439,+0.000,0,0,+0.000,+0.439,+0.439,+0.00169,-13.404,+0.00041,+0.00,+0.00000,1,-0.04517,+0.03963,0.04568,+0.043,0,0.0,0.0
0.249012,0,0,0.271703,0.271703,0.2750,-0.00330,0,0,0.0000,1,1,+0.02118,-0.00830,0.07244,178.51,+0.01645,+0.01551,+0.00000,-0.00574,0.07088,1.0000,1,0,1,1,-0.01323,+0.01023,1.0000,+0.465,+0.000,0,0,+0.000,+0.465,+0.465,+0.00171,-12.132,+0.00095,+0.00,+0.00000,1,-0.01297,+0.00380,0.03485,+0.061,0,0.0,0.0
0.277458,0,0,0.272627,0.272627,0.2750,-0.00237,0,0,0.0000,1,1,+0.02118,-0.00830,0.07244,178.51,+0.01704,+0.01570,+0.00000,-0.00606,0.07108,1.0000,1,0,1,1,-0.01319,+0.00943,1.0000,+0.486,+0.000,0,0,+0.000,+0.486,+0.486,+0.00169,-11.402,+0.00080,+0.00,+0.00000,1,-0.01297,+0.00380,0.03485,+0.081,0,0.0,0.0
0.305994,0,0,0.273430,0.273430,0.2750,-0.00157,0,0,0.0000,1,1,+0.02202,-0.00853,0.07286,178.47,+0.01766,+0.01595,+0.00000,-0.00637,0.07130,1.0000,1,0,1,1,-0.01335,+0.00816,1.0000,+0.531,+0.000,0,0,+0.000,+0.531,+0.531,+0.00178,-10.767,+0.00066,+0.00,+0.00000,1,-0.01440,-0.00076,0.03192,+0.104,0,0.0,0.0
0.334022,0,0,0.274010,0.274010,0.2750,-0.00099,0,0,0.0000,1,1,+0.02282,-0.00806,0.07577,178.55,+0.01829,+0.01623,+0.00000,-0.00658,0.07185,1.0000,1,0,1,1,-0.01398,+0.00738,1.0000,+0.590,+0.000,0,0,+0.000,+0.590,+0.590,+0.00193,-10.090,+0.00061,+0.00,+0.00000,1,-0.01853,+0.00186,0.02936,+0.128,0,0.0,0.0
0.363671,0,0,0.274526,0.274526,0.2750,-0.00047,0,0,0.0000,1,1,+0.02238,-0.00814,0.07678,178.53,+0.01882,+0.01657,+0.00000,-0.00678,0.07249,1.0000,1,0,1,1,-0.01448,+0.00647,1.0000,+0.644,+0.000,0,0,+0.000,+0.644,+0.644,+0.00207,-9.452,+0.00052,+0.00,+0.00000,1,-0.01782,+0.00030,0.02841,+0.150,0,0.0,0.0
0.393991,0,0,0.275433,0.275433,0.2750,+0.00043,0,0,0.0000,1,1,+0.02201,-0.01106,0.07915,178.01,+0.01924,+0.01692,+0.00000,-0.00734,0.07336,1.0000,1,0,1,1,-0.01572,+0.00623,1.0000,+0.722,+0.000,0,0,+0.000,+0.722,+0.722,+0.00231,-8.852,+0.00046,+0.00,+0.00000,1,-0.02390,+0.00465,0.02742,+0.172,0,0.0,0.0
0.422355,0,0,0.276453,0.276453,0.2750,+0.00145,0,0,0.0000,1,1,+0.02245,-0.01330,0.08012,177.61,+0.01964,+0.01726,+0.00000,-0.00808,0.07420,1.0000,1,0,1,1,-0.01669,+0.00553,1.0000,+0.798,+0.000,0,0,+0.000,+0.798,+0.798,+0.00255,-8.300,+0.00043,+0.00,+0.00000,1,-0.02353,+0.00063,0.02736,+0.192,0,0.0,0.0
0.452068,0,0,0.277019,0.277019,0.2750,+0.00202,0,0,0.0000,1,1,+0.02042,-0.01172,0.07896,177.89,+0.01974,+0.01758,+0.00000,-0.00855,0.07482,1.0000,1,0,1,1,-0.01966,+0.00655,1.0000,+0.939,+0.000,0,0,+0.000,+0.939,+0.939,+0.00302,-7.617,+0.00036,+0.00,+0.00000,1,-0.03964,+0.01343,0.02717,+0.223,0,0.0,0.0
0.487335,0,0,0.277501,0.277501,0.2750,+0.00250,0,0,0.0000,1,1,+0.02042,-0.01172,0.07896,177.89,+0.01984,+0.01792,+0.00000,-0.00903,0.07544,1.0000,1,0,1,1,-0.02265,+0.00758,1.0000,+1.081,+0.000,0,0,+0.000,+1.081,+1.081,+0.00348,-7.027,+0.00032,+0.00,+0.00000,1,-0.03964,+0.01343,0.02717,+0.256,0,0.0,0.0
0.517059,0,0,0.278222,0.278222,0.2750,+0.00322,0,0,0.0000,1,1,+0.02016,-0.01434,0.08184,177.42,+0.01988,+0.01817,+0.00000,-0.00971,0.07627,1.0000,1,0,1,1,-0.02464,+0.00766,1.0000,+1.192,+0.000,0,0,+0.000,+1.192,+1.192,+0.00382,-6.667,+0.00028,+0.00,+0.00000,1,-0.03800,+0.00817,0.02733,+0.284,0,0.0,0.0
0.547926,0,0,0.278727,0.278727,0.2750,+0.00373,0,0,0.0000,1,1,+0.02247,-0.01410,0.08370,177.46,+0.02023,+0.01845,+0.00000,-0.01030,0.07726,1.0000,1,0,1,1,-0.03037,+0.01154,1.0000,+1.410,+0.000,0,0,+0.000,+1.410,+1.410,+0.00457,-6.197,+0.00024,+0.00,+0.00000,1,-0.06754,+0.03669,0.02699,+0.327,0,0.0,0.0
0.575272,0,0,0.279320,0.279320,0.2750,+0.00432,0,0,0.0000,1,1,+0.02094,-0.01586,0.08498,177.15,+0.02032,+0.01867,+0.00000,-0.01097,0.07819,1.0000,1,0,1,1,-0.03321,+0.01267,1.0000,+1.540,+0.000,0,0,+0.000,+1.540,+1.540,+0.00494,-5.888,+0.00021,+0.00,+0.00000,1,-0.05397,+0.02093,0.02713,+0.366,0,0.0,0.0
0.602803,0,0,0.279607,0.279607,0.2750,+0.00461,0,0,0.0000,1,1,+0.02048,-0.01489,0.08571,177.32,+0.02034,+0.01887,+0.00000,-0.01144,0.07910,1.0000,1,0,1,1,-0.03557,+0.01324,1.0000,+1.659,+0.000,0,0,+0.000,+1.659,+1.659,+0.00529,-5.727,+0.00019,+0.00,+0.00000,1,-0.05268,+0.01737,0.02590,+0.400,0,0.0,0.0
0.634230,0,0,0.279606,0.279606,0.2750,+0.00461,0,0,0.0000,1,1,+0.01962,-0.01368,0.08571,177.54,+0.02024,+0.01906,+0.00000,-0.01175,0.08000,1.0000,1,0,1,1,-0.03904,+0.01561,1.0000,+1.790,+0.000,0,0,+0.000,+1.790,+1.790,+0.00555,-5.380,+0.00016,+0.00,+0.00000,1,-0.06116,+0.03072,0.02336,+0.465,0,0.0,0.0
0.664468,0,0,0.279856,0.279856,0.2750,+0.00486,0,0,0.0000,1,1,+0.02033,-0.01546,0.08696,177.22,+0.02025,+0.01922,+0.00000,-0.01224,0.08091,1.0000,1,0,1,1,-0.04643,+0.02235,1.0000,+2.020,+0.000,0,0,+0.000,+2.020,+2.020,+0.00636,-5.398,+0.00015,+0.00,+0.00000,1,-0.09528,+0.06688,0.02021,+0.506,0,0.0,0.0
