t,seg,active_gate,thrust,thrust_cmd,base_thrust,vtrim,descent_on,desc_leg,descent_bias,gate_v_ok,gate_found,u_err,v_err,size_frac,cy,u_f,u_f2,du_lat,v_f,sz_f,sig_k,live,far_rej,tube_solid,rail_on,rail_auth,u_tube_f,curv_f,rail_k,rail_deg,gate_cmd_deg,gate_auth,committed,commit_k,steer,bank_seg,ff_bank_deg,trim_deg,des_roll_deg,roll_n,est_pitch_deg,gyro_pitch,des_pitch_deg,pitch_n,tube_found,u_tube,curvature,area_frac,est_roll_deg,hold_on,loop_hz,det_hz
0.009843,0,0,0.271235,0.271235,0.2750,-0.00376,0,0,0.0000,1,1,+0.01961,+0.02353,0.06872,184.24,+0.01961,+0.01961,+0.00000,+0.02353,0.06872,1.0000,1,0,1,0,0.0000,-0.00878,+0.00466,1.0000,+0.000,+0.000,1.0000,0,1.0000,0,0,+0.000,+0.000,+0.000,+0.00000,-17.799,+0.00000,+0.00,+0.00000,1,-0.00878,+0.00466,0.06658,+0.016,0,0.0,0.0
0.042691,0,0,0.272020,0.272020,0.2750,-0.00298,0,0,0.0000,1,1,+0.01959,+0.01902,0.07093,183.42,+0.01961,+0.01961,+0.00000,+0.02289,0.06903,1.0000,1,0,1,0,0.0000,-0.01799,+0.01339,1.0000,+0.000,+0.000,1.0000,0,1.0000,0,0,+0.000,+0.000,+0.000,+0.00000,-17.799,+0.00000,+0.00,+0.00000,1,-0.07403,+0.06654,0.03884,+0.016,0,0.0,0.0
0.068280,0,0,0.272985,0.272985,0.2750,-0.00201,0,0,0.0000,1,1,+0.01990,+0.01565,0.07222,182.82,+0.01964,+0.01961,+0.00000,+0.02207,0.06939,1.0000,1,0,1,0,0.0000,-0.01831,+0.01225,1.0000,+0.000,+0.000,1.0000,0,1.0000,0,0,+0.000,+0.000,+0.000,+0.00000,-17.788,-0.00508,+0.00,+0.00000,1,-0.02086,+0.00333,0.02790,+0.009,0,0.0,0.0
0.099543,0,0,0.273858,0.273858,0.2750,-0.00114,0,0,0.0000,1,1,+0.01990,+0.01565,0.07222,182.82,+0.01967,+0.01962,+0.00000,+0.02120,0.06977,1.0000,1,0,1,0,0.0000,-0.01866,+0.01105,1.0000,+0.000,+0.000,1.0000,0,1.0000,0,0,+0.000,+0.000,+0.000,+0.00000,-17.477,+0.00021,+0.00,+0.00000,1,-0.02086,+0.00333,0.02790,+0.024,0,0.0,0.0
0.128060,0,0,0.274893,0.274893,0.2750,-0.00011,0,0,0.0000,1,1,+0.02057,+0.01279,0.07286,182.30,+0.01979,+0.01964,+0.00000,+0.02015,0.07016,1.0000,1,0,1,0,0.0000,-0.01793,+0.00889,1.0000,+0.000,+0.000,1.0000,0,1.0000,0,0,+0.000,+0.000,+0.000,+0.00000,-16.496,-0.00015,+0.00,+0.00000,1,-0.01286,-0.00623,0.02391,+0.021,0,0.0,0.0
0.157902,0,0,0.276819,0.276819,0.2750,+0.00182,0,0,0.0000,1,1,+0.02036,+0.00577,0.07515,181.04,+0.01986,+0.01967,+0.00000,+0.01829,0.07081,1.0000,1,0,1,0,0.0000,-0.01793,+0.00761,1.0000,+0.000,+0.000,1.0000,0,1.0000,0,0,+0.000,+0.000,+0.000,+0.00000,-15.606,+0.00281,+0.00,+0.00000,1,-0.01789,-0.00098,0.02253,+0.022,0,0.0,0.0
0.183846,0,0,0.278572,0.278572,0.2750,+0.00357,0,0,0.0000,1,1,+0.02124,+0.00248,0.07617,180.45,+0.02002,+0.01971,+0.00000,+0.01647,0.07142,1.0000,1,0,1,0,0.0000,-0.01764,+0.00660,1.0000,+0.000,+0.000,1.0000,0,1.0000,0,0,+0.000,+0.000,+0.000,+0.00000,-14.743,+0.00153,+0.00,+0.00000,1,-0.01543,-0.00121,0.02157,+0.022,0,0.0,0.0
0.212757,0,0,0.280292,0.280292,0.2750,+0.00529,0,0,0.0000,1,1,+0.02070,+0.00064,0.07698,180.11,+0.02010,+0.01976,+0.00000,+0.01447,0.07213,1.0000,1,0,1,0,0.0000,-0.01803,+0.00632,1.0000,+0.000,+0.000,1.0000,0,1.0000,0,0,+0.000,+0.000,+0.000,+0.00000,-13.614,+0.00023,+0.00,+0.00000,1,-0.02074,+0.00444,0.02059,+0.020,0,0.0,0.0
0.240552,0,0,0.281637,0.281637,0.2750,+0.00664,0,0,0.0000,1,1,+0.02042,-0.00034,0.07758,179.94,+0.02014,+0.01981,+0.00000,+0.01266,0.07279,1.0000,1,0,1,0,0.0000,-0.01751,+0.00499,1.0000,+0.000,+0.000,1.0000,0,1.0000,0,0,+0.000,+0.000,+0.000,+0.00000,-12.811,+0.00043,+0.00,+0.00000,1,-0.01374,-0.00464,0.02014,+0.019,0,0.0,0.0
0.269918,0,0,0.282816,0.282816,0.2750,+0.00782,0,0,0.0000,1,1,+0.02024,-0.00164,0.07798,179.71,+0.02016,+0.01985,+0.00000,+0.01083,0.07346,1.0000,1,0,1,0,0.0000,-0.01781,+0.00444,1.0000,+0.000,+0.000,1.0000,0,1.0000,0,0,+0.000,+0.000,+0.000,+0.00000,-12.048,+0.00052,+0.00,+0.00000,1,-0.01988,+0.00074,0.01947,+0.018,0,0.0,0.0
0.300931,0,0,0.283567,0.283567,0.2750,+0.00857,0,0,0.0000,1,1,+0.01983,-0.00136,0.07778,179.76,+0.02011,+0.01989,+0.00000,+0.00920,0.07404,1.0000,1,0,1,0,0.0000,-0.01702,+0.00262,1.0000,+0.000,+0.000,1.0000,0,1.0000,0,0,+0.000,+0.000,+0.000,+0.00000,-10.956,+0.00040,+0.00,+0.00000,1,-0.01192,-0.00916,0.01961,+0.017,0,0.0,0.0
0.329793,0,0,0.283969,0.283969,0.2750,+0.00897,0,0,0.0000,1,1,+0.01983,-0.00136,0.07778,179.76,+0.02008,+0.01991,+0.00000,+0.00786,0.07451,1.0000,1,0,1,0,0.0000,-0.01638,+0.00113,1.0000,+0.000,+0.000,1.0000,0,1.0000,0,0,+0.000,+0.000,+0.000,+0.00000,-10.463,+0.00035,+0.00,+0.00000,1,-0.01192,-0.00916,0.01961,+0.016,0,0.0,0.0
0.358646,0,0,0.284291,0.284291,0.2750,+0.00929,0,0,0.0000,1,1,+0.02060,-0.00235,0.07837,179.58,+0.02014,+0.01994,+0.00000,+0.00658,0.07499,1.0000,1,0,1,0,0.0000,-0.01650,+0.00076,1.0000,+0.000,+0.000,1.0000,0,1.0000,0,0,+0.000,+0.000,+0.000,+0.00000,-9.846,+0.00032,+0.00,+0.00000,1,-0.01731,-0.00178,0.01929,+0.016,0,0.0,0.0
0.387454,0,0,0.284401,0.284401,0.2750,+0.00940,0,0,0.0000,1,1,+0.02049,-0.00238,0.07876,179.57,+0.02019,+0.01997,+0.00000,+0.00545,0.07547,1.0000,1,0,1,0,0.0000,-0.01655,+0.00050,1.0000,+0.000,+0.000,1.0000,0,1.0000,0,0,+0.000,+0.000,+0.000,+0.00000,-9.053,+0.00028,+0.00,+0.00000,1,-0.01689,-0.00133,0.01911,+0.015,0,0.0,0.0
0.419402,0,0,0.285110,0.285110,0.2750,+0.01011,0,0,0.0000,1,1,+0.02156,-0.00700,0.08070,178.74,+0.02038,+0.02003,+0.00000,+0.00373,0.07619,1.0000,1,0,1,0,0.0000,-0.01749,+0.00158,1.0000,+0.000,+0.000,1.0000,0,1.0000,0,0,+0.000,+0.000,+0.000,+0.00000,-8.460,+0.00024,+0.00,+0.00000,1,-0.02339,+0.00833,0.01931,+0.014,0,0.0,0.0
0.448852,0,0,0.285037,0.285037,0.2750,+0.01004,0,0,0.0000,1,1,+0.02194,-0.00438,0.08012,179.21,+0.02058,+0.02010,+0.00000,+0.00269,0.07669,1.0000,1,0,1,0,0.0000,-0.01898,+0.00297,1.0000,+0.000,+0.000,1.0000,0,1.0000,0,0,+0.000,+0.000,+0.000,+0.00000,-7.818,+0.00021,+0.00,+0.00000,1,-0.02911,+0.01244,0.01893,+0.013,0,0.0,0.0
0.478645,0,0,0.284946,0.284946,0.2750,+0.00995,0,0,0.0000,1,1,+0.02220,-0.00513,0.08051,179.08,+0.02079,+0.02019,+0.00000,+0.00168,0.07719,1.0000,1,0,1,0,0.0000,-0.02049,+0.00445,1.0000,+0.000,+0.000,1.0000,0,1.0000,0,0,+0.000,+0.000,+0.000,+0.00000,-7.344,+0.00019,+0.00,+0.00000,1,-0.03061,+0.01435,0.01900,+0.012,0,0.0,0.0
0.506155,0,0,0.285152,0.285152,0.2750,+0.01015,0,0,0.0000,1,1,+0.02147,-0.00779,0.08127,178.60,+0.02087,+0.02027,+0.00000,+0.00053,0.07768,1.0000,1,0,1,0,0.0000,-0.02328,+0.00680,1.0000,+0.000,+0.000,1.0000,0,1.0000,0,0,+0.000,+0.000,+0.000,+0.00000,-6.951,+0.00016,+0.00,+0.00000,1,-0.04360,+0.02388,0.01938,+0.012,0,0.0,0.0
0.536241,0,0,0.285197,0.285197,0.2750,+0.01020,0,0,0.0000,1,1,+0.02125,-0.00796,0.08146,178.57,+0.02092,+0.02035,+0.00000,-0.00058,0.07818,1.0000,1,0,1,0,0.0000,-0.02513,+0.00810,1.0000,+0.000,+0.000,1.0000,0,1.0000,0,0,+0.000,+0.000,+0.000,+0.00000,-6.393,+0.00014,+0.00,+0.00000,1,-0.03740,+0.01674,0.01932,+0.011,0,0.0,0.0
0.567567,0,0,0.285394,0.285394,0.2750,+0.01039,0,0,0.0000,1,1,+0.02163,-0.00989,0.08221,178.22,+0.02102,+0.02044,+0.00000,-0.00184,0.07872,1.0000,1,0,1,0,0.0000,-0.02813,+0.00998,1.0000,+0.000,+0.000,1.0000,0,1.0000,0,0,+0.000,+0.000,+0.000,+0.00000,-6.154,+0.00013,+0.00,+0.00000,1,-0.04729,+0.02197,0.01934,+0.010,0,0.0,0.0
0.599582,0,0,0.285778,0.285778,0.2750,+0.01078,0,0,0.0000,1,1,+0.02183,-0.01225,0.08333,177.80,+0.02113,+0.02054,+0.00000,-0.00327,0.07936,1.0000,1,0,1,0,0.0000,-0.03177,+0.01237,1.0000,+0.000,+0.000,1.0000,0,1.0000,0,0,+0.000,+0.000,+0.000,+0.00000,-5.729,+0.00011,+0.00,+0.00000,1,-0.05449,+0.02734,0.01941,+0.009,0,0.0,0.0
0.630218,0,0,0.285898,0.285898,0.2750,+0.01090,0,0,0.0000,1,1,+0.02183,-0.01225,0.08333,177.80,+0.02122,+0.02063,+0.00000,-0.00447,0.07989,1.0000,1,0,1,0,0.0000,-0.03479,+0.01436,1.0000,+0.000,+0.000,1.0000,0,1.0000,0,0,+0.000,+0.000,+0.000,+0.00000,-5.292,+0.00009,+0.00,+0.00000,1,-0.05449,+0.02734,0.01941,+0.009,0,0.0,0.0
0.661092,0,0,0.285983,0.285983,0.2750,+0.01098,0,0,0.0000,1,1,+0.02219,-0.01317,0.08370,177.63,+0.02135,+0.02073,+0.00000,-0.00563,0.08040,1.0000,1,0,1,0,0.0000,-0.03538,+0.01427,1.0000,+0.000,+0.000,1.0000,0,1.0000,0,0,+0.000,+0.000,+0.000,+0.00000,-5.077,+0.00008,+0.00,+0.00000,1,-0.03925,+0.01369,0.01942,+0.008,0,0.0,0.0
0.689696,0,0,0.285911,0.285911,0.2750,+0.01091,0,0,0.0000,1,1,+0.02192,-0.01322,0.08370,177.62,+0.02142,+0.02081,+0.00000,-0.00658,0.08081,1.0000,1,0,1,0,0.0000,-0.03639,+0.01423,1.0000,+0.000,+0.000,1.0000,0,1.0000,0,0,+0.000,+0.000,+0.000,+0.00000,-4.719,+0.00007,+0.00,+0.00000,1,-0.04341,+0.01392,0.01994,+0.008,0,0.0,0.0
0.718005,0,0,0.285935,0.285935,0.2750,+0.01094,0,0,0.0000,1,1,+0.02196,-0.01459,0.08425,177.37,+0.02149,+0.02090,+0.00000,-0.00757,0.08124,1.0000,1,0,1,0,0.0000,-0.03916,+0.01604,1.0000,+0.000,+0.000,1.0000,0,1.0000,0,0,+0.000,+0.000,+0.000,+0.00000,-4.513,+0.00006,+0.00,+0.00000,1,-0.05878,+0.02885,0.01944,+0.007,0,0.0,0.0
0.748750,0,0,0.285976,0.285976,0.2750,+0.01098,0,0,0.0000,1,1,+0.02138,-0.01564,0.08480,177.18,+0.02147,+0.02097,+0.00000,-0.00865,0.08171,1.0000,1,0,1,0,0.0000,-0.04252,+0.01768,1.0000,+0.000,+0.000,1.0000,0,1.0000,0,0,+0.000,+0.000,+0.000,+0.00000,-4.302,+0.00006,+0.00,+0.00000,1,-0.06435,+0.02831,0.01896,+0.007,0,0.0,0.0
0.777623,0,0,0.285748,0.285748,0.2750,+0.01075,0,0,0.0000,1,1,+0.02124,-0.01486,0.08444,177.32,+0.02144,+0.02103,+0.00000,-0.00943,0.08206,1.0000,1,0,1,0,0.0000,-0.08927,+0.05700,1.0000,+0.000,+0.000,1.0000,0,1.0000,0,0,+0.000,+0.000,+0.000,+0.00000,-4.089,+0.00005,+0.00,+0.00000,1,-0.41307,+0.32937,0.04288,+0.006,0,0.0,0.0
0.805880,0,0,0.284474,0.284474,0.2750,+0.00947,0,0,0.0000,1,1,+0.02118,-0.00859,0.08165,178.45,+0.02141,+0.02108,+0.00000,-0.00933,0.08201,1.0000,1,0,1,0,0.0000,-0.08324,+0.05500,1.0000,+0.000,+0.000,1.0000,0,1.0000,0,0,+0.000,+0.000,+0.000,+0.00000,-4.102,+0.00004,+0.00,+0.00000,1,-0.04058,+0.04084,0.15293,+0.006,0,0.0,0.0
0.833094,0,0,0.281335,0.281335,0.2750,+0.00634,0,0,0.0000,1,1,+0.02157,+0.00513,0.07536,180.92,+0.02143,+0.02112,+0.00000,-0.00760,0.08121,1.0000,1,0,1,0,0.0000,-0.07600,+0.05160,1.0000,+0.000,+0.000,1.0000,0,1.0000,0,0,+0.000,+0.000,+0.000,+0.00000,-3.915,+0.00004,+0.00,+0.00000,1,-0.02282,+0.02662,0.18306,+0.006,0,0.0,0.0
0.863895,0,0,0.278540,0.278540,0.2750,+0.00354,0,0,0.0000,1,1,+0.02157,+0.00513,0.07536,180.92,+0.02145,+0.02117,+0.00000,-0.00590,0.08043,1.0000,1,0,1,0,0.0000,-0.06891,+0.04826,1.0000,+0.000,+0.000,1.0000,0,1.0000,0,0,+0.000,+0.000,+0.000,+0.00000,-3.778,+0.00003,+0.00,+0.00000,1,-0.02282,+0.02662,0.18306,+0.005,0,0.0,0.0
0.893393,0,0,0.273868,0.273868,0.2750,-0.00113,0,0,0.0000,1,1,+0.02205,+0.02112,0.07049,183.80,+0.02153,+0.02121,+0.00000,-0.00242,0.07915,1.0000,1,0,1,0,0.0000,-0.07014,+0.05268,1.0000,+0.000,+0.000,1.0000,0,1.0000,0,0,+0.000,+0.000,+0.000,+0.00000,-3.673,+0.00003,+0.00,+0.00000,1,-0.07853,+0.08263,0.16424,+0.005,0,0.0,0.0
0.923353,0,0,0.270241,0.270241,0.2750,-0.00476,0,0,0.0000,1,1,+0.02205,+0.02112,0.07049,183.80,+0.02159,+0.02126,+0.00000,+0.00064,0.07802,1.0000,1,0,1,0,0.0000,-0.07124,+0.05658,1.0000,+0.000,+0.000,1.0000,0,1.0000,0,0,+0.000,+0.000,+0.000,+0.00000,-3.524,+0.00003,+0.00,+0.00000,1,-0.07853,+0.08263,0.16424,+0.005,0,0.0,0.0
0.949329,0,0,0.269590,0.269590,0.2750,-0.00541,0,0,0.0000,1,1,+0.01940,+0.00879,0.07495,181.58,+0.02134,+0.02127,+0.00000,+0.00158,0.07767,1.0000,1,0,1,0,0.0000,-0.07433,+0.06192,1.0000,+0.000,+0.000,1.0000,0,1.0000,0,0,+0.000,+0.000,+0.000,+0.00000,-3.439,+0.00002,+0.00,+0.00000,1,-0.09817,+0.10296,0.13387,+0.005,0,0.0,0.0
0.975945,0,0,0.270907,0.270907,0.2750,-0.00409,0,0,0.0000,1,1,+0.01875,-0.00321,0.07935,179.42,+0.02104,+0.02124,+0.00000,+0.00102,0.07787,1.0000,1,0,1,0,0.0000,-0.09862,+0.08760,1.0000,+0.000,+0.000,1.0000,0,1.0000,0,0,+0.000,+0.000,+0.000,+0.00000,-3.297,+0.00002,+0.00,+0.00000,1,-0.28111,+0.28061,0.08140,+0.004,0,0.0,0.0
1.004591,0,0,0.271655,0.271655,0.2750,-0.00334,0,0,0.0000,1,1,+0.01626,-0.00061,0.08535,179.89,+0.02044,+0.02114,+0.00000,+0.00081,0.07880,1.0000,1,0,0,0,0.0000,-0.09862,+0.08760,1.0000,+0.000,+0.000,1.0000,0,1.0000,0,0,+0.000,+0.000,+0.000,+0.00000,-3.252,+0.00002,+0.00,+0.00000,0,+0.00000,+0.00000,0.04823,+0.004,0,0.0,0.0
1.035331,0,0,0.272506,0.272506,0.2750,-0.00249,0,0,0.0000,1,1,+0.01548,-0.00174,0.08660,179.69,+0.01978,+0.02096,+0.00000,+0.00047,0.07984,1.0000,1,0,0,0,0.0000,-0.09862,+0.08760,1.0000,+0.000,+0.000,1.0000,0,1.0000,0,0,+0.000,+0.000,+0.000,+0.00000,-3.447,+0.00002,+0.00,+0.00000,0,+0.00000,+0.00000,0.03536,+0.004,0,35.1,34.1
1.062783,0,0,0.272990,0.272990,0.2750,-0.00201,0,0,0.0000,1,1,+0.01498,-0.00079,0.08589,179.86,+0.01920,+0.02075,+0.00000,+0.00032,0.08057,1.0000,1,0,0,0,0.0000,-0.09862,+0.08760,1.0000,+0.000,+0.000,1.0000,0,1.0000,0,0,+0.000,+0.000,+0.000,+0.00000,-3.416,+0.00001,+0.00,+0.00000,0,+0.00000,+0.00000,0.02668,+0.004,0,35.1,34.1
1.090384,0,0,0.273397,0.273397,0.2750,-0.00160,0,0,0.0000,1,1,+0.01498,-0.00079,0.08589,179.86,+0.01869,+0.02050,+0.00000,+0.00019,0.08122,1.0000,1,0,0,0,0.0000,-0.09862,+0.08760,1.0000,+0.000,+0.000,1.0000,0,1.0000,0,0,+0.000,+0.000,+0.000,+0.00000,-3.406,+0.00001,+0.00,+0.00000,0,+0.00000,+0.00000,0.02668,+0.004,0,35.1,34.1
1.121259,0,0,0.273317,0.273317,0.2750,-0.00168,0,0,0.0000,1,1,+0.01478,+0.00193,0.08535,180.35,+0.01817,+0.02019,+0.00000,+0.00042,0.08177,1.0000,1,0,0,0,0.0000,-0.09862,+0.08760,1.0000,+0.000,+0.000,1.0000,0,1.0000,0,0,+0.000,+0.000,+0.000,+0.00000,-3.365,+0.00001,+0.00,+0.00000,0,+0.00000,+0.00000,0.01038,+0.003,0,35.1,34.1
1.145914,0,0,0.273124,0.273124,0.2750,-0.00188,0,0,0.0000,1,1,+0.01439,+0.00307,0.08517,180.55,+0.01775,+0.01992,+0.00000,+0.00071,0.08214,1.0000,1,0,0,0,0.0000,-0.09862,+0.08760,1.0000,+0.000,+0.000,1.0000,0,1.0000,0,0,+0.000,+0.000,+0.000,+0.00000,-3.392,+0.00001,+0.00,+0.00000,0,+0.00000,+0.00000,0.00336,+0.003,0,35.1,34.1
1.173131,0,0,0.272957,0.272957,0.2750,-0.00204,0,0,0.0000,1,1,+0.01578,+0.00321,0.08642,180.58,+0.01752,+0.01963,+0.00000,+0.00101,0.08265,1.0000,1,0,0,0,0.0000,-0.09862,+0.08760,1.0000,+0.000,+0.000,1.0000,0,1.0000,0,0,+0.000,+0.000,+0.000,+0.00000,-3.344,+0.00001,+0.00,+0.00000,0,+0.00000,+0.00000,0.00250,+0.003,0,35.1,34.1
1.198251,0,0,0.273165,0.273165,0.2750,-0.00184,0,0,0.0000,1,1,+0.01817,+0.00103,0.08767,180.18,+0.01759,+0.01940,+0.00000,+0.00101,0.08321,1.0000,1,0,0,0,0.0000,-0.09862,+0.08760,1.0000,+0.000,+0.000,1.0000,0,1.0000,0,0,+0.000,+0.000,+0.000,+0.00000,-3.338,+0.00001,+0.00,+0.00000,0,+0.00000,+0.00000,0.00246,+0.003,0,35.1,34.1
1.223674,0,0,0.273351,0.273351,0.2750,-0.00165,0,0,0.0000,1,1,+0.01817,+0.00103,0.08767,180.18,+0.01765,+0.01921,+0.00000,+0.00101,0.08372,1.0000,1,0,0,0,0.0000,-0.09862,+0.08760,1.0000,+0.000,+0.000,1.0000,0,1.0000,0,0,+0.000,+0.000,+0.000,+0.00000,-3.232,+0.00001,+0.00,+0.00000,0,+0.00000,+0.00000,0.00246,+0.003,0,35.1,34.1
1.251952,0,0,0.274500,0.274500,0.2750,-0.00050,0,0,0.0000,1,1,+0.01782,-0.00519,0.08975,179.07,+0.01767,+0.01902,+0.00000,+0.00024,0.08446,1.0000,1,0,0,0,0.0000,-0.09862,+0.08760,1.0000,+0.000,+0.000,1.0000,0,1.0000,0,0,+0.000,+0.000,+0.000,+0.00000,-3.241,+0.00001,+0.00,+0.00000,0,+0.00000,+0.00000,0.00248,+0.003,0,35.1,34.1
1.280753,0,0,0.275976,0.275976,0.2750,+0.00098,0,0,0.0000,1,1,+0.01936,-0.00874,0.09246,178.43,+0.01789,+0.01887,+0.00000,-0.00089,0.08547,1.0000,1,0,0,0,0.0000,-0.09862,+0.08760,1.0000,+0.000,+0.000,1.0000,0,1.0000,0,0,+0.000,+0.000,+0.000,+0.00000,-3.258,+0.00001,+0.00,+0.00000,0,+0.00000,+0.00000,0.00241,+0.002,0,35.1,34.1
1.308489,0,0,0.277554,0.277554,0.2750,+0.00255,0,0,0.0000,1,1,+0.01899,-0.01185,0.09379,177.87,+0.01802,+0.01877,+0.00000,-0.00222,0.08648,1.0000,1,0,0,0,0.0000,-0.09862,+0.08760,1.0000,+0.000,+0.000,1.0000,0,1.0000,0,0,+0.000,+0.000,+0.000,+0.00000,-3.314,+0.00000,+0.00,+0.00000,0,+0.00000,+0.00000,0.00230,+0.002,0,35.1,34.1
1.334881,0,0,0.279213,0.279213,0.2750,+0.00421,0,0,0.0000,1,1,+0.01926,-0.01522,0.09542,177.26,+0.01817,+0.01870,+0.00000,-0.00374,0.08753,1.0000,1,0,0,0,0.0000,-0.09862,+0.08760,1.0000,+0.000,+0.000,1.0000,0,1.0000,0,0,+0.000,+0.000,+0.000,+0.00000,-3.300,+0.00000,+0.00,+0.00000,0,+0.00000,+0.00000,0.00231,+0.002,0,35.1,34.1
1.362653,0,0,0.280809,0.280809,0.2750,+0.00581,0,0,0.0000,1,1,+0.01936,-0.01702,0.09606,176.94,+0.01831,+0.01865,+0.00000,-0.00536,0.08857,1.0000,1,0,0,0,0.0000,-0.09862,+0.08760,1.0000,+0.000,+0.000,1.0000,0,1.0000,0,0,+0.000,+0.000,+0.000,+0.00000,-3.393,+0.00000,+0.00,+0.00000,0,+0.00000,+0.00000,0.00225,+0.002,0,35.1,34.1
1.391162,0,0,0.282016,0.282016,0.2750,+0.00702,0,0,0.0000,1,1,+0.01936,-0.01702,0.09606,176.94,+0.01844,+0.01863,+0.00000,-0.00681,0.08950,1.0000,1,0,0,0,0.0000,-0.09566,+0.08497,0.9700,+0.000,+0.000,1.0000,0,1.0000,0,0,+0.000,+0.000,+0.000,+0.00000,-3.409,+0.00000,+0.00,+0.00000,0,+0.00000,+0.00000,0.00225,+0.002,0,35.1,34.1
1.418854,0,0,0.283056,0.283056,0.2750,+0.00806,0,0,0.0000,1,1,+0.01900,-0.01832,0.09702,176.70,+0.01851,+0.01861,+0.00000,-0.00821,0.09042,1.0000,1,0,0,0,0.0000,-0.09051,+0.08040,0.9178,+0.000,+0.000,1.0000,0,1.0000,0,0,+0.000,+0.000,+0.000,+0.00000,-3.427,+0.00000,+0.00,+0.00000,0,+0.00000,+0.00000,0.00219,+0.002,0,35.1,34.1
1.449328,0,0,0.284093,0.284093,0.2750,+0.00909,0,0,0.0000,1,1,+0.01893,-0.01993,0.09782,176.41,+0.01856,+0.01861,+0.00000,-0.00976,0.09140,1.0000,1,0,0,0,0.0000,-0.08516,+0.07564,0.8635,+0.000,+0.000,1.0000,0,1.0000,0,0,+0.000,+0.000,+0.000,+0.00000,-3.439,+0.00000,+0.00,+0.00000,0,+0.00000,+0.00000,0.00215,+0.002,0,35.1,34.1
1.473943,0,0,0.284824,0.284824,0.2750,+0.00982,0,0,0.0000,1,1,+0.01899,-0.02091,0.09844,176.24,+0.01861,+0.01861,+0.00000,-0.01098,0.09217,1.0000,1,0,0,0,0.0000,-0.08106,+0.07201,0.8220,+0.000,+0.000,1.0000,0,1.0000,0,0,+0.000,+0.000,+0.000,+0.00000,-3.507,+0.00000,+0.00,+0.00000,0,+0.00000,+0.00000,0.00214,+0.002,0,35.1,34.1
1.501459,0,0,0.285295,0.285295,0.2750,+0.01030,0,0,0.0000,1,1,+0.01826,-0.02049,0.09750,176.31,+0.01857,+0.01860,+0.00000,-0.01213,0.09281,1.0000,1,0,0,0,0.0000,-0.07672,+0.06815,0.7780,+0.000,+0.000,1.0000,0,1.0000,0,0,+0.000,+0.000,+0.000,+0.00000,-3.462,+0.00000,+0.00,+0.00000,0,+0.00000,+0.00000,0.00232,+0.001,0,35.1,34.1
1.526635,0,0,0.285548,0.285548,0.2750,+0.01055,0,0,0.0000,1,1,+0.01826,-0.02049,0.09750,176.31,+0.01853,+0.01859,+0.00000,-0.01307,0.09334,1.0000,1,0,0,0,0.0000,-0.07296,+0.06481,0.7398,+0.000,+0.000,1.0000,0,1.0000,0,0,+0.000,+0.000,+0.000,+0.00000,-3.543,+0.00000,+0.00,+0.00000,0,+0.00000,+0.00000,0.00232,+0.001,0,35.1,34.1
1.553834,0,0,0.285675,0.285675,0.2750,+0.01068,0,0,0.0000,1,1,+0.01877,-0.02062,0.09702,176.29,+0.01856,+0.01859,+0.00000,-0.01397,0.09378,1.0000,1,0,0,0,0.0000,-0.06909,+0.06138,0.7006,+0.000,+0.000,1.0000,0,1.0000,0,0,+0.000,+0.000,+0.000,+0.00000,-3.608,+0.00000,+0.00,+0.00000,0,+0.00000,+0.00000,0.00294,+0.001,0,35.1,34.1
