t,seg,active_gate,thrust,thrust_cmd,base_thrust,vtrim,descent_on,desc_leg,descent_bias,gate_v_ok,gate_found,u_err,v_err,size_frac,cy,u_f,u_f2,du_lat,v_f,sz_f,sig_k,live,far_rej,tube_solid,u_tube_f,curv_f,rail_k,gate_cmd_deg,committed,commit_k,steer,bank_seg,ff_bank_deg,trim_deg,des_roll_deg,roll_n,est_pitch_deg,gyro_pitch,des_pitch_deg,pitch_n,tube_found,u_tube,curvature,area_frac,est_roll_deg,hold_on,loop_hz,det_hz
0.001596,0,0,0.277446,0.277446,0.2750,+0.00245,0,0,0.0000,1,1,+0.02110,-0.01529,0.08352,177.25,+0.02110,+0.02110,+0.00000,-0.01529,0.08352,1.0000,1,0,1,-0.02241,+0.00017,1.0000,+0.000,0,1.0000,0,0,+0.000,+0.000,+0.000,+0.00000,-17.801,+0.00000,+0.00,+0.00000,1,-0.02241,+0.00017,0.01801,+0.016,0,0.0,0.0
0.034217,0,0,0.277764,0.277764,0.2750,+0.00276,0,0,0.0000,1,1,+0.02037,-0.01712,0.08444,176.92,+0.02100,+0.02109,+0.00000,-0.01555,0.08365,1.0000,1,0,1,-0.02276,+0.00036,1.0000,+0.000,0,1.0000,0,0,+0.000,+0.000,+0.000,+0.00000,-17.801,+0.00000,+0.00,+0.00000,1,-0.02494,+0.00153,0.01892,+0.016,0,0.0,0.0
0.063401,0,0,0.277980,0.277980,0.2750,+0.00298,0,0,0.0000,1,1,+0.02037,-0.01712,0.08444,176.92,+0.02092,+0.02107,+0.00000,-0.01575,0.08375,1.0000,1,0,1,-0.02304,+0.00051,1.0000,+0.000,0,1.0000,0,0,+0.000,+0.000,+0.000,+0.00000,-17.847,-0.01689,+0.00,+0.00000,1,-0.02494,+0.00153,0.01892,+0.000,0,0.0,0.0
0.094127,0,0,0.278161,0.278161,0.2750,+0.00316,0,0,0.0000,1,1,+0.01925,-0.01721,0.08315,176.90,+0.02070,+0.02102,+0.00000,-0.01594,0.08367,1.0000,1,0,1,-0.02162,-0.00563,1.0000,+0.000,0,1.0000,0,0,+0.000,+0.000,+0.000,+0.00000,-17.515,-0.00221,+0.00,+0.00000,1,-0.01235,-0.04557,0.10917,+0.016,0,0.0,0.0
0.125468,0,0,0.278292,0.278292,0.2750,+0.00329,0,0,0.0000,1,1,+0.01925,-0.01721,0.08315,176.90,+0.02050,+0.02095,+0.00000,-0.01611,0.08360,1.0000,1,0,1,-0.02036,-0.01104,1.0000,+0.000,0,1.0000,0,0,+0.000,+0.000,+0.000,+0.00000,-16.748,-0.00462,+0.00,+0.00000,1,-0.01235,-0.04557,0.10917,+0.020,0,0.0,0.0
0.153571,0,0,0.278507,0.278507,0.2750,+0.00351,0,0,0.0000,1,1,+0.01725,-0.01808,0.08032,176.75,+0.02010,+0.02084,+0.00000,-0.01636,0.08319,1.0000,1,0,1,-0.01829,-0.00961,1.0000,+0.000,0,1.0000,0,0,+0.000,+0.000,+0.000,+0.00000,-15.575,+0.00521,+0.00,+0.00000,1,-0.00352,+0.00060,0.16403,+0.020,0,0.0,0.0
0.187490,0,0,0.278125,0.278125,0.2750,+0.00313,0,0,0.0000,1,1,+0.01594,-0.01494,0.07454,177.31,+0.01950,+0.02065,+0.00000,-0.01615,0.08194,1.0000,1,0,1,-0.01589,-0.00799,1.0000,+0.000,0,1.0000,0,0,+0.000,+0.000,+0.000,+0.00000,-14.408,+0.00158,+0.00,+0.00000,1,-0.00175,+0.00155,0.17342,+0.019,0,0.0,0.0
0.217389,0,0,0.278125,0.278125,0.2750,+0.00313,0,0,0.0000,1,1,+0.01332,+0.04896,0.05300,188.81,+0.01950,+0.02050,+0.00000,-0.01615,0.08194,1.0000,0,1,1,-0.01424,-0.00652,1.0000,+0.000,0,1.0000,0,0,+0.000,+0.000,+0.000,+0.00000,-13.691,+0.00047,+0.00,+0.00000,1,-0.00323,+0.00327,0.16393,+0.018,0,0.0,0.0
0.242910,0,0,0.278125,0.278125,0.2750,+0.00313,0,0,0.0000,1,1,+0.01224,+0.01170,0.05415,182.11,+0.01950,+0.02038,+0.00000,-0.01615,0.08194,1.0000,0,1,1,-0.01333,-0.00504,1.0000,+0.000,0,1.0000,0,0,+0.000,+0.000,+0.000,+0.00000,-12.873,+0.00092,+0.00,+0.00000,1,-0.00617,+0.00660,0.14618,+0.017,0,0.0,0.0
0.271321,0,0,0.272843,0.272843,0.2750,-0.00216,0,0,0.0000,1,1,+0.01374,+0.01727,0.05583,183.11,+0.01878,+0.02019,+0.00000,-0.01199,0.07869,1.0000,1,0,1,-0.01315,-0.00309,1.0000,+0.000,0,1.0000,0,0,+0.000,+0.000,+0.000,+0.00000,-12.095,+0.00080,+0.00,+0.00000,1,-0.01192,+0.01059,0.10985,+0.016,0,0.0,0.0
0.298271,0,0,0.270859,0.270859,0.2750,-0.00414,0,0,0.0000,1,1,+0.01452,+0.00448,0.06186,180.81,+0.01827,+0.01996,+0.00000,-0.01004,0.07669,1.0000,1,0,1,-0.01327,-0.00148,1.0000,+0.000,0,1.0000,0,0,+0.000,+0.000,+0.000,+0.00000,-11.424,+0.00067,+0.00,+0.00000,1,-0.01414,+0.01048,0.08282,+0.016,0,0.0,0.0
0.328462,0,0,0.270395,0.270395,0.2750,-0.00460,0,0,0.0000,1,1,+0.01973,-0.00259,0.06713,179.53,+0.01847,+0.01976,+0.00000,-0.00906,0.07544,1.0000,1,0,1,-0.01516,+0.00173,1.0000,+0.000,0,1.0000,0,0,+0.000,+0.000,+0.000,+0.00000,-10.822,+0.00058,+0.00,+0.00000,1,-0.02765,+0.02305,0.06429,+0.015,0,0.0,0.0
0.357527,0,0,0.270136,0.270136,0.2750,-0.00486,0,0,0.0000,1,1,+0.01973,-0.00259,0.06713,179.53,+0.01863,+0.01962,+0.00000,-0.00824,0.07438,1.0000,1,0,1,-0.01674,+0.00444,1.0000,+0.000,0,1.0000,0,0,+0.000,+0.000,+0.000,+0.00000,-10.251,+0.00052,+0.00,+0.00000,1,-0.02765,+0.02305,0.06429,+0.014,0,0.0,0.0
0.385205,0,0,0.270577,0.270577,0.2750,-0.00442,0,0,0.0000,1,1,+0.01891,-0.00621,0.07049,178.88,+0.01866,+0.01950,+0.00000,-0.00799,0.07391,1.0000,1,0,1,-0.02163,+0.01006,1.0000,+0.000,0,1.0000,0,0,+0.000,+0.000,+0.000,+0.00000,-9.730,+0.00047,+0.00,+0.00000,1,-0.05695,+0.05072,0.04817,+0.013,0,0.0,0.0
0.411201,0,0,0.270478,0.270478,0.2750,-0.00452,0,0,0.0000,1,1,+0.02007,-0.00281,0.07158,179.49,+0.01882,+0.01942,+0.00000,-0.00740,0.07364,1.0000,1,0,1,-0.02289,+0.01183,1.0000,+0.000,0,1.0000,0,0,+0.000,+0.000,+0.000,+0.00000,-9.283,+0.00042,+0.00,+0.00000,1,-0.03255,+0.02545,0.04024,+0.013,0,0.0,0.0
0.441694,0,0,0.270153,0.270153,0.2750,-0.00485,0,0,0.0000,1,1,+0.02017,-0.00084,0.07286,179.85,+0.01900,+0.01937,+0.00000,-0.00653,0.07354,1.0000,1,0,1,-0.02371,+0.01275,1.0000,+0.000,0,1.0000,0,0,+0.000,+0.000,+0.000,+0.00000,-8.816,+0.00036,+0.00,+0.00000,1,-0.02911,+0.01873,0.03484,+0.012,0,0.0,0.0
0.472390,0,0,0.269032,0.269032,0.2750,-0.00597,0,0,0.0000,1,1,+0.02117,+0.00498,0.07136,180.90,+0.01929,+0.01936,+0.00000,-0.00500,0.07325,1.0000,1,0,1,-0.02479,+0.01353,1.0000,+0.000,0,1.0000,0,0,+0.000,+0.000,+0.000,+0.00000,-8.151,+0.00030,+0.00,+0.00000,1,-0.03183,+0.01866,0.03252,+0.011,0,0.0,0.0
0.502337,0,0,0.268973,0.268973,0.2750,-0.00603,0,0,0.0000,1,1,+0.02270,+0.00079,0.07495,180.14,+0.01973,+0.01941,+0.00000,-0.00424,0.07347,1.0000,1,0,1,-0.02613,+0.01397,1.0000,+0.000,0,1.0000,0,0,+0.000,+0.000,+0.000,+0.00000,-7.989,+0.00027,+0.00,+0.00000,1,-0.03506,+0.01687,0.03077,+0.011,0,0.0,0.0
0.530800,0,0,0.269127,0.269127,0.2750,-0.00587,0,0,0.0000,1,1,+0.02251,+0.00012,0.07577,180.02,+0.02008,+0.01949,+0.00000,-0.00370,0.07376,1.0000,1,0,1,-0.02783,+0.01426,1.0000,+0.000,0,1.0000,0,0,+0.000,+0.000,+0.000,+0.00000,-7.695,+0.00024,+0.00,+0.00000,1,-0.03978,+0.01628,0.03007,+0.010,0,0.0,0.0
0.559756,0,0,0.269410,0.269410,0.2750,-0.00559,0,0,0.0000,1,1,+0.02227,-0.00033,0.07935,179.94,+0.02036,+0.01960,+0.00000,-0.00327,0.07446,1.0000,1,0,1,-0.03229,+0.01655,1.0000,+0.000,0,1.0000,0,0,+0.000,+0.000,+0.000,+0.00000,-7.407,+0.00021,+0.00,+0.00000,1,-0.06312,+0.03240,0.02927,+0.010,0,0.0,0.0
0.590778,0,0,0.269740,0.269740,0.2750,-0.00526,0,0,0.0000,1,1,+0.02227,-0.00033,0.07935,179.94,+0.02061,+0.01974,+0.00000,-0.00288,0.07512,1.0000,1,0,1,-0.03643,+0.01868,1.0000,+0.000,0,1.0000,0,0,+0.000,+0.000,+0.000,+0.00000,-7.074,+0.00019,+0.00,+0.00000,1,-0.06312,+0.03240,0.02927,+0.009,0,0.0,0.0
0.621349,0,0,0.270743,0.270743,0.2750,-0.00426,0,0,0.0000,1,1,+0.02199,-0.00436,0.08127,179.21,+0.02080,+0.01988,+0.00000,-0.00307,0.07594,1.0000,1,0,1,-0.03796,+0.01801,1.0000,+0.000,0,1.0000,0,0,+0.000,+0.000,+0.000,+0.00000,-6.690,+0.00016,+0.00,+0.00000,1,-0.04793,+0.01366,0.02870,+0.009,0,0.0,0.0
0.650927,0,0,0.272185,0.272185,0.2750,-0.00281,0,0,0.0000,1,1,+0.02062,-0.00823,0.08315,178.52,+0.02077,+0.01999,+0.00000,-0.00374,0.07686,1.0000,1,0,1,-0.03954,+0.01691,1.0000,+0.000,0,1.0000,0,0,+0.000,+0.000,+0.000,+0.00000,-6.241,+0.00014,+0.00,+0.00000,1,-0.05026,+0.00946,0.02634,+0.008,0,0.0,0.0
