t,seg,active_gate,thrust,thrust_cmd,base_thrust,vtrim,descent_on,desc_leg,descent_bias,gate_v_ok,gate_found,u_err,v_err,size_frac,cy,u_f,u_f2,du_lat,v_f,sz_f,sig_k,live,far_rej,gate_cmd_deg,committed,commit_k,steer,bank_seg,ff_bank_deg,trim_deg,des_roll_deg,roll_n,est_pitch_deg,gyro_pitch,des_pitch_deg,pitch_n,tube_found,u_tube,curvature,area_frac,est_roll_deg,hold_on,loop_hz,det_hz
0.017001,0,0,0.276753,0.276753,0.2750,+0.00175,0,0,0.0000,1,1,+0.02161,-0.01096,0.08127,178.03,+0.02161,+0.02161,+0.00000,-0.01096,0.08127,1.0000,1,0,+0.000,0,1.0000,0,0,+0.000,+0.000,+0.000,+0.00000,-17.800,+0.00000,+0.00,+0.00000,0,+0.00000,+0.00000,0.00000,+0.016,0,0.0,0.0
0.033608,0,0,0.276753,0.276753,0.2750,+0.00175,0,0,0.0000,1,1,+0.02161,-0.01096,0.08127,178.03,+0.02161,+0.02161,+0.00000,-0.01096,0.08127,1.0000,1,0,+0.000,0,1.0000,0,0,+0.000,+0.000,+0.000,+0.00000,-17.800,+0.00000,+0.00,+0.00000,0,+0.00000,+0.00000,0.00000,+0.016,0,0.0,0.0
0.046237,0,0,0.276859,0.276859,0.2750,+0.00186,0,0,0.0000,1,1,+0.02138,-0.01229,0.08165,177.79,+0.02160,+0.02161,+0.00000,-0.01103,0.08129,1.0000,1,0,+0.000,0,1.0000,0,0,+0.000,+0.000,+0.000,+0.00000,-17.800,+0.00000,+0.00,+0.00000,0,+0.00000,+0.00000,0.00000,+0.016,0,0.0,0.0
0.059107,0,0,0.276974,0.276974,0.2750,+0.00197,0,0,0.0000,1,1,+0.02210,-0.01253,0.08240,177.75,+0.02163,+0.02161,+0.00000,-0.01112,0.08136,1.0000,1,0,+0.000,0,1.0000,0,0,+0.000,+0.000,+0.000,+0.00000,-17.825,-0.02999,+0.00,+0.00000,0,+0.00000,+0.00000,0.00000,+0.028,0,0.0,0.0
0.072128,0,0,0.277076,0.277076,0.2750,+0.00208,0,0,0.0000,1,1,+0.02210,-0.01253,0.08240,177.75,+0.02166,+0.02162,+0.00000,-0.01121,0.08142,1.0000,1,0,+0.000,0,1.0000,0,0,+0.000,+0.000,+0.000,+0.00000,-17.784,-0.00644,+0.00,+0.00000,0,+0.00000,+0.00000,0.00000,+0.025,0,0.0,0.0
0.084368,0,0,0.277161,0.277161,0.2750,+0.00216,0,0,0.0000,1,1,+0.02210,-0.01253,0.08240,177.75,+0.02168,+0.02162,+0.00000,-0.01129,0.08148,1.0000,1,0,+0.000,0,1.0000,0,0,+0.000,+0.000,+0.000,+0.00000,-17.660,-0.00230,+0.00,+0.00000,0,+0.00000,+0.00000,0.00000,+0.019,0,0.0,0.0
0.097028,0,0,0.277238,0.277238,0.2750,+0.00224,0,0,0.0000,1,1,+0.02210,-0.01253,0.08240,177.75,+0.02171,+0.02162,+0.00000,-0.01136,0.08154,1.0000,1,0,+0.000,0,1.0000,0,0,+0.000,+0.000,+0.000,+0.00000,-17.349,-0.00061,+0.00,+0.00000,0,+0.00000,+0.00000,0.00000,+0.015,0,0.0,0.0
0.112037,0,0,0.277382,0.277382,0.2750,+0.00238,0,0,0.0000,1,1,+0.02179,-0.01323,0.08240,177.62,+0.02171,+0.02163,+0.00000,-0.01149,0.08160,1.0000,1,0,+0.000,0,1.0000,0,0,+0.000,+0.000,+0.000,+0.00000,-17.078,-0.00436,+0.00,+0.00000,0,+0.00000,+0.00000,0.00000,+0.015,0,0.0,0.0
0.125480,0,0,0.277494,0.277494,0.2750,+0.00249,0,0,0.0000,1,1,+0.02179,-0.01323,0.08240,177.62,+0.02172,+0.02164,+0.00000,-0.01160,0.08165,1.0000,1,0,+0.000,0,1.0000,0,0,+0.000,+0.000,+0.000,+0.00000,-16.494,+0.00009,+0.00,+0.00000,0,+0.00000,+0.00000,0.00000,+0.015,0,0.0,0.0
0.137754,0,0,0.277847,0.277847,0.2750,+0.00285,0,0,0.0000,1,1,+0.02200,-0.01664,0.08444,177.00,+0.02173,+0.02164,+0.00000,-0.01189,0.08181,1.0000,1,0,+0.000,0,1.0000,0,0,+0.000,+0.000,+0.000,+0.00000,-16.181,+0.00345,+0.00,+0.00000,0,+0.00000,+0.00000,0.00000,+0.015,0,0.0,0.0
