t,seg,active_gate,thrust,thrust_cmd,base_thrust,vtrim,descent_on,gate_v_ok,gate_found,u_err,v_err,size_frac,cy,u_f,v_f,sz_f,sig_k,live,far_rej,steer,bank_seg,ff_bank_deg,trim_deg,des_roll_deg,roll_n,est_pitch_deg,gyro_pitch,des_pitch_deg,pitch_n,tube_found,u_tube,curvature,area_frac,est_roll_deg,hold_on,loop_hz,det_hz
0.002720,0,0,0.276604,0.276604,0.2750,+0.00160,0,1,1,+0.02090,-0.01003,0.08146,178.20,+0.02090,-0.01003,0.08146,1.0000,1,0,0,0,+0.000,+0.000,+0.000,+0.00000,-17.800,+0.00000,0.00,+0.00000,1,-0.01847,+0.00102,0.01861,+0.018,0,0.0,0.0
0.038676,0,0,0.276604,0.276604,0.2750,+0.00160,0,1,1,+0.02090,-0.01003,0.08146,178.20,+0.02090,-0.01003,0.08146,1.0000,1,0,0,0,+0.000,+0.000,+0.000,+0.00000,-17.800,+0.00000,0.00,+0.00000,1,-0.01847,+0.00102,0.01861,+0.018,0,0.0,0.0
0.069891,0,0,0.276812,0.276812,0.2750,+0.00181,0,1,1,+0.02110,-0.01127,0.08146,177.97,+0.02093,-0.01019,0.08146,1.0000,1,0,0,0,+0.000,+0.000,+0.000,+0.00000,-17.888,-0.01768,0.00,+0.00000,1,-0.01404,-0.00465,0.01836,-0.012,0,0.0,0.0
0.099892,0,0,0.276963,0.276963,0.2750,+0.00196,0,1,1,+0.02110,-0.01127,0.08146,177.97,+0.02095,-0.01033,0.08146,1.0000,1,0,0,0,+0.000,+0.000,+0.000,+0.00000,-17.559,+0.00028,0.00,+0.00000,1,-0.01404,-0.00465,0.01836,-0.007,0,0.0,0.0
0.129808,0,0,0.277359,0.277359,0.2750,+0.00236,0,1,1,+0.02172,-0.01302,0.08259,177.66,+0.02105,-0.01068,0.08161,1.0000,1,0,0,0,+0.000,+0.000,+0.000,+0.00000,-16.511,+0.00044,0.00,+0.00000,1,-0.01585,-0.00284,0.01811,-0.005,0,0.0,0.0
0.160519,0,0,0.277822,0.277822,0.2750,+0.00282,0,1,1,+0.02186,-0.01400,0.08296,177.48,+0.02116,-0.01112,0.08179,1.0000,1,0,0,0,+0.000,+0.000,+0.000,+0.00000,-15.536,+0.00459,0.00,+0.00000,1,-0.01539,-0.00387,0.01800,-0.004,0,0.0,0.0
0.189785,0,0,0.278433,0.278433,0.2750,+0.00343,0,1,1,+0.02237,-0.01579,0.08389,177.16,+0.02131,-0.01172,0.08206,1.0000,1,0,0,0,+0.000,+0.000,+0.000,+0.00000,-14.647,+0.00154,0.00,+0.00000,1,-0.02254,+0.00176,0.01788,-0.002,0,0.0,0.0
0.219530,0,0,0.279297,0.279297,0.2750,+0.00430,0,1,1,+0.02238,-0.01831,0.08535,176.70,+0.02145,-0.01257,0.08248,1.0000,1,0,0,0,+0.000,+0.000,+0.000,+0.00000,-13.836,+0.00043,0.00,+0.00000,1,-0.01814,-0.00359,0.01780,-0.001,0,0.0,0.0
0.251108,0,0,0.280151,0.280151,0.2750,+0.00515,0,1,1,+0.02164,-0.01947,0.08571,176.50,+0.02148,-0.01351,0.08292,1.0000,1,0,0,0,+0.000,+0.000,+0.000,+0.00000,-12.765,+0.00086,0.00,+0.00000,1,-0.01419,-0.00908,0.01777,-0.001,0,0.0,0.0
0.279410,0,0,0.280658,0.280658,0.2750,+0.00566,0,1,1,+0.02215,-0.01915,0.08589,176.55,+0.02156,-0.01421,0.08329,1.0000,1,0,0,0,+0.000,+0.000,+0.000,+0.00000,-12.006,+0.00073,0.00,+0.00000,1,-0.00738,-0.01565,0.01771,-0.000,0,0.0,0.0
0.310784,0,0,0.281172,0.281172,0.2750,+0.00617,0,1,1,+0.02146,-0.02000,0.08607,176.40,+0.02155,-0.01500,0.08367,1.0000,1,0,0,0,+0.000,+0.000,+0.000,+0.00000,-11.284,+0.00062,0.00,+0.00000,1,-0.01543,-0.01129,0.01832,+0.000,0,0.0,0.0
