t,seg,active_gate,thrust,thrust_cmd,base_thrust,vtrim,descent_on,gate_v_ok,gate_found,u_err,v_err,size_frac,cy,u_f,u_f2,du_lat,v_f,sz_f,sig_k,live,far_rej,steer,bank_seg,ff_bank_deg,trim_deg,des_roll_deg,roll_n,est_pitch_deg,gyro_pitch,des_pitch_deg,pitch_n,tube_found,u_tube,curvature,area_frac,est_roll_deg,hold_on,loop_hz,det_hz
0.006651,0,0,0.277971,0.277971,0.2750,+0.00297,0,1,1,+0.02034,-0.01857,0.08389,176.66,+0.02034,+0.02034,+0.00000,-0.01857,0.08389,1.0000,1,0,0,0,+0.000,+0.000,+0.000,+0.00000,-17.803,+0.00000,-15.00,+0.00408,1,-0.00993,-0.03256,0.11826,+0.015,0,0.0,0.0
0.039557,0,0,0.278166,0.278166,0.2750,+0.00317,0,1,1,+0.01869,-0.01969,0.08146,176.46,+0.02011,+0.02031,+0.00000,-0.01873,0.08354,1.0000,1,0,0,0,+0.000,+0.000,+0.000,+0.00000,-17.803,+0.00000,-15.00,+0.00408,1,-0.00354,+0.00046,0.16289,+0.015,0,0.0,0.0
0.067047,0,0,0.277526,0.277526,0.2750,+0.00253,0,1,1,+0.01607,-0.01465,0.07495,177.36,+0.01962,+0.02022,+0.00000,-0.01823,0.08251,1.0000,1,0,0,0,+0.000,+0.000,+0.000,+0.00000,-17.850,-0.01626,-15.00,+0.00435,1,-0.00189,+0.00132,0.17335,-0.003,0,0.0,0.0
0.095838,0,0,0.277011,0.277011,0.2750,+0.00201,0,1,1,+0.01607,-0.01465,0.07495,177.36,+0.01917,+0.02009,+0.00000,-0.01778,0.08155,1.0000,1,0,0,0,+0.000,+0.000,+0.000,+0.00000,-17.491,+0.00044,-15.00,+0.00362,1,-0.00189,+0.00132,0.17335,-0.011,0,0.0,0.0
0.125757,0,0,0.277011,0.277011,0.2750,+0.00201,0,1,1,+0.01500,+0.05124,0.05122,189.22,+0.01917,+0.01997,+0.00000,-0.01778,0.08155,1.0000,0,1,0,0,+0.000,+0.000,+0.000,+0.00000,-16.663,+0.03873,-15.00,+0.00193,1,-0.00372,+0.00424,0.15991,-0.016,0,0.0,0.0
0.152692,0,0,0.277011,0.277011,0.2750,+0.00201,0,1,1,+0.01449,+0.05114,0.05212,189.20,+0.01917,+0.01988,+0.00000,-0.01778,0.08155,1.0000,0,1,0,0,+0.000,+0.000,+0.000,+0.00000,-15.631,+0.09322,-15.00,-0.00025,1,-0.00535,+0.00548,0.14481,-0.014,0,0.0,0.0
0.179361,0,0,0.273109,0.273109,0.2750,-0.00189,0,1,1,+0.01314,+0.00914,0.05747,181.64,+0.01846,+0.01971,+0.00000,-0.01462,0.07872,1.0000,1,0,0,0,+0.000,+0.000,+0.000,+0.00000,-14.629,+0.05038,-15.00,-0.00117,1,-0.01240,+0.01207,0.11526,-0.010,0,0.0,0.0
0.208380,0,0,0.269943,0.269943,0.2750,-0.00506,0,1,1,+0.01333,+0.00872,0.06111,181.57,+0.01781,+0.01947,+0.00000,-0.01166,0.07649,1.0000,1,0,0,0,+0.000,+0.000,+0.000,+0.00000,-13.753,-0.00178,-15.00,-0.00179,1,-0.01218,+0.00956,0.07898,-0.009,0,0.0,0.0
0.237028,0,0,0.269212,0.269212,0.2750,-0.00579,0,1,1,+0.01593,-0.00148,0.06455,179.73,+0.01758,+0.01923,+0.00000,-0.01038,0.07499,1.0000,1,0,0,0,+0.000,+0.000,+0.000,+0.00000,-12.928,-0.00650,-15.00,-0.00293,1,-0.01764,+0.01365,0.06500,-0.008,0,0.0,0.0
0.264227,0,0,0.268761,0.268761,0.2750,-0.00624,0,1,1,+0.01593,-0.00148,0.06455,179.73,+0.01738,+0.01901,+0.00000,-0.00932,0.07374,1.0000,1,0,0,0,+0.000,+0.000,+0.000,+0.00000,-11.941,-0.00967,-15.00,-0.00433,1,-0.01764,+0.01365,0.06500,-0.007,0,0.0,0.0
