t,seg,active_gate,thrust,thrust_cmd,base_thrust,vtrim,descent_on,gate_v_ok,gate_found,u_err,v_err,size_frac,cy,steer,des_roll_deg,roll_n,est_pitch_deg,gyro_pitch,des_pitch_deg,pitch_n,tube_found,u_tube,curvature,area_frac,est_roll_deg,hold_on,loop_hz,det_hz
0.016345,0,0,0.274217,0.274217,0.2750,-0.00078,0,1,1,+0.02062,+0.00489,0.07536,180.88,0,+0.000,+0.00000,-17.800,+0.00000,-17.80,+0.00000,1,-0.01457,-0.00510,0.02237,+0.016,0,0.0,0.0
0.052301,0,0,0.276775,0.276775,0.2750,+0.00177,0,1,1,+0.02041,+0.00225,0.07617,180.40,0,+0.000,+0.00000,-17.800,+0.00000,-17.80,+0.00000,1,-0.01615,-0.00113,0.02125,+0.016,0,0.0,0.0
0.082821,0,0,0.279547,0.279547,0.2750,+0.00455,0,1,1,+0.02075,-0.00092,0.07738,179.84,0,+0.000,+0.00000,-17.827,-0.01186,-17.80,+0.00000,1,-0.01895,+0.00122,0.02036,-0.000,0,0.0,0.0
0.112667,0,0,0.281125,0.281125,0.2750,+0.00613,0,1,1,+0.02004,-0.00324,0.07837,179.42,0,+0.000,+0.00000,-17.205,-0.00205,-17.80,+0.00000,1,-0.01414,-0.00477,0.01978,-0.002,0,0.0,0.0
0.142226,0,0,0.280235,0.280235,0.2750,+0.00523,0,1,1,+0.02094,-0.00327,0.07798,179.41,0,+0.000,+0.00000,-16.357,-0.00229,-17.80,+0.00000,1,-0.01541,-0.00246,0.01924,+0.002,0,0.0,0.0
0.172490,0,0,0.283319,0.283319,0.2750,+0.00832,0,1,1,+0.02108,-0.00718,0.08032,178.71,0,+0.000,+0.00000,-15.162,+0.00452,-17.80,+0.00000,1,-0.01401,-0.00447,0.01910,+0.004,0,0.0,0.0
0.203495,0,0,0.284366,0.284366,0.2750,+0.00937,0,1,1,+0.02044,-0.00948,0.08070,178.29,0,+0.000,+0.00000,-14.260,+0.00067,-17.80,+0.00000,1,-0.01208,-0.00524,0.01894,+0.003,0,0.0,0.0
0.233792,0,0,0.283528,0.283528,0.2750,+0.00853,0,1,1,+0.01969,-0.00996,0.08108,178.21,0,+0.000,+0.00000,-13.086,+0.00050,-17.80,+0.00000,1,-0.01041,-0.00574,0.01880,+0.003,0,0.0,0.0
0.261964,0,0,0.281408,0.281408,0.2750,+0.00641,0,1,1,+0.02039,-0.00894,0.08051,178.39,0,+0.000,+0.00000,-12.291,+0.00078,-17.80,+0.00000,1,-0.01735,-0.00304,0.01863,+0.003,0,0.0,0.0
0.295582,0,0,0.281859,0.281859,0.2750,+0.00686,0,1,1,+0.02215,-0.01034,0.08146,178.14,0,+0.000,+0.00000,-11.265,+0.00061,-17.80,+0.00000,1,-0.01397,-0.00555,0.01841,+0.003,0,0.0,0.0
0.328337,0,0,0.280515,0.280515,0.2750,+0.00551,0,1,1,+0.02228,-0.00992,0.08127,178.21,0,+0.000,+0.00000,-10.357,+0.00050,-17.80,+0.00000,1,-0.01166,-0.01038,0.01847,+0.003,0,0.0,0.0
0.359590,0,0,0.282895,0.282895,0.2750,+0.00790,0,1,1,+0.02241,-0.01301,0.08278,177.66,0,+0.000,+0.00000,-9.645,+0.00045,-17.80,+0.00000,1,-0.01551,-0.00613,0.01852,+0.003,0,0.0,0.0
0.390747,0,0,0.283676,0.283676,0.2750,+0.00868,0,1,1,+0.02218,-0.01481,0.08389,177.33,0,+0.000,+0.00000,-8.852,+0.00039,-17.80,+0.00000,1,-0.02181,-0.00315,0.01833,+0.003,0,0.0,0.0
0.421980,0,0,0.282589,0.282589,0.2750,+0.00759,0,1,1,+0.02218,-0.01481,0.08389,177.33,0,+0.000,+0.00000,-8.102,+0.00033,-17.80,+0.00000,1,-0.02181,-0.00315,0.01833,+0.003,0,0.0,0.0
0.452178,0,0,0.282119,0.282119,0.2750,+0.00712,0,1,1,+0.02214,-0.01522,0.08370,177.26,0,+0.000,+0.00000,-7.814,+0.00030,-17.80,+0.00000,1,-0.02459,+0.00239,0.01808,+0.003,0,0.0,0.0
0.481735,0,0,0.282353,0.282353,0.2750,+0.00735,0,1,1,+0.02185,-0.01623,0.08425,177.08,0,+0.000,+0.00000,-7.193,+0.00026,-17.80,+0.00000,1,-0.01920,-0.00305,0.01818,+0.003,0,0.0,0.0
0.511739,0,0,0.282489,0.282489,0.2750,+0.00749,0,1,1,+0.02082,-0.01717,0.08480,176.91,0,+0.000,+0.00000,-6.789,+0.00023,-17.80,+0.00000,1,-0.02743,+0.00239,0.01850,+0.003,0,0.0,0.0
0.540752,0,0,0.282320,0.282320,0.2750,+0.00732,0,1,1,+0.02107,-0.01777,0.08553,176.80,0,+0.000,+0.00000,-6.407,+0.00021,-17.80,+0.00000,1,-0.03770,+0.01294,0.01927,+0.003,0,0.0,0.0
0.569248,0,0,0.282480,0.282480,0.2750,+0.00748,0,1,1,+0.02103,-0.01864,0.08589,176.64,0,+0.000,+0.00000,-6.031,+0.00018,-17.80,+0.00000,1,-0.04226,+0.01466,0.02003,+0.003,0,0.0,0.0
0.598642,0,0,0.280525,0.280525,0.2750,+0.00553,0,1,1,+0.02052,-0.01742,0.08535,176.86,0,+0.000,+0.00000,-5.845,+0.00016,-17.80,+0.00000,1,-0.10332,+0.07083,0.02299,+0.003,0,0.0,0.0
0.626727,0,0,0.279554,0.279554,0.2750,+0.00455,0,1,1,+0.02127,-0.01688,0.08480,176.96,0,+0.000,+0.00000,-5.513,+0.00014,-17.80,+0.00000,1,-0.04447,-0.00726,0.12171,+0.003,0,0.0,0.0
0.655014,0,0,0.275071,0.275071,0.2750,+0.00007,0,1,1,+0.02065,-0.01270,0.08184,177.71,0,+0.000,+0.00000,-5.331,+0.00013,-17.80,+0.00000,1,-0.01692,+0.01723,0.17915,+0.003,0,0.0,0.0
0.685528,0,0,0.261891,0.261891,0.2750,-0.01311,0,1,1,+0.01903,+0.00094,0.07412,180.17,0,+0.000,+0.00000,-4.999,+0.00010,-17.80,+0.00000,1,-0.01230,+0.01515,0.20109,+0.002,0,0.0,0.0
0.718585,0,0,0.255617,0.255617,0.2750,-0.01938,0,1,1,+0.01528,+0.00973,0.06872,181.75,0,+0.000,+0.00000,-4.969,+0.00010,-17.80,+0.00000,1,-0.01282,+0.01651,0.19174,+0.003,0,0.0,0.0
0.748714,0,0,0.258599,0.258599,0.2750,-0.01640,0,1,1,+0.01528,+0.00973,0.06872,181.75,0,+0.000,+0.00000,-4.870,+0.00008,-17.80,+0.00000,1,-0.01282,+0.01651,0.19174,+0.003,0,0.0,0.0
0.779178,0,0,0.256360,0.256360,0.2750,-0.01864,0,1,1,+0.01683,+0.01452,0.06804,182.61,0,+0.000,+0.00000,-4.870,+0.00007,-17.80,+0.00000,1,-0.01000,+0.01313,0.16732,+0.003,0,0.0,0.0
0.808455,0,0,0.258636,0.258636,0.2750,-0.01636,0,1,1,+0.01899,+0.01491,0.06983,182.68,0,+0.000,+0.00000,-4.835,+0.00006,-17.80,+0.00000,1,-0.04042,+0.04196,0.12716,+0.003,0,0.0,0.0
0.839223,0,0,0.265359,0.265359,0.2750,-0.00964,0,1,1,+0.02038,+0.01052,0.07222,181.89,0,+0.000,+0.00000,-4.664,+0.00005,-17.80,+0.00000,1,-0.15822,+0.16013,0.09306,+0.002,0,0.0,0.0
0.868809,0,0,0.270315,0.270315,0.2750,-0.00468,0,1,1,+0.02129,+0.00686,0.07349,181.23,0,+0.000,+0.00000,-4.648,+0.00005,-17.80,+0.00000,1,-0.15565,+0.15446,0.06528,+0.003,0,0.0,0.0
0.897987,0,0,0.281318,0.281318,0.2750,+0.00632,0,1,1,+0.02042,-0.00359,0.07817,179.35,0,+0.000,+0.00000,-4.579,+0.00004,-17.80,+0.00000,1,-0.17179,+0.14154,0.03770,+0.002,0,0.0,0.0
0.927527,0,0,0.280503,0.280503,0.2750,+0.00550,0,1,1,+0.01779,-0.00372,0.08032,179.33,0,+0.000,+0.00000,-4.188,+0.00004,-17.80,+0.00000,0,+0.00000,+0.00000,0.02494,+0.002,0,0.0,0.0
0.957385,0,0,0.287372,0.287372,0.2750,+0.01237,0,1,1,+0.01456,-0.01145,0.08389,177.94,0,+0.000,+0.00000,-4.182,+0.00003,-17.80,+0.00000,0,+0.00000,+0.00000,0.01490,+0.002,0,0.0,0.0
