t,seg,active_gate,thrust,thrust_cmd,base_thrust,vtrim,descent_on,gate_v_ok,gate_found,u_err,v_err,size_frac,cy,steer,des_roll_deg,roll_n,est_pitch_deg,gyro_pitch,des_pitch_deg,pitch_n,tube_found,u_tube,curvature,area_frac,est_roll_deg,hold_on,loop_hz,det_hz
0.016835,0,0,0.275000,0.275000,0.2750,+0.00000,0,0,1,+0.01914,-0.02533,0.08660,175.44,0,+0.000,+0.00000,-17.799,+0.00000,-17.80,+0.00000,1,-0.02783,+0.00384,0.02739,+0.016,0,0.0,0.0
0.049654,0,0,0.275000,0.275000,0.2750,+0.00000,0,0,1,+0.01931,-0.02529,0.08714,175.45,0,+0.000,+0.00000,-17.799,+0.00000,-17.80,+0.00000,1,-0.03338,+0.00819,0.02832,+0.016,0,0.0,0.0
0.079174,0,0,0.275000,0.275000,0.2750,+0.00000,0,0,1,+0.01931,-0.02475,0.08714,175.54,0,+0.000,+0.00000,-17.767,-0.01338,-17.80,+0.00000,1,-0.03760,+0.01186,0.03061,+0.006,0,0.0,0.0
0.107693,0,0,0.275000,0.275000,0.2750,+0.00000,0,0,1,+0.01862,-0.02427,0.08589,175.63,0,+0.000,+0.00000,-17.440,-0.00065,-17.80,+0.00000,1,-0.12064,+0.09007,0.04950,+0.000,0,0.0,0.0
0.138062,0,0,0.275000,0.275000,0.2750,+0.00000,0,0,1,+0.01806,-0.02751,0.08333,175.05,0,+0.000,+0.00000,-16.429,-0.00062,-17.80,+0.00000,1,-0.00012,-0.01923,0.16128,+0.008,0,0.0,0.0
0.167203,0,0,0.275000,0.275000,0.2750,+0.00000,0,0,1,+0.01945,-0.03982,0.07798,172.83,0,+0.000,+0.00000,-15.537,+0.00585,-17.80,+0.00000,1,-0.00046,-0.00316,0.19049,+0.008,0,0.0,0.0
0.197444,0,0,0.275000,0.275000,0.2750,+0.00000,0,0,1,+0.01623,-0.05859,0.06894,169.45,0,+0.000,+0.00000,-14.635,+0.00344,-17.80,+0.00000,1,-0.00006,-0.00046,0.19768,+0.009,0,0.0,0.0
0.225445,0,0,0.275000,0.275000,0.2750,+0.00000,0,0,1,+0.01623,-0.05859,0.06894,169.45,0,+0.000,+0.00000,-13.504,+0.00059,-17.80,+0.00000,1,-0.00006,-0.00046,0.19768,+0.009,0,0.0,0.0
0.254892,0,0,0.275000,0.275000,0.2750,+0.00000,0,0,1,+0.01461,-0.06339,0.06550,168.59,0,+0.000,+0.00000,-12.752,+0.00106,-17.80,+0.00000,1,-0.00031,+0.00080,0.19493,+0.008,0,0.0,0.0
0.281876,0,0,0.275000,0.275000,0.2750,+0.00000,0,0,1,+0.01365,-0.05954,0.06359,169.28,0,+0.000,+0.00000,-11.932,+0.00094,-17.80,+0.00000,1,-0.00224,+0.00311,0.17947,+0.008,0,0.0,0.0
0.311644,0,0,0.275000,0.275000,0.2750,+0.00000,0,0,1,+0.01726,-0.05026,0.06736,170.95,0,+0.000,+0.00000,-11.133,+0.00079,-17.80,+0.00000,1,-0.00433,+0.00319,0.14995,+0.008,0,0.0,0.0
0.339771,0,0,0.275000,0.275000,0.2750,+0.00000,0,0,1,+0.01784,-0.03495,0.07286,173.71,0,+0.000,+0.00000,-10.504,+0.00069,-17.80,+0.00000,1,-0.00606,+0.00180,0.12063,+0.008,0,0.0,0.0
0.370726,0,0,0.275000,0.275000,0.2750,+0.00000,0,0,1,+0.01720,-0.02792,0.07638,174.97,0,+0.000,+0.00000,-9.837,+0.00060,-17.80,+0.00000,1,-0.00377,-0.00194,0.11213,+0.007,0,0.0,0.0
0.400684,0,0,0.275000,0.275000,0.2750,+0.00000,0,0,1,+0.01844,-0.02406,0.07857,175.67,0,+0.000,+0.00000,-9.244,+0.00054,-17.80,+0.00000,1,-0.01009,+0.00479,0.10561,+0.007,0,0.0,0.0
0.431125,0,0,0.275000,0.275000,0.2750,+0.00000,0,0,1,+0.01844,-0.02406,0.07857,175.67,0,+0.000,+0.00000,-8.557,+0.00046,-17.80,+0.00000,1,-0.01009,+0.00479,0.10561,+0.007,0,0.0,0.0
0.462479,0,0,0.275000,0.275000,0.2750,+0.00000,0,0,1,+0.02080,-0.01829,0.07758,176.71,0,+0.000,+0.00000,-8.105,+0.00042,-17.80,+0.00000,1,-0.01774,+0.00782,0.09216,+0.006,0,0.0,0.0
0.491751,0,0,0.275000,0.275000,0.2750,+0.00000,0,0,1,+0.02106,-0.01586,0.07698,177.15,0,+0.000,+0.00000,-7.521,+0.00036,-17.80,+0.00000,1,-0.02732,+0.00403,0.08003,+0.006,0,0.0,0.0
0.519222,0,0,0.275000,0.275000,0.2750,+0.00000,0,0,1,+0.02142,-0.01562,0.07698,177.19,0,+0.000,+0.00000,-7.125,+0.00032,-17.80,+0.00000,1,-0.04082,+0.00169,0.06413,+0.006,0,0.0,0.0
0.547102,0,0,0.275000,0.275000,0.2750,+0.00000,0,0,1,+0.02142,-0.01562,0.07698,177.19,0,+0.000,+0.00000,-6.774,+0.00032,-17.80,+0.00000,1,-0.04082,+0.00169,0.06413,+0.006,0,0.0,0.0
0.577819,0,0,0.275000,0.275000,0.2750,+0.00000,0,0,1,+0.02142,-0.01562,0.07698,177.19,0,+0.000,+0.00000,-6.339,+0.00032,-17.80,+0.00000,1,-0.04082,+0.00169,0.06413,+0.005,0,0.0,0.0
0.604570,0,0,0.275000,0.275000,0.2750,+0.00000,0,0,1,+0.02142,-0.01562,0.07698,177.19,0,+0.000,+0.00000,-6.035,+0.00032,-17.80,+0.00000,1,-0.04082,+0.00169,0.06413,+0.005,0,0.0,0.0
0.633835,0,0,0.275000,0.275000,0.2750,+0.00000,0,0,1,+0.02142,-0.01562,0.07698,177.19,0,+0.000,+0.00000,-5.751,+0.00032,-17.80,+0.00000,1,-0.04082,+0.00169,0.06413,+0.005,0,0.0,0.0
