t,seg,active_gate,thrust,thrust_cmd,base_thrust,vtrim,descent_on,gate_v_ok,gate_found,u_err,v_err,size_frac,cy,steer,bank_seg,ff_bank_deg,trim_deg,des_roll_deg,roll_n,est_pitch_deg,gyro_pitch,des_pitch_deg,pitch_n,tube_found,u_tube,curvature,area_frac,est_roll_deg,hold_on,loop_hz,det_hz
0.020662,0,0,0.275000,0.275000,0.2750,+0.00000,0,0,1,+0.02140,+0.00058,0.07678,180.10,0,0,+0.000,+0.000,+0.000,+0.00000,-17.800,+0.00000,0.00,+0.00000,1,-0.01853,+0.00103,0.02032,+0.016,0,0.0,0.0
0.054986,0,0,0.275000,0.275000,0.2750,+0.00000,0,0,1,+0.02004,-0.00324,0.07837,179.42,0,0,+0.000,+0.000,+0.000,+0.00000,-17.800,+0.00000,0.00,+0.00000,1,-0.01527,-0.00428,0.01975,+0.016,0,0.0,0.0
0.085240,0,0,0.275000,0.275000,0.2750,+0.00000,0,0,1,+0.02088,-0.00276,0.07798,179.50,0,0,+0.000,+0.000,+0.000,+0.00000,-17.844,-0.01572,0.00,+0.00000,1,-0.01561,-0.00243,0.01951,-0.000,0,0.0,0.0
0.117744,0,0,0.275000,0.275000,0.2750,+0.00000,0,0,1,+0.02082,-0.00753,0.08012,178.64,0,0,+0.000,+0.000,+0.000,+0.00000,-17.292,-0.00017,0.00,+0.00000,1,-0.01280,-0.00592,0.01917,+0.007,0,0.0,0.0
0.148778,0,0,0.275000,0.275000,0.2750,+0.00000,0,0,1,+0.01975,-0.00784,0.07993,178.59,0,0,+0.000,+0.000,+0.000,+0.00000,-16.321,-0.00027,0.00,+0.00000,1,-0.01754,-0.00167,0.01883,+0.005,0,0.0,0.0
0.179492,0,0,0.275000,0.275000,0.2750,+0.00000,0,0,1,+0.02119,-0.00997,0.08146,178.20,0,0,+0.000,+0.000,+0.000,+0.00000,-15.445,+0.00333,0.00,+0.00000,1,-0.01666,-0.00111,0.01874,+0.006,0,0.0,0.0
0.210079,0,0,0.275000,0.275000,0.2750,+0.00000,0,0,1,+0.02131,-0.00943,0.08089,178.30,0,0,+0.000,+0.000,+0.000,+0.00000,-14.233,+0.00050,0.00,+0.00000,1,-0.01448,-0.00349,0.01864,+0.006,0,0.0,0.0
0.240864,0,0,0.275000,0.275000,0.2750,+0.00000,0,0,1,+0.02154,-0.01132,0.08184,177.96,0,0,+0.000,+0.000,+0.000,+0.00000,-13.396,+0.00058,0.00,+0.00000,1,-0.01853,-0.00088,0.01847,+0.006,0,0.0,0.0
0.270271,0,0,0.275000,0.275000,0.2750,+0.00000,0,0,1,+0.02253,-0.01172,0.08203,177.89,0,0,+0.000,+0.000,+0.000,+0.00000,-12.583,+0.00073,0.00,+0.00000,1,-0.00519,-0.01460,0.01840,+0.006,0,0.0,0.0
0.299039,0,0,0.275000,0.275000,0.2750,+0.00000,0,0,1,+0.02258,-0.01126,0.08184,177.97,0,0,+0.000,+0.000,+0.000,+0.00000,-11.817,+0.00061,0.00,+0.00000,1,-0.00846,-0.01215,0.01836,+0.006,0,0.0,0.0
0.329233,0,0,0.275000,0.275000,0.2750,+0.00000,0,0,1,+0.02199,-0.01416,0.08352,177.45,0,0,+0.000,+0.000,+0.000,+0.00000,-10.862,+0.00051,0.00,+0.00000,1,-0.01408,-0.00553,0.01817,+0.006,0,0.0,0.0
0.359192,0,0,0.275000,0.275000,0.2750,+0.00000,0,0,1,+0.02199,-0.01416,0.08352,177.45,0,0,+0.000,+0.000,+0.000,+0.00000,-10.074,+0.00043,0.00,+0.00000,1,-0.01408,-0.00553,0.01817,+0.006,0,0.0,0.0
0.387025,0,0,0.275000,0.275000,0.2750,+0.00000,0,0,1,+0.02151,-0.01504,0.08407,177.29,0,0,+0.000,+0.000,+0.000,+0.00000,-9.466,+0.00040,0.00,+0.00000,1,-0.02716,+0.00296,0.01829,+0.005,0,0.0,0.0
0.416018,0,0,0.275000,0.275000,0.2750,+0.00000,0,0,1,+0.02175,-0.01499,0.08407,177.30,0,0,+0.000,+0.000,+0.000,+0.00000,-8.908,+0.00033,0.00,+0.00000,1,-0.02702,+0.00685,0.01812,+0.005,0,0.0,0.0
0.444639,0,0,0.275000,0.275000,0.2750,+0.00000,0,0,1,+0.02167,-0.01626,0.08480,177.07,0,0,+0.000,+0.000,+0.000,+0.00000,-8.376,+0.00031,0.00,+0.00000,1,-0.02880,+0.00815,0.01816,+0.005,0,0.0,0.0
0.473428,0,0,0.275000,0.275000,0.2750,+0.00000,0,0,1,+0.02183,-0.01538,0.08407,177.23,0,0,+0.000,+0.000,+0.000,+0.00000,-7.926,+0.00027,0.00,+0.00000,1,-0.03545,+0.01048,0.01865,+0.005,0,0.0,0.0
0.502750,0,0,0.275000,0.275000,0.2750,+0.00000,0,0,1,+0.02201,-0.01557,0.08462,177.20,0,0,+0.000,+0.000,+0.000,+0.00000,-7.365,+0.00023,0.00,+0.00000,1,-0.04753,+0.02078,0.01966,+0.005,0,0.0,0.0
0.532700,0,0,0.275000,0.275000,0.2750,+0.00000,0,0,1,+0.02159,-0.01486,0.08444,177.32,0,0,+0.000,+0.000,+0.000,+0.00000,-6.989,+0.00021,0.00,+0.00000,1,-0.11857,+0.08743,0.02249,+0.005,0,0.0,0.0
0.563197,0,0,0.275000,0.275000,0.2750,+0.00000,0,0,1,+0.02159,-0.01486,0.08444,177.32,0,0,+0.000,+0.000,+0.000,+0.00000,-6.473,+0.00018,0.00,+0.00000,1,-0.11857,+0.08743,0.02249,+0.004,0,0.0,0.0
0.591836,0,0,0.275000,0.275000,0.2750,+0.00000,0,0,1,+0.02175,-0.01289,0.08333,177.68,0,0,+0.000,+0.000,+0.000,+0.00000,-6.116,+0.00016,0.00,+0.00000,1,-0.04280,-0.02041,0.12174,+0.004,0,0.0,0.0
