t,seg,active_gate,thrust,thrust_cmd,base_thrust,vtrim,descent_on,gate_v_ok,gate_found,u_err,v_err,size_frac,cy,steer,bank_seg,ff_bank_deg,trim_deg,des_roll_deg,roll_n,est_pitch_deg,gyro_pitch,des_pitch_deg,pitch_n,tube_found,u_tube,curvature,area_frac,est_roll_deg,hold_on,loop_hz,det_hz
0.021966,0,0,0.276585,0.276585,0.2750,+0.00158,0,1,1,+0.02061,-0.00991,0.08089,178.22,0,0,+0.000,+0.000,+0.000,+0.00000,-17.799,+0.00000,0.00,+0.00000,1,-0.01576,-0.00192,0.01857,+0.016,0,0.0,0.0
0.054831,0,0,0.278663,0.278663,0.2750,+0.00366,0,1,1,+0.02142,-0.01127,0.08146,177.97,0,0,+0.000,+0.000,+0.000,+0.00000,-17.799,+0.00000,0.00,+0.00000,1,-0.01730,-0.00148,0.01849,+0.016,0,0.0,0.0
0.084240,0,0,0.278358,0.278358,0.2750,+0.00336,0,1,1,+0.02142,-0.01127,0.08146,177.97,0,0,+0.000,+0.000,+0.000,+0.00000,-17.824,-0.02511,0.00,+0.00000,1,-0.01730,-0.00148,0.01849,+0.028,0,0.0,0.0
0.113636,0,0,0.277462,0.277462,0.2750,+0.00246,0,1,1,+0.02193,-0.01085,0.08165,178.05,0,0,+0.000,+0.000,+0.000,+0.00000,-17.579,-0.00160,0.00,+0.00000,1,-0.01611,-0.00319,0.01829,+0.034,0,0.0,0.0
0.142921,0,0,0.278699,0.278699,0.2750,+0.00370,0,1,1,+0.02151,-0.01173,0.08184,177.89,0,0,+0.000,+0.000,+0.000,+0.00000,-16.569,-0.00027,0.00,+0.00000,1,-0.01507,-0.00398,0.01818,+0.033,0,0.0,0.0
0.174029,0,0,0.282100,0.282100,0.2750,+0.00710,0,1,1,+0.02182,-0.01414,0.08315,177.46,0,0,+0.000,+0.000,+0.000,+0.00000,-15.680,+0.00595,0.00,+0.00000,1,-0.01702,-0.00351,0.01795,+0.032,0,0.0,0.0
0.201453,0,0,0.285697,0.285697,0.2750,+0.01070,0,1,1,+0.02223,-0.01691,0.08462,176.96,0,0,+0.000,+0.000,+0.000,+0.00000,-14.465,+0.00110,0.00,+0.00000,1,-0.01311,-0.00607,0.01803,+0.030,0,0.0,0.0
0.229430,0,0,0.286175,0.286175,0.2750,+0.01117,0,1,1,+0.02255,-0.01801,0.08517,176.76,0,0,+0.000,+0.000,+0.000,+0.00000,-13.647,+0.00062,0.00,+0.00000,1,-0.01317,-0.00865,0.01777,+0.029,0,0.0,0.0
0.259824,0,0,0.287025,0.287025,0.2750,+0.01202,0,1,1,+0.02177,-0.01947,0.08571,176.50,0,0,+0.000,+0.000,+0.000,+0.00000,-12.782,+0.00100,0.00,+0.00000,1,-0.01289,-0.00870,0.01779,+0.027,0,0.0,0.0
0.291079,0,0,0.285632,0.285632,0.2750,+0.01063,0,1,1,+0.02193,-0.01956,0.08571,176.48,0,0,+0.000,+0.000,+0.000,+0.00000,-11.715,+0.00091,0.00,+0.00000,1,-0.01026,-0.01286,0.01771,+0.025,0,0.0,0.0
0.320220,0,0,0.284412,0.284412,0.2750,+0.00941,0,1,1,+0.02193,-0.01956,0.08571,176.48,0,0,+0.000,+0.000,+0.000,+0.00000,-10.958,+0.00076,0.00,+0.00000,1,-0.01026,-0.01286,0.01771,+0.024,0,0.0,0.0
0.351148,0,0,0.284086,0.284086,0.2750,+0.00909,0,1,1,+0.02156,-0.02005,0.08607,176.39,0,0,+0.000,+0.000,+0.000,+0.00000,-10.036,+0.00069,0.00,+0.00000,1,-0.02106,-0.00312,0.01922,+0.022,0,0.0,0.0
0.377617,0,0,0.283204,0.283204,0.2750,+0.00820,0,1,1,+0.02156,-0.02005,0.08607,176.39,0,0,+0.000,+0.000,+0.000,+0.00000,-9.406,+0.00061,0.00,+0.00000,1,-0.02106,-0.00312,0.01922,+0.020,0,0.0,0.0
0.405844,0,0,0.281509,0.281509,0.2750,+0.00651,0,1,1,+0.02148,-0.01947,0.08571,176.50,0,0,+0.000,+0.000,+0.000,+0.00000,-8.762,+0.00053,0.00,+0.00000,1,-0.17797,+0.14003,0.03707,+0.019,0,0.0,0.0
0.432147,0,0,0.280394,0.280394,0.2750,+0.00539,0,1,1,+0.01981,-0.01908,0.08425,176.57,0,0,+0.000,+0.000,+0.000,+0.00000,-8.337,+0.00047,0.00,+0.00000,1,-0.01168,-0.03772,0.12286,+0.018,0,0.0,0.0
0.459626,0,0,0.275420,0.275420,0.2750,+0.00042,0,1,1,+0.01993,-0.01614,0.08089,177.09,0,0,+0.000,+0.000,+0.000,+0.00000,-7.832,+0.00044,0.00,+0.00000,1,-0.00598,+0.00480,0.17670,+0.017,0,0.0,0.0
0.485317,0,0,0.275737,0.275737,0.2750,+0.00074,0,1,1,+0.01993,-0.01614,0.08089,177.09,0,0,+0.000,+0.000,+0.000,+0.00000,-7.402,+0.00038,0.00,+0.00000,1,-0.00598,+0.00480,0.17670,+0.016,0,0.0,0.0
0.512600,0,0,0.264208,0.264208,0.2750,-0.01079,0,1,1,+0.01670,-0.00862,0.07136,178.45,0,0,+0.000,+0.000,+0.000,+0.00000,-6.870,+0.00033,0.00,+0.00000,1,-0.00295,+0.00338,0.18873,+0.015,0,0.0,0.0
0.540324,0,0,0.247573,0.231239,0.2750,-0.04376,0,1,1,+0.01472,+0.01364,0.05827,182.45,0,0,+0.000,+0.000,+0.000,+0.00000,-6.523,+0.00029,0.00,+0.00000,1,-0.00535,+0.00693,0.18082,+0.014,0,0.0,0.0
0.567822,0,0,0.231075,0.230000,0.2750,-0.04500,0,1,1,+0.01481,+0.02458,0.06261,184.43,0,0,+0.000,+0.000,+0.000,+0.00000,-6.208,+0.00025,0.00,+0.00000,1,-0.01090,+0.01271,0.15639,+0.014,0,0.0,0.0
0.598234,0,0,0.237215,0.237215,0.2750,-0.03779,0,1,1,+0.01862,+0.01929,0.06667,183.47,0,0,+0.000,+0.000,+0.000,+0.00000,-6.017,+0.00022,0.00,+0.00000,1,-0.01332,+0.01169,0.11431,+0.013,0,0.0,0.0
0.625460,0,0,0.253551,0.257126,0.2750,-0.01787,0,1,1,+0.01863,+0.01001,0.07049,181.80,0,0,+0.000,+0.000,+0.000,+0.00000,-6.017,+0.00019,0.00,+0.00000,1,-0.00549,+0.00308,0.09114,+0.013,0,0.0,0.0
0.655176,0,0,0.259817,0.259817,0.2750,-0.01518,0,1,1,+0.01863,+0.01001,0.07049,181.80,0,0,+0.000,+0.000,+0.000,+0.00000,-6.017,+0.00018,0.00,+0.00000,1,-0.00549,+0.00308,0.09114,+0.013,0,0.0,0.0
