t,seg,active_gate,thrust,gate_found,u_err,v_err,size_frac,cy,steer,des_roll_deg,roll_n,est_pitch_deg,gyro_pitch,des_pitch_deg,pitch_n,tube_found,u_tube,curvature,area_frac,est_roll_deg,hold_on,loop_hz,det_hz
0.0090,0,0,0.2750,1,+0.01719,-0.01485,0.08407,177.33,0,+0.000,+0.00000,-17.802,+0.00000,-17.80,+0.00000,1,-0.01830,+0.01893,0.10908,+0.016,0,0.0,0.0
0.0418,0,0,0.2750,1,+0.01763,-0.01220,0.08315,177.80,0,+0.000,+0.00000,-17.802,+0.00000,-17.80,+0.00000,1,-0.01989,+0.01664,0.07716,+0.016,0,0.0,0.0
0.0707,0,0,0.2750,1,+0.01842,-0.01278,0.08370,177.70,0,+0.000,+0.00000,-17.808,-0.01730,-17.80,+0.00000,1,-0.02551,+0.01968,0.05704,+0.016,0,0.0,0.0
0.0957,0,0,0.2750,1,+0.01842,-0.01278,0.08370,177.70,0,+0.000,+0.00000,-17.582,-0.00228,-17.80,+0.00000,1,-0.02551,+0.01968,0.05704,+0.034,0,0.0,0.0
0.1253,0,0,0.2750,1,+0.01814,-0.01283,0.08352,177.69,0,+0.000,+0.00000,-16.570,-0.00092,-17.80,+0.00000,1,-0.05579,+0.04750,0.04064,+0.031,0,0.0,0.0
0.1526,0,0,0.2750,1,+0.01905,-0.01326,0.08389,177.61,0,+0.000,+0.00000,-15.660,+0.00635,-17.80,+0.00000,1,-0.02356,+0.00375,0.02425,+0.031,0,0.0,0.0
0.1806,0,0,0.2750,1,+0.02006,-0.00822,0.08146,178.52,0,+0.000,+0.00000,-14.831,+0.00389,-17.80,+0.00000,1,-0.03062,+0.00798,0.02033,+0.030,0,0.0,0.0
0.2075,0,0,0.2750,1,+0.02068,-0.00537,0.07993,179.03,0,+0.000,+0.00000,-13.963,+0.00036,-17.80,+0.00000,1,-0.02717,+0.01165,0.01906,+0.028,0,0.0,0.0
0.2376,0,0,0.2750,1,+0.02158,-0.00709,0.08051,178.72,0,+0.000,+0.00000,-13.017,+0.00094,-17.80,+0.00000,1,-0.01912,+0.00189,0.01798,+0.026,0,0.0,0.0
0.2671,0,0,0.2750,1,+0.02109,-0.00662,0.08012,178.81,0,+0.000,+0.00000,-12.244,+0.00098,-17.80,+0.00000,1,-0.02276,+0.01028,0.01742,+0.025,0,0.0,0.0
0.2980,0,0,0.2750,1,+0.02110,-0.00767,0.08051,178.62,0,+0.000,+0.00000,-11.306,+0.00073,-17.80,+0.00000,1,-0.01801,+0.00719,0.01712,+0.023,0,0.0,0.0
0.3257,0,0,0.2750,1,+0.02110,-0.00767,0.08051,178.62,0,+0.000,+0.00000,-10.620,+0.00067,-17.80,+0.00000,1,-0.01801,+0.00719,0.01712,+0.022,0,0.0,0.0
0.3556,0,0,0.2750,1,+0.02096,-0.00808,0.08032,178.55,0,+0.000,+0.00000,-10.042,+0.00059,-17.80,+0.00000,1,-0.02645,+0.01424,0.01671,+0.020,0,0.0,0.0
0.3857,0,0,0.2750,1,+0.01984,-0.00891,0.07993,178.40,0,+0.000,+0.00000,-9.258,+0.00051,-17.80,+0.00000,1,-0.03055,+0.02358,0.01664,+0.019,0,0.0,0.0
0.4155,0,0,0.2750,1,+0.02024,-0.01179,0.08127,177.88,0,+0.000,+0.00000,-8.792,+0.00045,-17.80,+0.00000,1,-0.03238,+0.02552,0.01647,+0.018,0,0.0,0.0
0.4449,0,0,0.2750,1,+0.01952,-0.01289,0.08221,177.68,0,+0.000,+0.00000,-8.405,+0.00040,-17.80,+0.00000,1,-0.03337,+0.02478,0.01668,+0.017,0,0.0,0.0
0.4724,0,0,0.2750,1,+0.02082,-0.01459,0.08425,177.37,0,+0.000,+0.00000,-7.827,+0.00035,-17.80,+0.00000,1,-0.04147,+0.03022,0.01648,+0.016,0,0.0,0.0
0.5008,0,0,0.2750,1,+0.02047,-0.01626,0.08480,177.07,0,+0.000,+0.00000,-7.406,+0.00031,-17.80,+0.00000,1,-0.04871,+0.04187,0.01630,+0.015,0,0.0,0.0
0.5314,0,0,0.2750,1,+0.02101,-0.01498,0.08625,177.30,0,+0.000,+0.00000,-6.872,+0.00026,-17.80,+0.00000,1,-0.05738,+0.04599,0.01677,+0.014,0,0.0,0.0
0.5596,0,0,0.2750,1,+0.02101,-0.01498,0.08625,177.30,0,+0.000,+0.00000,-6.518,+0.00025,-17.80,+0.00000,1,-0.05738,+0.04599,0.01677,+0.013,0,0.0,0.0
0.5891,0,0,0.2750,1,+0.02135,-0.01299,0.08444,177.66,0,+0.000,+0.00000,-6.216,+0.00021,-17.80,+0.00000,1,-0.07269,+0.06255,0.01700,+0.012,0,0.0,0.0
0.6174,0,0,0.2750,1,+0.02112,-0.01369,0.08553,177.54,0,+0.000,+0.00000,-5.835,+0.00018,-17.80,+0.00000,1,-0.06222,+0.05745,0.01727,+0.011,0,0.0,0.0
0.6459,0,0,0.2750,1,+0.02049,-0.01364,0.08553,177.54,0,+0.000,+0.00000,-5.582,+0.00016,-17.80,+0.00000,1,-0.05894,+0.05331,0.01622,+0.011,0,0.0,0.0
0.6749,0,0,0.2750,1,+0.02009,-0.01396,0.08571,177.49,0,+0.000,+0.00000,-5.339,+0.00014,-17.80,+0.00000,1,-0.07181,+0.06467,0.01439,+0.010,0,0.0,0.0
0.7037,0,0,0.2750,1,+0.02015,-0.01406,0.08553,177.47,0,+0.000,+0.00000,-5.101,+0.00013,-17.80,+0.00000,1,-0.09960,+0.09196,0.01213,+0.010,0,0.0,0.0
0.7346,0,0,0.2750,1,+0.01999,-0.01328,0.08625,177.61,0,+0.000,+0.00000,-4.794,+0.00011,-17.80,+0.00000,1,-0.12672,+0.11903,0.01003,+0.009,0,0.0,0.0
0.7637,0,0,0.2750,1,+0.01955,-0.02080,0.08924,176.26,0,+0.000,+0.00000,-4.569,+0.00010,-17.80,+0.00000,1,-0.12634,+0.11450,0.00836,+0.008,0,0.0,0.0
0.7947,0,0,0.2750,1,+0.01973,-0.01990,0.08854,176.42,0,+0.000,+0.00000,-4.372,+0.00008,-17.80,+0.00000,1,-0.17319,+0.15726,0.00648,+0.008,0,0.0,0.0
0.8221,0,0,0.2750,1,+0.01973,-0.01990,0.08854,176.42,0,+0.000,+0.00000,-4.210,+0.00008,-17.80,+0.00000,1,-0.17319,+0.15726,0.00648,+0.007,0,0.0,0.0
0.8521,0,0,0.2750,1,+0.01946,-0.02074,0.08872,176.27,0,+0.000,+0.00000,-4.105,+0.00007,-17.80,+0.00000,0,+0.00000,+0.00000,0.00462,+0.007,0,0.0,0.0
0.8781,0,0,0.2750,1,+0.01890,-0.02305,0.08889,175.85,0,+0.000,+0.00000,-4.008,+0.00006,-17.80,+0.00000,0,+0.00000,+0.00000,0.00484,+0.007,0,0.0,0.0
0.9078,0,0,0.2750,1,+0.01882,-0.02331,0.08889,175.80,0,+0.000,+0.00000,-3.868,+0.00005,-17.80,+0.00000,0,+0.00000,+0.00000,0.02624,+0.006,0,0.0,0.0
0.9370,0,0,0.2750,1,+0.01640,-0.02284,0.09112,175.89,0,+0.000,+0.00000,-3.697,+0.00005,-17.80,+0.00000,0,+0.00000,+0.00000,0.02911,+0.006,0,0.0,0.0
0.9624,0,0,0.2750,1,+0.01554,-0.02308,0.09146,175.85,0,+0.000,+0.00000,-3.626,+0.00004,-17.80,+0.00000,0,+0.00000,+0.00000,0.01773,+0.006,0,0.0,0.0
0.9871,0,0,0.2750,1,+0.01554,-0.02308,0.09146,175.85,0,+0.000,+0.00000,-3.569,+0.00004,-17.80,+0.00000,0,+0.00000,+0.00000,0.01773,+0.005,0,0.0,0.0
1.0145,0,0,0.2750,1,+0.01583,-0.02862,0.08906,174.85,0,+0.000,+0.00000,-3.506,+0.00003,-17.80,+0.00000,0,+0.00000,+0.00000,0.00519,+0.005,0,35.8,34.8
1.0403,0,0,0.2750,1,+0.01566,-0.02836,0.08906,174.89,0,+0.000,+0.00000,-3.406,+0.00003,-17.80,+0.00000,0,+0.00000,+0.00000,0.00364,+0.005,0,35.8,34.8
1.0669,0,0,0.2750,1,+0.01594,-0.02789,0.08802,174.98,0,+0.000,+0.00000,-3.408,+0.00003,-17.80,+0.00000,0,+0.00000,+0.00000,0.00467,+0.004,0,35.8,34.8
1.0932,0,0,0.2750,1,+0.01490,-0.02786,0.08924,174.98,0,+0.000,+0.00000,-3.255,+0.00002,-17.80,+0.00000,0,+0.00000,+0.00000,0.00630,+0.004,0,35.8,34.8
