t,seg,active_gate,thrust,base_thrust,vtrim,gate_v_ok,gate_found,u_err,v_err,size_frac,cy,steer,des_roll_deg,roll_n,est_pitch_deg,gyro_pitch,des_pitch_deg,pitch_n,tube_found,u_tube,curvature,area_frac,est_roll_deg,hold_on,loop_hz,det_hz
0.0106,0,0,0.2725,0.2750,-0.00255,1,1,+0.02004,+0.01591,0.07222,182.86,0,+0.000,+0.00000,-17.801,+0.00000,-17.80,+0.00000,1,-0.02249,+0.00361,0.02705,+0.016,0,0.0,0.0
0.0434,0,0,0.2749,0.2750,-0.00013,1,1,+0.02076,+0.00954,0.07391,181.72,0,+0.000,+0.00000,-17.801,+0.00000,-17.80,+0.00000,1,-0.02081,+0.00010,0.02389,+0.016,0,0.0,0.0
0.0746,0,0,0.2769,0.2750,+0.00192,1,1,+0.02083,+0.00352,0.07577,180.63,0,+0.000,+0.00000,-17.769,-0.00652,-17.80,+0.00000,1,-0.01779,-0.00089,0.02229,+0.012,0,0.0,0.0
0.1040,0,0,0.2772,0.2750,+0.00220,1,1,+0.01995,+0.00172,0.07597,180.31,0,+0.000,+0.00000,-17.454,-0.00133,-17.80,+0.00000,1,-0.01680,+0.00106,0.02134,+0.020,0,0.0,0.0
0.1331,0,0,0.2777,0.2750,+0.00266,1,1,+0.01954,-0.00053,0.07658,179.91,0,+0.000,+0.00000,-16.479,-0.00188,-17.80,+0.00000,1,-0.01636,+0.00089,0.02046,+0.021,0,0.0,0.0
0.1612,0,0,0.2782,0.2750,+0.00320,1,1,+0.01948,-0.00299,0.07798,179.46,0,+0.000,+0.00000,-15.508,+0.00336,-17.80,+0.00000,1,-0.01707,+0.00042,0.01997,+0.021,0,0.0,0.0
0.1879,0,0,0.2776,0.2750,+0.00259,1,1,+0.01964,-0.00248,0.07798,179.55,0,+0.000,+0.00000,-14.638,+0.00091,-17.80,+0.00000,1,-0.01802,+0.00329,0.01966,+0.021,0,0.0,0.0
0.2151,0,0,0.2773,0.2750,+0.00226,1,1,+0.01964,-0.00248,0.07798,179.55,0,+0.000,+0.00000,-13.793,+0.00027,-17.80,+0.00000,1,-0.01802,+0.00329,0.01966,+0.020,0,0.0,0.0
0.2478,0,0,0.2774,0.2750,+0.00239,1,1,+0.02100,-0.00372,0.07857,179.33,0,+0.000,+0.00000,-12.947,+0.00061,-17.80,+0.00000,1,-0.01867,+0.00208,0.01942,+0.019,0,0.0,0.0
0.2740,0,0,0.2774,0.2750,+0.00239,1,1,+0.02073,-0.00440,0.07896,179.21,0,+0.000,+0.00000,-12.209,+0.00057,-17.80,+0.00000,1,-0.00403,-0.01358,0.01918,+0.018,0,0.0,0.0
0.3008,0,0,0.2781,0.2750,+0.00308,1,1,+0.02100,-0.00684,0.08012,178.77,0,+0.000,+0.00000,-11.659,+0.00046,-17.80,+0.00000,1,-0.01845,-0.00064,0.01901,+0.017,0,0.0,0.0
0.3263,0,0,0.2776,0.2750,+0.00260,1,1,+0.02008,-0.00636,0.07974,178.85,0,+0.000,+0.00000,-10.870,+0.00040,-17.80,+0.00000,1,-0.01041,-0.00753,0.01890,+0.016,0,0.0,0.0
0.3564,0,0,0.2782,0.2750,+0.00315,1,1,+0.02084,-0.00849,0.08089,178.47,0,+0.000,+0.00000,-10.267,+0.00038,-17.80,+0.00000,1,-0.01574,-0.00121,0.01897,+0.016,0,0.0,0.0
0.3831,0,0,0.2779,0.2750,+0.00288,1,1,+0.02084,-0.00849,0.08089,178.47,0,+0.000,+0.00000,-9.474,+0.00033,-17.80,+0.00000,1,-0.01574,-0.00121,0.01897,+0.014,0,0.0,0.0
0.4122,0,0,0.2784,0.2750,+0.00340,1,1,+0.02160,-0.01050,0.08221,178.11,0,+0.000,+0.00000,-9.072,+0.00028,-17.80,+0.00000,1,-0.02518,+0.00614,0.01889,+0.014,0,0.0,0.0
0.4414,0,0,0.2780,0.2750,+0.00297,1,1,+0.02190,-0.01009,0.08203,178.18,0,+0.000,+0.00000,-8.564,+0.00024,-17.80,+0.00000,1,-0.03300,+0.01255,0.01863,+0.013,0,0.0,0.0
0.4712,0,0,0.2766,0.2750,+0.00158,1,1,+0.02230,-0.00704,0.08108,178.73,0,+0.000,+0.00000,-8.166,+0.00021,-17.80,+0.00000,1,-0.02988,+0.00977,0.01875,+0.012,0,0.0,0.0
0.4973,0,0,0.2774,0.2750,+0.00244,1,1,+0.02180,-0.00944,0.08221,178.30,0,+0.000,+0.00000,-7.813,+0.00019,-17.80,+0.00000,1,-0.03414,+0.01502,0.01858,+0.012,0,0.0,0.0
0.5264,0,0,0.2772,0.2750,+0.00216,1,1,+0.02172,-0.00911,0.08184,178.36,0,+0.000,+0.00000,-7.430,+0.00017,-17.80,+0.00000,1,-0.04505,+0.01843,0.01905,+0.011,0,0.0,0.0
