t,seg,active_gate,thrust,gate_found,v_err,size_frac,cy,est_pitch_deg,gyro_pitch,des_pitch_deg,pitch_n,tube_found,u_tube,curvature,area_frac,est_roll_deg,hold_on,loop_hz,det_hz
0.0064,0,0,0.2750,1,-0.01795,0.08498,176.77,-17.801,+0.00000,-17.80,+0.00000,1,-0.01946,-0.00012,0.01760,+0.015,0,0.0,0.0
0.0387,0,0,0.2750,1,-0.01800,0.08498,176.76,-17.801,+0.00000,-17.80,+0.00000,1,-0.01893,-0.00180,0.01758,+0.015,0,0.0,0.0
0.0694,0,0,0.2750,1,-0.01748,0.08462,176.85,-17.796,-0.00458,-17.80,+0.00000,1,-0.01977,-0.00152,0.01816,+0.005,0,0.0,0.0
0.0975,0,0,0.2750,1,-0.01748,0.08462,176.85,-17.498,-0.00153,-17.80,+0.00000,1,-0.01977,-0.00152,0.01816,-0.000,0,0.0,0.0
0.1269,0,0,0.2750,1,-0.01630,0.08370,177.07,-16.517,-0.00067,-17.80,+0.00000,1,-0.16331,+0.13705,0.03189,+0.035,0,0.0,0.0
0.1565,0,0,0.2750,1,-0.01894,0.08425,176.59,-15.631,+0.00137,-17.80,+0.00000,1,-0.01033,-0.03649,0.11721,+0.183,0,0.0,0.0
0.1857,0,0,0.2750,1,-0.01991,0.08070,176.42,-14.780,+0.00215,-17.80,+0.00000,1,-0.00449,+0.00232,0.16516,+0.418,0,0.0,0.0
0.2150,0,0,0.2750,1,-0.01991,0.08070,176.42,-13.707,+0.00042,-17.80,+0.00000,1,-0.00449,+0.00232,0.16516,+0.843,0,0.0,0.0
0.2401,0,0,0.2750,1,-0.01399,0.07071,177.48,-12.907,+0.00039,-17.80,+0.00000,1,-0.00436,+0.00549,0.17444,+0.803,0,0.0,0.0
0.2661,0,0,0.2750,1,+0.00667,0.05827,181.20,-12.370,+0.00050,-17.80,+0.00000,1,-0.00469,+0.00735,0.16488,+0.724,0,0.0,0.0
0.2928,0,0,0.2750,1,+0.00667,0.05827,181.20,-11.465,+0.00046,-17.80,+0.00000,1,-0.00469,+0.00735,0.16488,+0.589,0,0.0,0.0
0.3226,0,0,0.2750,1,+0.04644,0.05241,188.36,-10.726,+0.00037,-17.80,+0.00000,1,-0.00918,+0.01188,0.14520,+0.528,0,0.0,0.0
0.3520,0,0,0.2750,1,+0.03982,0.05583,187.17,-9.908,+0.00032,-17.80,+0.00000,1,-0.01189,+0.01308,0.10710,+0.448,0,0.0,0.0
0.3786,0,0,0.2750,1,+0.01144,0.06455,182.06,-9.507,+0.00029,-17.80,+0.00000,1,-0.00523,+0.00468,0.07908,+0.394,0,0.0,0.0
0.4047,0,0,0.2750,1,+0.00839,0.06827,181.51,-9.013,+0.00025,-17.80,+0.00000,1,-0.03531,+0.03457,0.06553,+0.360,0,0.0,0.0
0.4302,0,0,0.2750,1,+0.00191,0.07093,180.34,-8.472,+0.00023,-17.80,+0.00000,1,-0.05573,+0.05647,0.04704,+0.335,0,0.0,0.0
0.4589,0,0,0.2750,1,+0.00549,0.07115,180.99,-8.017,+0.00020,-17.80,+0.00000,1,-0.03664,+0.03670,0.03960,+0.329,0,0.0,0.0
0.4881,0,0,0.2750,1,+0.00549,0.07115,180.99,-7.634,+0.00018,-17.80,+0.00000,1,-0.03664,+0.03670,0.03960,+0.367,0,0.0,0.0
0.5183,0,0,0.2750,1,+0.00763,0.07158,181.37,-7.113,+0.00015,-17.80,+0.00000,1,-0.03536,+0.03541,0.03530,+0.428,0,0.0,0.0
0.5475,0,0,0.2750,1,+0.00151,0.07222,180.27,-6.791,+0.00014,-17.80,+0.00000,1,-0.04351,+0.03864,0.03330,+0.444,0,0.0,0.0
0.5762,0,0,0.2750,1,+0.00287,0.07412,180.52,-6.421,+0.00012,-17.80,+0.00000,1,-0.05882,+0.05180,0.03209,+0.451,0,0.0,0.0
0.6065,0,0,0.2750,1,-0.00082,0.07638,179.85,-5.983,+0.00011,-17.80,+0.00000,1,-0.05407,+0.03956,0.03061,+0.479,0,0.0,0.0
0.6341,0,0,0.2750,1,-0.00068,0.07758,179.88,-5.590,+0.00009,-17.80,+0.00000,1,-0.06635,+0.04941,0.02921,+0.550,0,0.0,0.0
0.6629,0,0,0.2750,1,-0.00361,0.07798,179.35,-5.350,+0.00008,-17.80,+0.00000,1,-0.08210,+0.06054,0.02669,+0.621,0,0.0,0.0
0.6925,0,0,0.2750,1,-0.00428,0.07857,179.23,-5.098,+0.00007,-17.80,+0.00000,1,-0.12191,+0.10352,0.02332,+0.683,0,0.0,0.0
0.7246,0,0,0.2750,1,-0.00428,0.07857,179.23,-4.765,+0.00006,-17.80,+0.00000,1,-0.12191,+0.10352,0.02332,+0.814,0,0.0,0.0
0.7534,0,0,0.2750,1,-0.00432,0.08315,179.22,-4.415,+0.00005,-17.80,+0.00000,1,-0.26418,+0.25086,0.01694,+0.981,0,0.0,0.0
0.7811,0,0,0.2750,1,-0.00432,0.08315,179.22,-4.190,+0.00005,-17.80,+0.00000,1,-0.26418,+0.25086,0.01694,+1.170,0,0.0,0.0
