t,seg,active_gate,thrust,thrust_cmd,base_thrust,vtrim,descent_on,gate_v_ok,gate_found,u_err,v_err,size_frac,cy,steer,des_roll_deg,roll_n,est_pitch_deg,gyro_pitch,des_pitch_deg,pitch_n,tube_found,u_tube,curvature,area_frac,est_roll_deg,hold_on,loop_hz,det_hz
0.012107,0,0,0.275578,0.275578,0.2750,+0.00058,0,1,1,+0.02044,-0.00361,0.07857,179.35,0,+0.000,+0.00000,-17.802,+0.00000,-17.80,+0.00000,1,-0.01537,-0.00485,0.01977,+0.015,0,0.0,0.0
0.049054,0,0,0.275488,0.275488,0.2750,+0.00049,0,1,1,+0.02148,-0.00352,0.07837,179.37,0,+0.000,+0.00000,-17.802,+0.00000,-17.80,+0.00000,1,-0.01334,-0.00380,0.01929,+0.015,0,0.0,0.0
0.081454,0,0,0.279200,0.279200,0.2750,+0.00420,0,1,1,+0.02117,-0.00728,0.08032,178.69,0,+0.000,+0.00000,-17.801,-0.00905,-17.80,+0.00000,1,-0.01327,-0.00605,0.01917,+0.024,0,0.0,0.0
0.111825,0,0,0.279383,0.279383,0.2750,+0.00438,0,1,1,+0.01936,-0.00798,0.07974,178.56,0,+0.000,+0.00000,-17.178,-0.00292,-17.80,+0.00000,1,-0.01324,-0.00385,0.01887,+0.011,0,0.0,0.0
0.141388,0,0,0.280028,0.280028,0.2750,+0.00503,0,1,1,+0.01932,-0.00914,0.08032,178.35,0,+0.000,+0.00000,-16.355,+0.00000,-17.80,+0.00000,1,-0.01963,+0.00337,0.01868,+0.012,0,0.0,0.0
0.170999,0,0,0.279281,0.279281,0.2750,+0.00428,0,1,1,+0.02025,-0.00898,0.08032,178.38,0,+0.000,+0.00000,-15.409,+0.00649,-17.80,+0.00000,1,-0.01931,+0.00223,0.01852,+0.012,0,0.0,0.0
0.202234,0,0,0.278967,0.278967,0.2750,+0.00397,0,1,1,+0.02076,-0.00916,0.08070,178.35,0,+0.000,+0.00000,-14.225,+0.00069,-17.80,+0.00000,1,-0.02145,+0.00077,0.01842,+0.012,0,0.0,0.0
0.235145,0,0,0.278517,0.278517,0.2750,+0.00352,0,1,1,+0.02076,-0.00916,0.08070,178.35,0,+0.000,+0.00000,-13.139,+0.00067,-17.80,+0.00000,1,-0.02145,+0.00077,0.01842,+0.011,0,0.0,0.0
0.265425,0,0,0.279336,0.279336,0.2750,+0.00434,0,1,1,+0.02169,-0.01034,0.08146,178.14,0,+0.000,+0.00000,-12.036,+0.00104,-17.80,+0.00000,1,-0.00947,-0.01086,0.01821,+0.010,0,0.0,0.0
0.298112,0,0,0.278856,0.278856,0.2750,+0.00386,0,1,1,+0.02169,-0.01034,0.08146,178.14,0,+0.000,+0.00000,-11.322,+0.00083,-17.80,+0.00000,1,-0.00947,-0.01086,0.01821,+0.010,0,0.0,0.0
0.329771,0,0,0.281309,0.281309,0.2750,+0.00631,0,1,1,+0.02238,-0.01321,0.08278,177.62,0,+0.000,+0.00000,-10.617,+0.00072,-17.80,+0.00000,1,-0.01468,-0.00829,0.01816,+0.009,0,0.0,0.0
0.358198,0,0,0.281601,0.281601,0.2750,+0.00660,0,1,1,+0.02294,-0.01417,0.08333,177.45,0,+0.000,+0.00000,-9.963,+0.00065,-17.80,+0.00000,1,-0.01569,-0.00610,0.01789,+0.009,0,0.0,0.0
0.387263,0,0,0.282978,0.282978,0.2750,+0.00798,0,1,1,+0.02259,-0.01626,0.08444,177.07,0,+0.000,+0.00000,-9.179,+0.00054,-17.80,+0.00000,1,-0.02186,-0.00137,0.01813,+0.008,0,0.0,0.0
0.415399,0,0,0.283775,0.283775,0.2750,+0.00878,0,1,1,+0.02193,-0.01790,0.08498,176.78,0,+0.000,+0.00000,-8.674,+0.00047,-17.80,+0.00000,1,-0.02123,-0.00211,0.01816,+0.008,0,0.0,0.0
0.448422,0,0,0.283113,0.283113,0.2750,+0.00811,0,1,1,+0.02124,-0.01831,0.08535,176.70,0,+0.000,+0.00000,-8.018,+0.00041,-17.80,+0.00000,1,-0.02320,+0.00015,0.01861,+0.007,0,0.0,0.0
0.478096,0,0,0.282584,0.282584,0.2750,+0.00758,0,1,1,+0.02147,-0.01864,0.08589,176.64,0,+0.000,+0.00000,-7.542,+0.00037,-17.80,+0.00000,1,-0.03263,+0.00737,0.01976,+0.007,0,0.0,0.0
0.507391,0,0,0.280504,0.280504,0.2750,+0.00550,0,1,1,+0.02103,-0.01731,0.08480,176.88,0,+0.000,+0.00000,-6.986,+0.00032,-17.80,+0.00000,1,-0.14822,+0.11733,0.02539,+0.006,0,0.0,0.0
0.536095,0,0,0.280140,0.280140,0.2750,+0.00514,0,1,1,+0.02171,-0.01739,0.08462,176.87,0,+0.000,+0.00000,-6.573,+0.00028,-17.80,+0.00000,1,-0.03599,-0.03507,0.11284,+0.006,0,0.0,0.0
0.565696,0,0,0.279751,0.279751,0.2750,+0.00475,0,1,1,+0.02171,-0.01739,0.08462,176.87,0,+0.000,+0.00000,-6.214,+0.00024,-17.80,+0.00000,1,-0.03599,-0.03507,0.11284,+0.006,0,0.0,0.0
