t,seg,active_gate,thrust,thrust_cmd,base_thrust,vtrim,descent_on,gate_v_ok,gate_found,u_err,v_err,size_frac,cy,steer,des_roll_deg,roll_n,est_pitch_deg,gyro_pitch,des_pitch_deg,pitch_n,tube_found,u_tube,curvature,area_frac,est_roll_deg,hold_on,loop_hz,det_hz
0.004380,0,0,0.279131,0.279131,0.2750,+0.00413,0,1,1,+0.01911,-0.02582,0.08678,175.35,1,-1.095,-0.00485,-17.803,+0.00000,-17.80,+0.00000,1,-0.02882,+0.00426,0.02748,+0.016,0,0.0,0.0
0.040069,0,0,0.278806,0.278806,0.2750,+0.00381,0,1,1,+0.01885,-0.02495,0.08678,175.51,1,-1.080,-0.00478,-17.803,+0.00000,-17.80,+0.00000,1,-0.03397,+0.00870,0.02845,+0.016,0,0.0,0.0
0.069062,0,0,0.278806,0.278806,0.2750,+0.00381,0,1,1,+0.01896,-0.02487,0.08660,175.52,1,-1.086,-0.00482,-17.705,-0.00632,-17.80,+0.00000,1,-0.03456,+0.00867,0.03010,+0.016,0,0.0,0.0
0.099168,0,0,0.278511,0.278511,0.2750,+0.00351,0,1,1,+0.01841,-0.02403,0.08607,175.68,1,-1.055,-0.00463,-17.239,-0.00068,-17.80,+0.00000,1,-0.12731,+0.09123,0.06978,+0.008,0,0.0,0.0
0.128108,0,0,0.279957,0.279957,0.2750,+0.00496,0,1,1,+0.01878,-0.02766,0.08407,175.02,1,-1.076,-0.00418,-16.191,-0.00057,-17.80,+0.00000,1,+0.00010,-0.02057,0.16026,-0.062,0,0.0,0.0
0.156219,0,0,0.279873,0.279873,0.2750,+0.00487,0,1,1,+0.01878,-0.02766,0.08407,175.02,1,-1.076,-0.00334,-15.295,+0.00256,-17.80,+0.00000,1,+0.00010,-0.02057,0.16026,-0.206,0,0.0,0.0
0.184183,0,0,0.284068,0.286826,0.2750,+0.01183,0,1,1,+0.01906,-0.04591,0.07495,171.74,1,-1.092,-0.00315,-14.384,+0.00202,-17.80,+0.00000,1,+0.00021,-0.00218,0.19327,-0.310,0,0.0,0.0
0.212635,0,0,0.288335,0.293687,0.2750,+0.01869,0,1,1,+0.01500,-0.06563,0.06804,168.19,1,-0.859,-0.00206,-13.521,+0.00038,-17.80,+0.00000,1,+0.00037,-0.00140,0.19817,-0.351,0,0.0,0.0
0.239173,0,0,0.291913,0.291913,0.2750,+0.01691,0,1,1,+0.01272,-0.06422,0.06597,168.44,1,-0.729,-0.00134,-12.732,+0.00063,-17.80,+0.00000,1,+0.00083,-0.00108,0.19385,-0.381,0,0.0,0.0
0.264452,0,0,0.288121,0.287857,0.2750,+0.01286,0,1,1,+0.01104,-0.05624,0.06713,169.88,1,-0.633,-0.00080,-11.860,+0.00074,-17.80,+0.00000,1,-0.00244,+0.00193,0.17793,-0.415,0,0.0,0.0
0.291921,0,0,0.287259,0.287259,0.2750,+0.01226,0,1,1,+0.01104,-0.05624,0.06713,169.88,1,-0.633,-0.00081,-10.850,+0.00057,-17.80,+0.00000,1,-0.00244,+0.00193,0.17793,-0.427,0,0.0,0.0
0.321816,0,0,0.282775,0.281393,0.2750,+0.00639,0,1,1,+0.01014,-0.04232,0.07179,172.38,1,-0.581,-0.00065,-10.200,+0.00051,-17.80,+0.00000,1,-0.00493,+0.00158,0.14499,-0.419,0,0.0,0.0
0.349010,0,0,0.278696,0.277751,0.2750,+0.00275,0,1,1,+0.01006,-0.03272,0.07495,174.11,1,-0.576,-0.00067,-9.566,+0.00045,-17.80,+0.00000,1,-0.00684,+0.00102,0.12279,-0.410,0,0.0,0.0
0.377219,0,0,0.274492,0.274492,0.2750,-0.00051,0,1,1,+0.01072,-0.02322,0.07857,175.82,1,-0.614,-0.00091,-8.912,+0.00039,-17.80,+0.00000,1,-0.00538,-0.00290,0.11474,-0.393,0,0.0,0.0
0.406992,0,0,0.274501,0.274501,0.2750,-0.00050,0,1,1,+0.01066,-0.02142,0.07993,176.14,1,-0.611,-0.00093,-8.392,+0.00035,-17.80,+0.00000,1,-0.01208,+0.00360,0.10631,-0.386,0,0.0,0.0
0.436125,0,0,0.273782,0.273782,0.2750,-0.00122,0,1,1,+0.01101,-0.01788,0.07896,176.78,1,-0.631,-0.00106,-7.805,+0.00030,-17.80,+0.00000,1,-0.01870,+0.00482,0.09469,-0.376,0,0.0,0.0
0.463825,0,0,0.274418,0.274418,0.2750,-0.00058,0,1,1,+0.01101,-0.01788,0.07896,176.78,1,-0.631,-0.00114,-7.850,+0.00029,-17.80,+0.00000,1,-0.01870,+0.00482,0.09469,-0.357,0,0.0,0.0
0.489265,0,0,0.273354,0.273354,0.2750,-0.00165,0,1,1,+0.01305,-0.01385,0.07915,177.51,1,-0.748,-0.00166,-7.475,+0.00025,-17.80,+0.00000,1,-0.02773,-0.00848,0.07939,-0.354,0,0.0,0.0
0.518511,0,0,0.273361,0.273361,0.2750,-0.00164,0,1,1,+0.01244,-0.01222,0.08051,177.80,1,-0.713,-0.00149,-7.057,+0.00021,-17.80,+0.00000,1,-0.03591,-0.00789,0.06544,-0.356,0,0.0,0.0
0.548166,0,0,0.274443,0.274443,0.2750,-0.00056,0,1,1,+0.01305,-0.01350,0.08127,177.57,1,-0.748,-0.00163,-6.597,+0.00019,-17.80,+0.00000,1,-0.04699,+0.01179,0.05785,-0.356,0,0.0,0.0
0.576677,0,0,0.273960,0.273960,0.2750,-0.00104,0,1,1,+0.01421,-0.01111,0.08089,178.00,1,-0.814,-0.00192,-6.399,+0.00016,-17.80,+0.00000,1,-0.05230,+0.02790,0.05581,-0.356,0,0.0,0.0
0.607389,0,0,0.275966,0.275966,0.2750,+0.00097,0,1,1,+0.01402,-0.01512,0.08278,177.28,1,-0.803,-0.00186,-6.072,+0.00014,-17.80,+0.00000,1,-0.05656,+0.03191,0.05668,-0.357,0,0.0,0.0
0.637910,0,0,0.276683,0.276683,0.2750,+0.00168,0,1,1,+0.01414,-0.01635,0.08407,177.06,1,-0.810,-0.00185,-5.778,+0.00013,-17.80,+0.00000,1,-0.06364,+0.04149,0.06042,-0.365,0,0.0,0.0
0.667572,0,0,0.278003,0.278003,0.2750,+0.00300,0,1,1,+0.01396,-0.01940,0.08607,176.51,1,-0.800,-0.00179,-5.542,+0.00011,-17.80,+0.00000,1,-0.07686,+0.05441,0.06266,-0.368,0,0.0,0.0
0.697613,0,0,0.278024,0.278024,0.2750,+0.00302,0,1,1,+0.01437,-0.01941,0.08625,176.51,1,-0.823,-0.00185,-5.254,+0.00010,-17.80,+0.00000,1,-0.09195,+0.06815,0.05947,-0.379,0,0.0,0.0
0.728047,0,0,0.278294,0.278294,0.2750,+0.00329,0,1,1,+0.01381,-0.02008,0.08678,176.39,1,-0.791,-0.00168,-4.921,+0.00008,-17.80,+0.00000,1,-0.10710,+0.08632,0.05071,-0.385,0,0.0,0.0
0.761242,0,0,0.279301,0.279301,0.2750,+0.00430,0,1,1,+0.01156,-0.02278,0.08924,175.90,1,-0.662,-0.00108,-4.602,+0.00007,-17.80,+0.00000,1,-0.12677,+0.09426,0.03278,-0.394,0,0.0,0.0
0.791892,0,0,0.279190,0.279190,0.2750,+0.00419,0,1,1,+0.01156,-0.02278,0.08924,175.90,1,-0.662,-0.00106,-4.386,+0.00007,-17.80,+0.00000,1,-0.12677,+0.09426,0.03278,-0.399,0,0.0,0.0
0.821337,0,0,0.278712,0.278712,0.2750,+0.00371,0,1,1,+0.00943,-0.02177,0.09112,176.08,1,-0.540,-0.00060,-4.159,+0.00006,-17.80,+0.00000,1,+0.04359,-0.04810,0.00842,-0.391,0,0.0,0.0
0.853845,0,0,0.279320,0.279320,0.2750,+0.00432,0,1,1,+0.01017,-0.02348,0.09196,175.77,1,-0.583,-0.00086,-4.158,+0.00005,-17.80,+0.00000,1,+0.08090,-0.05812,0.00543,-0.375,0,0.0,0.0
0.883841,0,0,0.279226,0.279226,0.2750,+0.00423,0,1,1,+0.01017,-0.02348,0.09196,175.77,1,-0.583,-0.00095,-3.989,+0.00004,-17.80,+0.00000,1,+0.08090,-0.05812,0.00543,-0.357,0,0.0,0.0
0.912404,0,0,0.279479,0.279479,0.2750,+0.00448,0,1,1,+0.01053,-0.02433,0.09280,175.62,1,-0.603,-0.00109,-3.895,+0.00004,-17.80,+0.00000,0,+0.00000,+0.00000,0.00318,-0.344,0,0.0,0.0
0.938330,0,0,0.279674,0.279674,0.2750,+0.00467,0,1,1,+0.01079,-0.02506,0.09329,175.49,1,-0.618,-0.00121,-3.856,+0.00003,-17.80,+0.00000,0,+0.00000,+0.00000,0.00187,-0.331,0,0.0,0.0
0.968523,0,0,0.279889,0.279889,0.2750,+0.00489,0,1,1,+0.00991,-0.02591,0.09296,175.34,1,-0.568,-0.00101,-3.696,+0.00003,-17.80,+0.00000,0,+0.00000,+0.00000,0.00145,-0.325,0,0.0,0.0
0.995362,0,0,0.279952,0.279952,0.2750,+0.00495,0,1,1,+0.00967,-0.02637,0.09230,175.25,1,-0.554,-0.00096,-3.625,+0.00003,-17.80,+0.00000,0,+0.00000,+0.00000,0.00139,-0.320,0,0.0,0.0
1.021902,0,0,0.279842,0.279842,0.2750,+0.00484,0,1,1,+0.00967,-0.02637,0.09230,175.25,1,-0.554,-0.00097,-3.531,+0.00002,-17.80,+0.00000,0,+0.00000,+0.00000,0.00139,-0.318,0,35.3,34.4
1.047570,0,0,0.280025,0.280025,0.2750,+0.00503,0,1,1,+0.00997,-0.02708,0.09246,175.13,1,-0.571,-0.00108,-3.436,+0.00002,-17.80,+0.00000,0,+0.00000,+0.00000,0.00136,-0.314,0,35.3,34.4
1.071810,0,0,0.280565,0.280565,0.2750,+0.00557,0,1,1,+0.01024,-0.02871,0.09196,174.83,1,-0.587,-0.00117,-3.388,+0.00002,-17.80,+0.00000,0,+0.00000,+0.00000,0.00132,-0.308,0,35.3,34.4
