t,seg,active_gate,thrust,thrust_cmd,base_thrust,vtrim,descent_on,gate_v_ok,gate_found,u_err,v_err,size_frac,cy,steer,des_roll_deg,roll_n,est_pitch_deg,gyro_pitch,des_pitch_deg,pitch_n,tube_found,u_tube,curvature,area_frac,est_roll_deg,hold_on,loop_hz,det_hz
0.011855,0,0,0.275982,0.275982,0.2750,+0.00098,0,1,1,+0.01911,-0.00614,0.07286,178.90,0,+0.000,+0.00000,-17.802,+0.00000,-17.80,+0.00000,1,-0.02815,+0.01878,0.03587,+0.017,0,0.0,0.0
0.045181,0,0,0.279006,0.279006,0.2750,+0.00401,0,1,1,+0.02087,-0.00923,0.07515,178.34,0,+0.000,+0.00000,-17.802,+0.00000,-17.80,+0.00000,1,-0.02627,+0.01428,0.03250,+0.017,0,0.0,0.0
0.072355,0,0,0.278618,0.278618,0.2750,+0.00362,0,1,1,+0.02087,-0.00923,0.07515,178.34,0,+0.000,+0.00000,-17.832,-0.02861,-17.80,+0.00000,1,-0.02627,+0.01428,0.03250,+0.037,0,0.0,0.0
0.100340,0,0,0.280049,0.280049,0.2750,+0.00505,0,1,1,+0.02081,-0.01099,0.07556,178.02,0,+0.000,+0.00000,-17.647,-0.00209,-17.80,+0.00000,1,-0.02049,+0.00579,0.02987,+0.010,0,0.0,0.0
0.128418,0,0,0.283588,0.283588,0.2750,+0.00859,0,1,1,+0.02020,-0.01504,0.07817,177.29,0,+0.000,+0.00000,-17.099,-0.00037,-17.80,+0.00000,1,-0.01876,-0.00014,0.02829,+0.007,0,0.0,0.0
0.156713,0,0,0.283068,0.283068,0.2750,+0.00807,0,1,1,+0.02063,-0.01550,0.07857,177.21,0,+0.000,+0.00000,-15.930,+0.00678,-17.80,+0.00000,1,-0.01334,-0.00556,0.02749,+0.009,0,0.0,0.0
0.187010,0,0,0.284378,0.284378,0.2750,+0.00938,0,1,1,+0.02014,-0.01777,0.07993,176.80,0,+0.000,+0.00000,-14.984,+0.00324,-17.80,+0.00000,1,-0.02203,+0.00137,0.02739,+0.010,0,0.0,0.0
0.214704,0,0,0.286938,0.286938,0.2750,+0.01194,0,1,1,+0.02090,-0.02133,0.08089,176.16,0,+0.000,+0.00000,-13.769,+0.00061,-17.80,+0.00000,1,-0.01108,-0.01116,0.02740,+0.010,0,0.0,0.0
0.244846,0,0,0.286595,0.286595,0.2750,+0.01159,0,1,1,+0.02019,-0.02242,0.08278,175.96,0,+0.000,+0.00000,-12.892,+0.00118,-17.80,+0.00000,1,-0.01072,-0.01235,0.02734,+0.009,0,0.0,0.0
0.271437,0,0,0.285389,0.285389,0.2750,+0.01039,0,1,1,+0.02019,-0.02242,0.08278,175.96,0,+0.000,+0.00000,-12.218,+0.00118,-17.80,+0.00000,1,-0.01072,-0.01235,0.02734,+0.009,0,0.0,0.0
0.300234,0,0,0.284243,0.284243,0.2750,+0.00924,0,1,1,+0.02012,-0.02237,0.08296,175.97,0,+0.000,+0.00000,-11.449,+0.00089,-17.80,+0.00000,1,-0.01488,-0.00776,0.02734,+0.009,0,0.0,0.0
0.329733,0,0,0.284045,0.284045,0.2750,+0.00904,0,1,1,+0.01988,-0.02311,0.08352,175.84,0,+0.000,+0.00000,-10.470,+0.00076,-17.80,+0.00000,1,-0.01734,-0.00709,0.02753,+0.008,0,0.0,0.0
0.358143,0,0,0.283218,0.283218,0.2750,+0.00822,0,1,1,+0.01915,-0.02313,0.08462,175.84,0,+0.000,+0.00000,-9.842,+0.00070,-17.80,+0.00000,1,-0.02121,-0.00519,0.02770,+0.008,0,0.0,0.0
0.384834,0,0,0.283240,0.283240,0.2750,+0.00824,0,1,1,+0.01894,-0.02383,0.08389,175.71,0,+0.000,+0.00000,-9.169,+0.00062,-17.80,+0.00000,1,-0.02562,-0.00206,0.02802,+0.008,0,0.0,0.0
0.412243,0,0,0.282563,0.282563,0.2750,+0.00756,0,1,1,+0.01904,-0.02384,0.08498,175.71,0,+0.000,+0.00000,-8.737,+0.00055,-17.80,+0.00000,1,-0.03226,+0.00693,0.02859,+0.008,0,0.0,0.0
0.441499,0,0,0.281951,0.281951,0.2750,+0.00695,0,1,1,+0.01904,-0.02384,0.08498,175.71,0,+0.000,+0.00000,-8.057,+0.00047,-17.80,+0.00000,1,-0.03226,+0.00693,0.02859,+0.007,0,0.0,0.0
0.470263,0,0,0.282573,0.282573,0.2750,+0.00757,0,1,1,+0.01965,-0.02496,0.08517,175.51,0,+0.000,+0.00000,-7.655,+0.00043,-17.80,+0.00000,1,-0.03981,+0.01460,0.02836,+0.007,0,0.0,0.0
0.496160,0,0,0.282797,0.282797,0.2750,+0.00780,0,1,1,+0.02119,-0.02571,0.08535,175.37,0,+0.000,+0.00000,-7.290,+0.00038,-17.80,+0.00000,1,-0.03852,+0.01384,0.02788,+0.007,0,0.0,0.0
0.525316,0,0,0.277687,0.277687,0.2750,+0.00269,0,1,1,+0.02035,-0.02118,0.08714,176.19,0,+0.000,+0.00000,-6.928,+0.00033,-17.80,+0.00000,1,-0.03382,+0.00942,0.02652,+0.006,0,0.0,0.0
0.549780,0,0,0.278336,0.278336,0.2750,+0.00334,0,1,1,+0.02048,-0.02172,0.08696,176.09,0,+0.000,+0.00000,-6.827,+0.00029,-17.80,+0.00000,1,-0.04039,+0.01336,0.02633,+0.006,0,0.0,0.0
0.578970,0,0,0.278359,0.278359,0.2750,+0.00336,0,1,1,+0.02048,-0.02172,0.08696,176.09,0,+0.000,+0.00000,-6.356,+0.00025,-17.80,+0.00000,1,-0.04039,+0.01336,0.02633,+0.006,0,0.0,0.0
0.608609,0,0,0.277756,0.277756,0.2750,+0.00276,0,1,1,+0.02057,-0.02110,0.08731,176.20,0,+0.000,+0.00000,-5.972,+0.00024,-17.80,+0.00000,1,-0.05068,+0.02082,0.02844,+0.006,0,0.0,0.0
