t,seg,active_gate,thrust,thrust_cmd,base_thrust,vtrim,descent_on,gate_v_ok,gate_found,u_err,v_err,size_frac,cy,steer,bank_seg,ff_bank_deg,trim_deg,des_roll_deg,roll_n,est_pitch_deg,gyro_pitch,des_pitch_deg,pitch_n,tube_found,u_tube,curvature,area_frac,est_roll_deg,hold_on,loop_hz,det_hz
0.020758,0,0,0.277809,0.277809,0.2750,+0.00281,0,1,1,+0.02148,-0.01756,0.08444,176.84,0,0,+0.000,+0.000,+0.000,+0.00000,-17.800,+0.00000,0.00,+0.00000,1,-0.17688,+0.14583,0.04251,+0.017,0,0.0,0.0
0.056823,0,0,0.278689,0.278689,0.2750,+0.00369,0,1,1,+0.01986,-0.01814,0.08352,176.73,0,0,+0.000,+0.000,+0.000,+0.00000,-17.800,+0.00000,0.00,+0.00000,1,-0.00893,-0.02075,0.12214,+0.017,0,0.0,0.0
0.087434,0,0,0.278693,0.278693,0.2750,+0.00369,0,1,1,+0.01769,-0.01823,0.07974,176.72,0,0,+0.000,+0.000,+0.000,+0.00000,-17.898,-0.02629,0.00,+0.00000,1,-0.00347,+0.00158,0.16657,-0.011,0,0.0,0.0
0.117402,0,0,0.273627,0.273627,0.2750,-0.00137,0,1,1,+0.01605,-0.01504,0.07412,177.29,0,0,+0.000,+0.000,+0.000,+0.00000,-17.323,+0.00107,0.00,+0.00000,1,-0.00204,+0.00158,0.17315,-0.005,0,0.0,0.0
0.149086,0,0,0.256206,0.256206,0.2750,-0.01879,0,1,1,+0.01352,-0.00327,0.06310,179.41,0,0,+0.000,+0.000,+0.000,+0.00000,-16.567,-0.00263,0.00,+0.00000,1,-0.00178,+0.00241,0.16344,-0.004,0,0.0,0.0
0.181621,0,0,0.236685,0.230000,0.2750,-0.04500,0,1,1,+0.01523,+0.04994,0.05182,188.99,0,0,+0.000,+0.000,+0.000,+0.00000,-15.351,+0.00437,0.00,+0.00000,1,-0.00600,+0.00663,0.14612,-0.004,0,0.0,0.0
0.212712,0,0,0.230000,0.230000,0.2750,-0.04500,0,1,1,+0.01364,+0.04747,0.05528,188.55,0,0,+0.000,+0.000,+0.000,+0.00000,-14.325,+0.00049,0.00,+0.00000,1,-0.01097,+0.01088,0.11551,-0.004,0,0.0,0.0
0.239690,0,0,0.246187,0.272808,0.2750,-0.00219,0,1,1,+0.01206,+0.00625,0.06285,181.12,0,0,+0.000,+0.000,+0.000,+0.00000,-13.810,+0.00070,0.00,+0.00000,1,-0.01232,+0.00963,0.08248,-0.003,0,0.0,0.0
0.270114,0,0,0.264441,0.293371,0.2750,+0.01837,0,1,1,+0.01590,-0.00692,0.06526,178.75,0,0,+0.000,+0.000,+0.000,+0.00000,-13.809,+0.00085,0.00,+0.00000,1,-0.01884,+0.01473,0.06406,-0.003,0,0.0,0.0
0.300994,0,0,0.282969,0.294294,0.2750,+0.01929,0,1,1,+0.01918,-0.00943,0.07005,178.30,0,0,+0.000,+0.000,+0.000,+0.00000,-13.653,+0.00979,0.00,+0.00000,1,-0.05376,+0.04808,0.04501,-0.020,0,0.0,0.0
0.333054,0,0,0.287987,0.287987,0.2750,+0.01299,0,1,1,+0.02029,-0.00736,0.07158,178.67,0,0,+0.000,+0.000,+0.000,+0.00000,-13.208,+0.01367,0.00,+0.00000,1,-0.01712,+0.00920,0.03829,-0.021,0,0.0,0.0
0.365455,0,0,0.272661,0.272661,0.2750,-0.00234,0,1,1,+0.02129,+0.00128,0.07136,180.23,0,0,+0.000,+0.000,+0.000,+0.00000,-12.236,-0.00549,0.00,+0.00000,1,-0.02583,+0.01717,0.03403,-0.018,0,0.0,0.0
0.395741,0,0,0.265332,0.265332,0.2750,-0.00967,0,1,1,+0.02116,+0.00625,0.07370,181.12,0,0,+0.000,+0.000,+0.000,+0.00000,-11.262,+0.00045,0.00,+0.00000,1,-0.01853,+0.00454,0.03031,-0.014,0,0.0,0.0
0.427905,0,0,0.267229,0.267229,0.2750,-0.00777,0,1,1,+0.02094,+0.00601,0.07515,181.08,0,0,+0.000,+0.000,+0.000,+0.00000,-10.568,+0.00123,0.00,+0.00000,1,-0.03243,+0.01430,0.02836,-0.013,0,0.0,0.0
0.459369,0,0,0.268410,0.268410,0.2750,-0.00659,0,1,1,+0.02094,+0.00601,0.07515,181.08,0,0,+0.000,+0.000,+0.000,+0.00000,-9.857,+0.00011,0.00,+0.00000,1,-0.03243,+0.01430,0.02836,-0.012,0,0.0,0.0
0.490841,0,0,0.272963,0.272963,0.2750,-0.00204,0,1,1,+0.02086,+0.00368,0.07658,180.66,0,0,+0.000,+0.000,+0.000,+0.00000,-9.319,+0.00018,0.00,+0.00000,1,-0.04981,+0.02357,0.02711,-0.011,0,0.0,0.0
0.524172,0,0,0.278417,0.278417,0.2750,+0.00342,0,1,1,+0.02137,+0.00028,0.07857,180.05,0,0,+0.000,+0.000,+0.000,+0.00000,-8.615,+0.00022,0.00,+0.00000,1,-0.03623,+0.00904,0.02705,-0.010,0,0.0,0.0
0.559149,0,0,0.276941,0.276941,0.2750,+0.00194,0,1,1,+0.02226,+0.00082,0.07915,180.15,0,0,+0.000,+0.000,+0.000,+0.00000,-7.965,+0.00017,0.00,+0.00000,1,-0.04888,+0.01635,0.02648,-0.009,0,0.0,0.0
0.593742,0,0,0.273085,0.273085,0.2750,-0.00192,0,1,1,+0.02169,+0.00311,0.07857,180.56,0,0,+0.000,+0.000,+0.000,+0.00000,-7.346,+0.00015,0.00,+0.00000,1,-0.05038,+0.01189,0.02644,-0.008,0,0.0,0.0
0.625230,0,0,0.291977,0.295455,0.2750,+0.02045,0,1,1,+0.02117,-0.01128,0.07837,177.97,0,0,+0.000,+0.000,+0.000,+0.00000,-6.791,+0.00012,0.00,+0.00000,1,-0.06540,+0.02309,0.02303,-0.007,0,0.0,0.0
0.658482,0,0,0.302499,0.302499,0.2750,+0.02750,0,1,1,+0.02071,-0.01812,0.08127,176.74,0,0,+0.000,+0.000,+0.000,+0.00000,-6.247,+0.00011,0.00,+0.00000,1,-0.11375,+0.07465,0.01972,-0.006,0,0.0,0.0
0.689115,0,0,0.309191,0.309191,0.2750,+0.03419,0,1,1,+0.02048,-0.02516,0.08444,175.47,0,0,+0.000,+0.000,+0.000,+0.00000,-5.865,+0.00010,0.00,+0.00000,1,-0.12746,+0.09398,0.01674,-0.006,0,0.0,0.0
0.719901,0,0,0.304054,0.304054,0.2750,+0.02905,0,1,1,+0.02048,-0.02516,0.08444,175.47,0,0,+0.000,+0.000,+0.000,+0.00000,-5.643,+0.00008,0.00,+0.00000,1,-0.12746,+0.09398,0.01674,-0.005,0,0.0,0.0
0.749750,0,0,0.310715,0.310715,0.2750,+0.03571,0,1,1,+0.01992,-0.03213,0.08784,174.22,0,0,+0.000,+0.000,+0.000,+0.00000,-5.643,+0.00007,0.00,+0.00000,1,-0.11062,+0.08397,0.01306,-0.005,0,0.0,0.0
0.784009,0,0,0.303604,0.303604,0.2750,+0.02860,0,1,1,+0.02047,-0.03119,0.08678,174.39,0,0,+0.000,+0.000,+0.000,+0.00000,-5.643,+0.00006,0.00,+0.00000,0,+0.00000,+0.00000,0.01018,-0.005,0,0.0,0.0
0.814878,0,0,0.300158,0.300158,0.2750,+0.02516,0,1,1,+0.02040,-0.03157,0.08714,174.32,0,0,+0.000,+0.000,+0.000,+0.00000,-5.643,+0.00005,0.00,+0.00000,0,+0.00000,+0.00000,0.00758,-0.005,0,0.0,0.0
0.842909,0,0,0.297637,0.297637,0.2750,+0.02264,0,1,1,+0.02019,-0.03198,0.08731,174.24,0,0,+0.000,+0.000,+0.000,+0.00000,-5.643,+0.00005,0.00,+0.00000,0,+0.00000,+0.00000,0.00711,-0.005,0,0.0,0.0
0.871624,0,0,0.295441,0.295441,0.2750,+0.02044,0,1,1,+0.01995,-0.03238,0.08696,174.17,0,0,+0.000,+0.000,+0.000,+0.00000,-5.643,+0.00004,0.00,+0.00000,0,+0.00000,+0.00000,0.00623,-0.005,0,0.0,0.0
