t,seg,active_gate,thrust,thrust_cmd,base_thrust,vtrim,descent_on,gate_v_ok,gate_found,u_err,v_err,size_frac,cy,steer,des_roll_deg,roll_n,est_pitch_deg,gyro_pitch,des_pitch_deg,pitch_n,tube_found,u_tube,curvature,area_frac,est_roll_deg,hold_on,loop_hz,det_hz
0.012678,0,0,0.276678,0.276678,0.2750,+0.00168,0,1,1,+0.02183,-0.01049,0.08108,178.11,0,+0.000,+0.00000,-17.801,+0.00000,-17.80,+0.00000,1,-0.01661,-0.00138,0.01852,+0.014,0,0.0,0.0
0.047290,0,0,0.277506,0.277506,0.2750,+0.00251,0,1,1,+0.02220,-0.01268,0.08221,177.72,0,+0.000,+0.00000,-17.801,+0.00000,-17.80,+0.00000,1,-0.01662,-0.00176,0.01840,+0.014,0,0.0,0.0
0.076025,0,0,0.277429,0.277429,0.2750,+0.00243,0,1,1,+0.02220,-0.01268,0.08221,177.72,0,+0.000,+0.00000,-17.770,-0.00466,-17.80,+0.00000,1,-0.01662,-0.00176,0.01840,+0.013,0,0.0,0.0
0.105458,0,0,0.277777,0.277777,0.2750,+0.00278,0,1,1,+0.02086,-0.01376,0.08278,177.52,0,+0.000,+0.00000,-17.558,-0.00272,-17.80,+0.00000,1,-0.01729,-0.00167,0.01812,+0.021,0,0.0,0.0
0.133857,0,0,0.277352,0.277352,0.2750,+0.00235,0,1,1,+0.01990,-0.01290,0.08203,177.68,0,+0.000,+0.00000,-16.876,-0.00122,-17.80,+0.00000,1,-0.01747,-0.00054,0.01805,+0.019,0,0.0,0.0
0.160677,0,0,0.277856,0.277856,0.2750,+0.00286,0,1,1,+0.02035,-0.01431,0.08278,177.42,0,+0.000,+0.00000,-15.717,+0.00358,-17.80,+0.00000,1,-0.01951,-0.00029,0.01790,+0.018,0,0.0,0.0
0.187762,0,0,0.277731,0.277731,0.2750,+0.00273,0,1,1,+0.02083,-0.01421,0.08278,177.44,0,+0.000,+0.00000,-14.811,+0.00104,-17.80,+0.00000,1,-0.00875,-0.01015,0.01782,+0.018,0,0.0,0.0
0.214592,0,0,0.278921,0.278921,0.2750,+0.00392,0,1,1,+0.02075,-0.01747,0.08498,176.85,0,+0.000,+0.00000,-13.878,+0.00020,-17.80,+0.00000,1,-0.01207,-0.01033,0.01776,+0.017,0,0.0,0.0
0.245750,0,0,0.279041,0.279041,0.2750,+0.00404,0,1,1,+0.02101,-0.01830,0.08517,176.71,0,+0.000,+0.00000,-13.033,+0.00053,-17.80,+0.00000,1,-0.01297,-0.01083,0.01781,+0.016,0,0.0,0.0
0.276374,0,0,0.278852,0.278852,0.2750,+0.00385,0,1,1,+0.02101,-0.01830,0.08517,176.71,0,+0.000,+0.00000,-12.004,+0.00052,-17.80,+0.00000,1,-0.01297,-0.01083,0.01781,+0.015,0,0.0,0.0
0.304975,0,0,0.279127,0.279127,0.2750,+0.00413,0,1,1,+0.02193,-0.01940,0.08607,176.51,0,+0.000,+0.00000,-11.355,+0.00046,-17.80,+0.00000,1,-0.01507,-0.00884,0.01819,+0.015,0,0.0,0.0
0.333786,0,0,0.278997,0.278997,0.2750,+0.00400,0,1,1,+0.02201,-0.01949,0.08607,176.49,0,+0.000,+0.00000,-10.722,+0.00038,-17.80,+0.00000,1,-0.01707,-0.00917,0.01905,+0.014,0,0.0,0.0
0.360826,0,0,0.279020,0.279020,0.2750,+0.00402,0,1,1,+0.02178,-0.01990,0.08589,176.42,0,+0.000,+0.00000,-10.104,+0.00034,-17.80,+0.00000,1,-0.16203,+0.13102,0.03223,+0.013,0,0.0,0.0
0.388806,0,0,0.278471,0.278471,0.2750,+0.00347,0,1,1,+0.01974,-0.01881,0.08389,176.61,0,+0.000,+0.00000,-9.489,+0.00031,-17.80,+0.00000,1,-0.00975,-0.01808,0.12850,+0.013,0,0.0,0.0
0.417710,0,0,0.277079,0.277079,0.2750,+0.00208,0,1,1,+0.01902,-0.01538,0.08070,177.23,0,+0.000,+0.00000,-8.918,+0.00027,-17.80,+0.00000,1,-0.00644,+0.00498,0.17412,+0.012,0,0.0,0.0
0.447912,0,0,0.277143,0.277143,0.2750,+0.00214,0,1,1,+0.01902,-0.01538,0.08070,177.23,0,+0.000,+0.00000,-8.259,+0.00023,-17.80,+0.00000,1,-0.00644,+0.00498,0.17412,+0.011,0,0.0,0.0
0.475887,0,0,0.272946,0.271386,0.2750,-0.00361,0,1,1,+0.01506,-0.00028,0.06939,179.95,0,+0.000,+0.00000,-7.793,+0.00021,-17.80,+0.00000,1,-0.00373,+0.00445,0.18786,+0.011,0,0.0,0.0
0.504521,0,0,0.268651,0.264899,0.2750,-0.01010,0,1,1,+0.01421,+0.01814,0.06009,183.26,0,+0.000,+0.00000,-7.261,+0.00018,-17.80,+0.00000,1,-0.01042,+0.01163,0.15647,+0.010,0,0.0,0.0
0.532462,0,0,0.266030,0.266030,0.2750,-0.00897,0,1,1,+0.01421,+0.01814,0.06009,183.26,0,+0.000,+0.00000,-6.904,+0.00016,-17.80,+0.00000,1,-0.01042,+0.01163,0.15647,+0.010,0,0.0,0.0
0.557443,0,0,0.266373,0.266373,0.2750,-0.00863,0,1,1,+0.01693,+0.01949,0.06431,183.51,0,+0.000,+0.00000,-6.660,+0.00015,-17.80,+0.00000,1,-0.01435,+0.01292,0.11272,+0.009,0,0.0,0.0
