t,seg,active_gate,thrust,thrust_cmd,base_thrust,vtrim,descent_on,desc_leg,descent_bias,descent_gain,v_up_auth,v_down_auth,gate_v_ok,v_committed,floor_on,gate_found,u_err,v_err,size_frac,cy,u_f,u_f2,du_lat,v_f,sz_f,sig_k,live,far_rej,gate_cmd_deg,committed,commit_k,steer,bank_seg,ff_bank_deg,trim_deg,des_roll_deg,roll_n,est_pitch_deg,gyro_pitch,des_pitch_deg,pitch_n,tube_found,u_tube,curvature,area_frac,est_roll_deg,hold_on,tube_solid,u_tube_f,curv_f,rail_k,rail_auth,rail_cmd_deg,v_converge,rail_sep,fit_rms,rail_rows,rail_ylook,rail_merged,rail_ok,rail_v_f,rail_v_tgt,rail_v_trim,rail_v_auth,rail_v_live,loop_hz,det_hz,encap_hex,post_gate_hold_active,hold_bank_cmd,gate2_size_frac,ag2_auth,gate2_exit_k,leg2_arrest,commit_latched,commit_align_count,gate3_flare_on,gate3_flare_thr,gate3_flare_uncl,gate3_desc_on,gate3_desc_raw,du_f,rate_ok,align_ok,commit_stable_s,g3hold_armed,g3hold_on,g3hold_elapsed,g3_last_vf,g3_last_sz,g3_loss_t,g3_delta_app,race_fin
0.011423,0,0,0.283563,0.283563,0.2800,+0.00356,0,0,-0.0050,1.0000,0.0600,0.0450,1,0,0,1,+0.01406,-0.02227,0.08678,175.99,+0.01406,+0.01406,+0.00000,-0.02227,0.08678,1.0000,1,0,+0.000,0,1.0000,0,0,+0.000,+0.000,+0.000,+0.00000,-17.800,+0.00000,+0.00,+0.00000,1,+0.02294,-0.03350,0.08337,-0.013,0,1,+0.02294,-0.03350,1.0000,0.0000,+0.000,-0.38883,0.39013,3.677,67,135.0,0,0,+0.00000,+0.0000,+0.00000,0.0000,0,0.0,0.0,01590d000000000000e40c000000000000ffffffffffffffff00000000ffffffffffffffff00000000000000000000fbb55b9b00000018b50a39fd7f45240f0040204000000088136d4000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000088136d4000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,+0.000,0.08678,1.0000,1.0000,0.00000,0,0,0,0.285,0.001,0,+0.000,+0.0000,1,0,0.000,0,0,0.000,+0.000,0.000,0.000,+0.0000,0
0.031219,0,0,0.283563,0.283563,0.2800,+0.00356,0,0,-0.0050,1.0000,0.0600,0.0450,1,0,0,1,+0.01406,-0.02227,0.08678,175.99,+0.01406,+0.01406,+0.00000,-0.02227,0.08678,1.0000,1,0,+0.000,0,1.0000,0,0,+0.000,+0.000,+0.000,+0.00000,-17.800,+0.00000,+0.00,+0.00000,1,+0.02294,-0.03350,0.08337,-0.013,0,1,+0.02294,-0.03350,1.0000,0.0000,+0.000,-0.38883,0.39013,3.677,67,135.0,0,0,+0.00000,+0.0000,+0.00000,0.0000,0,0.0,0.0,01590d000000000000e40c000000000000ffffffffffffffff00000000ffffffffffffffff00000000000000000000fbb55b9b00000018b50a39fd7f45240f0040204000000088136d4000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000088136d4000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,+0.000,0.08678,1.0000,1.0000,0.00000,0,0,0,0.285,0.001,0,+0.000,+0.0000,1,0,0.000,0,0,0.000,+0.000,0.000,0.000,+0.0000,0
0.048324,0,0,0.283549,0.283549,0.2800,+0.00355,0,0,-0.0050,1.0000,0.0600,0.0450,1,0,0,1,+0.01405,-0.02199,0.08642,176.04,+0.01406,+0.01406,+0.00000,-0.02225,0.08675,1.0000,1,0,+0.000,0,1.0000,0,0,+0.000,+0.000,+0.000,+0.00000,-17.810,-0.00442,+0.00,+0.00000,1,+0.00934,-0.00695,0.07550,-0.003,0,1,+0.02187,-0.03141,1.0000,0.0000,+0.000,-0.24662,0.41476,3.611,96,135.0,0,0,+0.00000,+0.0000,+0.00000,0.0000,0,0.0,0.0,01590d000000000000e40c000000000000ffffffffffffffff00000000ffffffffffffffff00000000000000000000fbb55b9b00000018b50a39fd7f45240f0040204000000088136d4000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000088136d4000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,+0.000,0.08642,1.0000,1.0000,0.00000,0,0,0,0.285,0.001,0,+0.000,+0.0000,1,0,0.000,0,0,0.000,+0.000,0.000,0.000,+0.0000,0
0.062184,0,0,0.283540,0.283540,0.2800,+0.00354,0,0,-0.0050,1.0000,0.0600,0.0450,1,0,0,1,+0.01405,-0.02199,0.08642,176.04,+0.01406,+0.01406,+0.00000,-0.02223,0.08673,1.0000,1,0,+0.000,0,1.0000,0,0,+0.000,+0.000,+0.000,+0.00000,-17.793,-0.00191,+0.00,+0.00000,1,+0.00934,-0.00695,0.07550,+0.001,0,1,+0.02106,-0.02982,1.0000,0.0000,+0.000,-0.24662,0.41476,3.611,96,135.0,0,0,+0.00000,+0.0000,+0.00000,0.0000,0,0.0,0.0,01590d000000000000e40c000000000000ffffffffffffffff00000000ffffffffffffffff00000000000000000000fbb55b9b00000018b50a39fd7f45240f0040204000000088136d4000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000088136d4000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,+0.000,0.08642,1.0000,1.0000,0.00000,0,0,0,0.285,0.001,0,+0.000,+0.0000,1,0,0.000,0,0,0.000,+0.000,0.000,0.000,+0.0000,0
0.074751,0,0,0.283493,0.283493,0.2800,+0.00349,0,0,-0.0050,1.0000,0.0600,0.0450,1,0,0,1,+0.01452,-0.02095,0.08517,176.23,+0.01409,+0.01406,+0.00000,-0.02215,0.08664,1.0000,1,0,+0.000,0,1.0000,0,0,+0.000,+0.000,+0.000,+0.00000,-17.778,-0.00191,+0.00,+0.00000,1,+0.00269,+0.00315,0.05184,+0.005,0,1,+0.01997,-0.02787,1.0000,0.0000,+0.000,-0.22256,0.42858,2.866,95,135.0,0,0,+0.00000,+0.0000,+0.00000,0.0000,0,0.0,0.0,01590d000000000000e40c000000000000ffffffffffffffff00000000ffffffffffffffff00000000000000000000fbb55b9b00000018b50a39fd7f45240f0040204000000088136d4000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000088136d4000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,+0.000,0.08517,1.0000,1.0000,0.00000,0,0,0,0.285,0.002,0,+0.000,+0.0000,1,0,0.000,0,0,0.000,+0.000,0.000,0.000,+0.0000,0
0.090955,0,0,0.283440,0.283440,0.2800,+0.00344,0,0,-0.0050,1.0000,0.0600,0.0450,1,0,0,1,+0.01452,-0.02095,0.08517,176.23,+0.01412,+0.01407,+0.00000,-0.02206,0.08653,1.0000,1,0,+0.000,0,1.0000,0,0,+0.000,+0.000,+0.000,+0.00000,-17.432,-0.00143,+0.00,+0.00000,1,+0.00269,+0.00315,0.05184,+0.003,0,1,+0.01867,-0.02555,1.0000,0.0000,+0.000,-0.22256,0.42858,2.866,95,135.0,0,0,+0.00000,+0.0000,+0.00000,0.0000,0,0.0,0.0,01590d000000000000e40c000000000000ffffffffffffffff00000000ffffffffffffffff00000000000000000000fbb55b9b00000018b50a39fd7f45240f0040204000000088136d4000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000088136d4000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,+0.000,0.08517,1.0000,1.0000,0.00000,0,0,0,0.285,0.002,0,+0.000,+0.0000,1,0,0.000,0,0,0.000,+0.000,0.000,0.000,+0.0000,0
0.103708,0,0,0.283363,0.283363,0.2800,+0.00336,0,0,-0.0050,1.0000,0.0600,0.0450,1,0,0,1,+0.01447,-0.01988,0.08389,176.42,+0.01414,+0.01407,+0.00000,-0.02193,0.08637,1.0000,1,0,+0.000,0,1.0000,0,0,+0.000,+0.000,+0.000,+0.00000,-16.930,-0.00028,+0.00,+0.00000,1,+0.00144,+0.00615,0.02953,+0.001,0,1,+0.01764,-0.02365,1.0000,0.0000,+0.000,-0.22915,0.44319,1.415,84,135.0,0,1,+0.00000,+0.0000,+0.00000,0.0000,0,0.0,0.0,01590d000000000000e40c000000000000ffffffffffffffff00000000ffffffffffffffff00000000000000000000fbb55b9b00000018b50a39fd7f45240f0040204000000088136d4000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000088136d4000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,+0.000,0.08389,1.0000,1.0000,0.00000,0,0,0,0.285,0.002,0,+0.000,+0.0000,1,0,0.000,0,0,0.000,+0.000,0.000,0.000,+0.0000,0
0.119772,0,0,0.283279,0.283279,0.2800,+0.00328,0,0,-0.0050,1.0000,0.0600,0.0450,1,0,0,1,+0.01447,-0.01988,0.08389,176.42,+0.01417,+0.01408,+0.00000,-0.02178,0.08619,1.0000,1,0,+0.000,0,1.0000,0,0,+0.000,+0.000,+0.000,+0.00000,-16.389,-0.00013,+0.00,+0.00000,1,+0.00144,+0.00615,0.02953,-0.001,0,1,+0.01644,-0.02143,1.0000,0.0000,+0.000,-0.22915,0.44319,1.415,84,135.0,0,1,+0.00000,+0.0000,+0.00000,0.0000,0,0.0,0.0,01590d000000000000e40c000000000000ffffffffffffffff00000000ffffffffffffffff00000000000000000000fbb55b9b00000018b50a39fd7f45240f0040204000000088136d4000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000088136d4000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,+0.000,0.08389,1.0000,1.0000,0.00000,0,0,0,0.285,0.002,0,+0.000,+0.0000,1,0,0.000,0,0,0.000,+0.000,0.000,0.000,+0.0000,0
0.134256,0,0,0.283213,0.283213,0.2800,+0.00321,0,0,-0.0050,1.0000,0.0600,0.0450,1,0,0,1,+0.01447,-0.01988,0.08389,176.42,+0.01419,+0.01409,+0.00000,-0.02165,0.08603,1.0000,1,0,+0.000,0,1.0000,0,0,+0.000,+0.000,+0.000,+0.00000,-16.096,+0.00187,+0.00,+0.00000,1,+0.00144,+0.00615,0.02953,-0.001,0,1,+0.01542,-0.01957,1.0000,0.0000,+0.000,-0.22915,0.44319,1.415,84,135.0,0,1,+0.00000,+0.0000,+0.00000,0.0000,0,0.0,0.0,01590d000000000000e40c000000000000ffffffffffffffff00000000ffffffffffffffff00000000000000000000fbb55b9b00000018b50a39fd7f45240f0040204000000088136d4000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000088136d4000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,+0.000,0.08389,1.0000,1.0000,0.00000,0,0,0,0.285,0.002,0,+0.000,+0.0000,1,0,0.000,0,0,0.000,+0.000,0.000,0.000,+0.0000,0
0.148556,0,0,0.283193,0.283193,0.2800,+0.00319,0,0,-0.0050,1.0000,0.0600,0.0450,1,0,0,1,+0.01607,-0.02078,0.08444,176.26,+0.01431,+0.01410,+0.00000,-0.02159,0.08592,1.0000,1,0,+0.000,0,1.0000,0,0,+0.000,+0.000,+0.000,+0.00000,-15.506,+0.00280,+0.00,+0.00000,1,+0.00086,+0.00690,0.01974,-0.003,0,1,+0.01445,-0.01781,1.0000,0.0000,+0.000,-0.23096,0.44703,1.689,92,135.0,0,1,+0.00000,+0.0000,+0.00000,0.0000,0,0.0,0.0,01590d000000000000e40c000000000000ffffffffffffffff00000000ffffffffffffffff00000000000000000000fbb55b9b00000018b50a39fd7f45240f0040204000000088136d4000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000088136d4000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,+0.000,0.08444,1.0000,1.0000,0.00000,0,0,0,0.285,0.002,0,+0.000,+0.0000,1,0,0.000,0,0,0.000,+0.000,0.000,0.000,+0.0000,0
