t,seg,active_gate,thrust,thrust_cmd,base_thrust,vtrim,descent_on,desc_leg,descent_bias,descent_gain,v_up_auth,v_down_auth,gate_v_ok,v_committed,floor_on,gate_found,u_err,v_err,size_frac,cy,u_f,u_f2,du_lat,v_f,sz_f,sig_k,live,far_rej,gate_cmd_deg,committed,commit_k,steer,bank_seg,ff_bank_deg,trim_deg,des_roll_deg,roll_n,est_pitch_deg,gyro_pitch,des_pitch_deg,pitch_n,tube_found,u_tube,curvature,area_frac,est_roll_deg,hold_on,tube_solid,u_tube_f,curv_f,rail_k,rail_auth,rail_cmd_deg,v_converge,rail_sep,fit_rms,rail_rows,rail_ylook,rail_merged,rail_ok,rail_v_f,rail_v_tgt,rail_v_trim,rail_v_auth,rail_v_live,loop_hz,det_hz,encap_hex,post_gate_hold_active,hold_bank_cmd,gate2_size_frac,ag2_auth,gate2_exit_k,leg2_arrest,commit_latched,commit_align_count,gate3_flare_on,gate3_flare_thr,gate3_flare_uncl,gate3_desc_on,gate3_desc_raw,du_f,rate_ok,align_ok,commit_stable_s,g3hold_armed,g3hold_on,g3hold_elapsed,g3_last_vf,g3_last_sz,g3_loss_t,g3_delta_app,race_fin
0.016211,0,0,0.289297,0.289297,0.2800,+0.00930,0,0,-0.0050,1.0000,0.0600,0.0450,1,0,0,1,+0.01545,-0.05811,0.07049,169.54,+0.01545,+0.01545,+0.00000,-0.05811,0.07049,1.0000,1,0,+0.000,0,1.0000,0,0,+0.000,+0.000,+0.000,+0.00000,-17.801,+0.00000,+0.00,+0.00000,1,+0.00062,+0.00338,0.02476,-0.009,0,1,+0.00062,+0.00338,1.0000,0.0000,+0.000,-0.35008,0.44197,0.427,87,135.0,0,1,+0.00000,+0.0000,+0.00000,0.0000,0,0.0,0.0,01040e000000000000e80c000000000000ffffffffffffffff00000000ffffffffffffffff00000000000000000000fbb55b9b00000018b50a39fd7f45240f0040204000000088136d4000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000088136d4000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,+0.000,0.07049,1.0000,1.0000,0.00000,0,0,0,0.285,0.000,0,+0.000,+0.0000,1,0,0.000,0,0,0.000,+0.000,0.000,0.000,+0.0000,0
0.037884,0,0,0.289125,0.289125,0.2800,+0.00913,0,0,-0.0050,1.0000,0.0600,0.0450,1,0,0,1,+0.01612,-0.05523,0.07222,170.06,+0.01552,+0.01546,+0.00000,-0.05783,0.07066,1.0000,1,0,+0.000,0,1.0000,0,0,+0.000,+0.000,+0.000,+0.00000,-17.801,+0.00000,+0.00,+0.00000,1,+0.00080,+0.00298,0.02165,-0.009,0,1,+0.00064,+0.00334,1.0000,0.0000,+0.000,-0.35050,0.44204,0.418,85,135.0,0,1,+0.00000,+0.0000,+0.00000,0.0000,0,0.0,0.0,01040e000000000000e80c000000000000ffffffffffffffff00000000ffffffffffffffff00000000000000000000fbb55b9b00000018b50a39fd7f45240f0040204000000088136d4000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000088136d4000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,+0.000,0.07222,1.0000,1.0000,0.00000,0,0,0,0.285,0.000,0,+0.000,+0.0000,1,0,0.000,0,0,0.000,+0.000,0.000,0.000,+0.0000,0
0.054859,0,0,0.289009,0.289009,0.2800,+0.00901,0,0,-0.0050,1.0000,0.0600,0.0450,1,0,0,1,+0.01612,-0.05523,0.07222,170.06,+0.01556,+0.01547,+0.00000,-0.05762,0.07078,1.0000,1,0,+0.000,0,1.0000,0,0,+0.000,+0.000,+0.000,+0.00000,-17.822,-0.03363,+0.00,+0.00000,1,+0.00080,+0.00298,0.02165,-0.018,0,1,+0.00065,+0.00331,1.0000,0.0000,+0.000,-0.35050,0.44204,0.418,85,135.0,0,1,+0.00000,+0.0000,+0.00000,0.0000,0,0.0,0.0,01040e000000000000e80c000000000000ffffffffffffffff00000000ffffffffffffffff00000000000000000000fbb55b9b00000018b50a39fd7f45240f0040204000000088136d4000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000088136d4000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,+0.000,0.07222,1.0000,1.0000,0.00000,0,0,0,0.285,0.000,0,+0.000,+0.0000,1,0,0.000,0,0,0.000,+0.000,0.000,0.000,+0.0000,0
0.070987,0,0,0.288562,0.288562,0.2800,+0.00856,0,0,-0.0050,1.0000,0.0600,0.0450,1,0,0,1,+0.01636,-0.04766,0.07515,171.42,+0.01562,+0.01548,+0.00000,-0.05688,0.07111,1.0000,1,0,+0.000,0,1.0000,0,0,+0.000,+0.000,+0.000,+0.00000,-17.824,+0.00568,+0.00,+0.00000,1,+0.00055,+0.00340,0.02019,-0.024,0,1,+0.00064,+0.00332,1.0000,0.0000,+0.000,-0.36018,0.44159,0.389,86,135.0,0,1,+0.00000,+0.0000,+0.00000,0.0000,0,0.0,0.0,01040e000000000000e80c000000000000ffffffffffffffff00000000ffffffffffffffff00000000000000000000fbb55b9b00000018b50a39fd7f45240f0040204000000088136d4000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000088136d4000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,+0.000,0.07515,1.0000,1.0000,0.00000,0,0,0,0.285,0.000,0,+0.000,+0.0000,1,0,0.000,0,0,0.000,+0.000,0.000,0.000,+0.0000,0
0.089004,0,0,0.288135,0.288135,0.2800,+0.00813,0,0,-0.0050,1.0000,0.0600,0.0450,1,0,0,1,+0.01636,-0.04766,0.07515,171.42,+0.01568,+0.01549,+0.00000,-0.05612,0.07144,1.0000,1,0,+0.000,0,1.0000,0,0,+0.000,+0.000,+0.000,+0.00000,-17.588,-0.00058,+0.00,+0.00000,1,+0.00055,+0.00340,0.02019,-0.029,0,1,+0.00064,+0.00332,1.0000,0.0000,+0.000,-0.36018,0.44159,0.389,86,135.0,0,1,+0.00000,+0.0000,+0.00000,0.0000,0,0.0,0.0,01040e000000000000e80c000000000000ffffffffffffffff00000000ffffffffffffffff00000000000000000000fbb55b9b00000018b50a39fd7f45240f0040204000000088136d4000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000088136d4000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,+0.000,0.07515,1.0000,1.0000,0.00000,0,0,0,0.285,0.000,0,+0.000,+0.0000,1,0,0.000,0,0,0.000,+0.000,0.000,0.000,+0.0000,0
0.106235,0,0,0.287502,0.287502,0.2800,+0.00750,0,0,-0.0050,1.0000,0.0600,0.0450,1,0,0,1,+0.01543,-0.04189,0.07778,172.46,+0.01566,+0.01551,+0.00000,-0.05499,0.07195,1.0000,1,0,+0.000,0,1.0000,0,0,+0.000,+0.000,+0.000,+0.00000,-17.172,-0.00086,+0.00,+0.00000,1,+0.00065,+0.00358,0.01833,-0.032,0,1,+0.00064,+0.00334,1.0000,0.0000,+0.000,-0.36062,0.44174,0.366,84,135.0,0,1,+0.00000,+0.0000,+0.00000,0.0000,0,0.0,0.0,01040e000000000000e80c000000000000ffffffffffffffff00000000ffffffffffffffff00000000000000000000fbb55b9b00000018b50a39fd7f45240f0040204000000088136d4000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000088136d4000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,+0.000,0.07778,1.0000,1.0000,0.00000,0,0,0,0.285,0.000,0,+0.000,+0.0000,1,0,0.000,0,0,0.000,+0.000,0.000,0.000,+0.0000,0
0.120405,0,0,0.287045,0.287045,0.2800,+0.00704,0,0,-0.0050,1.0000,0.0600,0.0450,1,0,0,1,+0.01543,-0.04189,0.07778,172.46,+0.01565,+0.01552,+0.00000,-0.05412,0.07233,1.0000,1,0,+0.000,0,1.0000,0,0,+0.000,+0.000,+0.000,+0.00000,-16.555,-0.00025,+0.00,+0.00000,1,+0.00065,+0.00358,0.01833,-0.032,0,1,+0.00064,+0.00336,1.0000,0.0000,+0.000,-0.36062,0.44174,0.366,84,135.0,0,1,+0.00000,+0.0000,+0.00000,0.0000,0,0.0,0.0,01040e000000000000e80c000000000000ffffffffffffffff00000000ffffffffffffffff00000000000000000000fbb55b9b00000018b50a39fd7f45240f0040204000000088136d4000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000088136d4000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,+0.000,0.07778,1.0000,1.0000,0.00000,0,0,0,0.285,0.000,0,+0.000,+0.0000,1,0,0.000,0,0,0.000,+0.000,0.000,0.000,+0.0000,0
0.137060,0,0,0.286389,0.286389,0.2800,+0.00639,0,0,-0.0050,1.0000,0.0600,0.0450,1,0,0,1,+0.01523,-0.03780,0.07935,173.20,+0.01562,+0.01552,+0.00000,-0.05287,0.07287,1.0000,1,0,+0.000,0,1.0000,0,0,+0.000,+0.000,+0.000,+0.00000,-15.894,+0.00333,+0.00,+0.00000,1,+0.00060,+0.00313,0.01580,-0.032,0,1,+0.00063,+0.00334,1.0000,0.0000,+0.000,-0.36013,0.44310,0.428,81,135.0,0,1,+0.00000,+0.0000,+0.00000,0.0000,0,0.0,0.0,01040e000000000000e80c000000000000ffffffffffffffff00000000ffffffffffffffff00000000000000000000fbb55b9b00000018b50a39fd7f45240f0040204000000088136d4000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000088136d4000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,+0.000,0.07935,1.0000,1.0000,0.00000,0,0,0,0.285,0.000,0,+0.000,+0.0000,1,0,0.000,0,0,0.000,+0.000,0.000,0.000,+0.0000,0
0.152397,0,0,0.285866,0.285866,0.2800,+0.00587,0,0,-0.0050,1.0000,0.0600,0.0450,1,0,0,1,+0.01523,-0.03780,0.07935,173.20,+0.01559,+0.01553,+0.00000,-0.05180,0.07333,1.0000,1,0,+0.000,0,1.0000,0,0,+0.000,+0.000,+0.000,+0.00000,-15.242,+0.00298,+0.00,+0.00000,1,+0.00060,+0.00313,0.01580,-0.031,0,1,+0.00063,+0.00333,1.0000,0.0000,+0.000,-0.36013,0.44310,0.428,81,135.0,0,1,+0.00000,+0.0000,+0.00000,0.0000,0,0.0,0.0,01040e000000000000e80c000000000000ffffffffffffffff00000000ffffffffffffffff00000000000000000000fbb55b9b00000018b50a39fd7f45240f0040204000000088136d4000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000088136d4000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,+0.000,0.07935,1.0000,1.0000,0.00000,0,0,0,0.285,0.000,0,+0.000,+0.0000,1,0,0.000,0,0,0.000,+0.000,0.000,0.000,+0.0000,0
0.168699,0,0,0.284999,0.284999,0.2800,+0.00500,0,0,-0.0050,1.0000,0.0600,0.0450,1,0,0,1,+0.01666,-0.02941,0.08259,174.71,+0.01567,+0.01554,+0.00000,-0.05011,0.07403,1.0000,1,0,+0.000,0,1.0000,0,0,+0.000,+0.000,+0.000,+0.00000,-14.601,+0.00106,+0.00,+0.00000,1,+0.00092,+0.00250,0.01443,-0.030,0,1,+0.00065,+0.00327,1.0000,0.0000,+0.000,-0.35581,0.44623,0.369,81,135.0,0,1,+0.00000,+0.0000,+0.00000,0.0000,0,0.0,0.0,01040e000000000000e80c000000000000ffffffffffffffff00000000ffffffffffffffff00000000000000000000fbb55b9b00000018b50a39fd7f45240f0040204000000088136d4000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000088136d4000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,+0.000,0.08259,1.0000,1.0000,0.00000,0,0,0,0.285,0.000,0,+0.000,+0.0000,1,0,0.000,0,0,0.000,+0.000,0.000,0.000,+0.0000,0
