t,seg,active_gate,thrust,base_thrust,vtrim,gate_v_ok,gate_found,u_err,v_err,size_frac,cy,steer,des_roll_deg,roll_n,est_pitch_deg,gyro_pitch,des_pitch_deg,pitch_n,tube_found,u_tube,curvature,area_frac,est_roll_deg,hold_on,loop_hz,det_hz
0.0144,0,0,0.2743,0.2750,-0.00070,1,1,+0.02030,+0.00438,0.07556,180.79,1,-1.163,-0.00515,-17.802,+0.00000,-17.80,+0.00000,1,-0.01555,-0.00393,0.02230,+0.016,0,0.0,0.0
0.0495,0,0,0.2758,0.2750,+0.00084,1,1,+0.02084,+0.00219,0.07617,180.39,1,-1.194,-0.00528,-17.802,+0.00000,-17.80,+0.00000,1,-0.02012,+0.00108,0.02149,+0.016,0,0.0,0.0
0.0784,0,0,0.2770,0.2750,+0.00201,1,1,+0.02113,+0.00029,0.07698,180.05,1,-1.210,-0.00535,-17.832,-0.01695,-17.80,+0.00000,1,-0.01850,+0.00004,0.02043,+0.017,0,0.0,0.0
0.1044,0,0,0.2767,0.2750,+0.00171,1,1,+0.02113,+0.00029,0.07698,180.05,1,-1.210,-0.00542,-17.580,-0.00621,-17.80,+0.00000,1,-0.01850,+0.00004,0.02043,+0.030,0,0.0,0.0
0.1331,0,0,0.2791,0.2750,+0.00412,1,1,+0.02016,-0.00346,0.07837,179.38,1,-1.155,-0.00492,-16.722,-0.00098,-17.80,+0.00000,1,-0.01534,-0.00390,0.01971,-0.010,0,0.0,0.0
0.1664,0,0,0.2794,0.2750,+0.00437,1,1,+0.02126,-0.00473,0.07896,179.15,1,-1.218,-0.00391,-15.535,+0.00283,-17.80,+0.00000,1,-0.01314,-0.00574,0.01946,-0.208,0,0.0,0.0
0.1925,0,0,0.2804,0.2750,+0.00543,1,1,+0.01826,-0.00692,0.07678,178.75,1,-1.046,-0.00270,-14.681,+0.00381,-17.80,+0.00000,1,-0.01515,-0.00131,0.01952,-0.344,0,0.0,0.0
0.2223,0,0,0.2811,0.2750,+0.00612,1,1,+0.01448,-0.00889,0.07954,178.40,1,-0.830,-0.00167,-13.828,+0.00068,-17.80,+0.00000,1,-0.00938,-0.00782,0.01919,-0.402,0,0.0,0.0
0.2507,0,0,0.2814,0.2750,+0.00642,1,1,+0.01340,-0.01034,0.08146,178.14,1,-0.768,-0.00130,-12.973,+0.00075,-17.80,+0.00000,1,-0.00591,-0.01244,0.01882,-0.432,0,0.0,0.0
0.2788,0,0,0.2812,0.2750,+0.00622,1,1,+0.01296,-0.01111,0.08184,178.00,1,-0.743,-0.00110,-11.834,+0.00094,-17.80,+0.00000,1,-0.00538,-0.01398,0.01881,-0.463,0,0.0,0.0
0.3031,0,0,0.2806,0.2750,+0.00561,1,1,+0.01296,-0.01111,0.08184,178.00,1,-0.743,-0.00110,-11.295,+0.00081,-17.80,+0.00000,1,-0.00538,-0.01398,0.01881,-0.469,0,0.0,0.0
0.3312,0,0,0.2795,0.2750,+0.00452,1,1,+0.01349,-0.01044,0.08146,178.12,1,-0.773,-0.00128,-10.395,+0.00067,-17.80,+0.00000,1,-0.00160,-0.01850,0.01863,-0.461,0,0.0,0.0
0.3615,0,0,0.2809,0.2750,+0.00590,1,1,+0.01390,-0.01304,0.08221,177.65,1,-0.796,-0.00141,-9.810,+0.00061,-17.80,+0.00000,1,-0.01246,-0.01009,0.01886,-0.457,0,0.0,0.0
0.3911,0,0,0.2798,0.2750,+0.00482,1,1,+0.01539,-0.01242,0.08089,177.76,1,-0.882,-0.00180,-8.997,+0.00052,-17.80,+0.00000,1,-0.01280,-0.01154,0.01874,-0.451,0,0.0,0.0
0.4195,0,0,0.2795,0.2750,+0.00448,1,1,+0.01408,-0.01257,0.08108,177.74,1,-0.807,-0.00146,-8.433,+0.00047,-17.80,+0.00000,1,-0.01399,-0.01068,0.01862,-0.452,0,0.0,0.0
0.4479,0,0,0.2808,0.2750,+0.00584,1,1,+0.01352,-0.01500,0.08240,177.30,1,-0.775,-0.00130,-7.982,+0.00041,-17.80,+0.00000,1,-0.01649,-0.00723,0.01854,-0.454,0,0.0,0.0
0.4766,0,0,0.2803,0.2750,+0.00529,1,1,+0.01352,-0.01500,0.08240,177.30,1,-0.775,-0.00132,-7.402,+0.00035,-17.80,+0.00000,1,-0.01649,-0.00723,0.01854,-0.453,0,0.0,0.0
0.5060,0,0,0.2810,0.2750,+0.00601,1,1,+0.01468,-0.01667,0.08352,177.00,1,-0.841,-0.00164,-7.037,+0.00032,-17.80,+0.00000,1,-0.02048,-0.00518,0.01854,-0.448,0,0.0,0.0
