t,seg,active_gate,thrust,thrust_cmd,base_thrust,vtrim,descent_on,gate_v_ok,gate_found,u_err,v_err,size_frac,cy,steer,des_roll_deg,roll_n,est_pitch_deg,gyro_pitch,des_pitch_deg,pitch_n,tube_found,u_tube,curvature,area_frac,est_roll_deg,hold_on,loop_hz,det_hz
0.019226,0,0,0.275000,0.275000,0.2750,+0.00000,0,0,1,+0.02185,-0.01483,0.08315,177.33,0,+0.000,+0.00000,-17.802,+0.00000,-10.00,+0.03404,1,-0.01874,-0.00108,0.01763,+0.015,1,0.0,0.0
0.060041,0,0,0.275000,0.275000,0.2750,+0.00000,0,0,1,+0.02155,-0.01604,0.08425,177.11,0,+0.000,+0.00000,-17.802,+0.00000,-10.00,+0.03404,1,-0.02093,-0.00094,0.01757,+0.015,1,0.0,0.0
0.094820,0,0,0.275000,0.275000,0.2750,+0.00000,0,0,1,+0.02208,-0.01669,0.08444,177.00,0,+0.000,+0.00000,-17.932,-0.00948,-10.00,+0.03465,1,-0.02383,+0.00125,0.01812,+0.006,1,0.0,0.0
0.128285,0,0,0.275000,0.275000,0.2750,+0.00000,0,0,1,+0.01911,-0.01704,0.08333,176.93,0,+0.000,+0.00000,-17.408,+0.24816,-10.00,+0.03129,1,-0.02698,+0.00531,0.01910,+0.001,1,0.0,0.0
0.162050,0,0,0.275000,0.275000,0.2750,+0.00000,0,0,1,+0.01696,-0.03657,0.08165,173.42,0,+0.000,+0.00000,-15.130,+0.59187,-10.00,+0.01992,1,-0.16952,+0.14355,0.03511,-0.005,1,0.0,0.0
0.196456,0,0,0.275000,0.275000,0.2750,+0.00000,0,0,1,+0.01742,-0.06205,0.08444,168.83,0,+0.000,+0.00000,-13.075,+0.37809,-10.00,+0.01184,1,-0.01190,-0.02897,0.12409,+0.002,1,0.0,0.0
0.230634,0,0,0.275000,0.275000,0.2750,+0.00000,0,0,1,+0.01821,-0.09644,0.08032,162.64,0,+0.000,+0.00000,-11.439,+0.25224,-10.00,+0.00523,1,-0.00449,+0.00314,0.17685,+0.003,1,0.0,0.0
0.262959,0,0,0.275000,0.275000,0.2750,+0.00000,0,0,1,+0.01559,-0.11073,0.07370,160.07,0,+0.000,+0.00000,-10.424,+0.17965,-10.00,+0.00110,1,-0.00123,+0.00085,0.19030,+0.003,1,0.0,0.0
0.297004,0,0,0.275000,0.275000,0.2750,+0.00000,0,0,1,+0.01595,-0.05965,0.04843,169.26,0,+0.000,+0.00000,-9.506,+0.08995,-10.00,-0.00253,1,-0.00356,+0.00336,0.18052,+0.004,1,0.0,0.0
0.328982,0,0,0.275000,0.275000,0.2750,+0.00000,0,0,1,+0.01425,-0.06368,0.05358,168.54,0,+0.000,+0.00000,-8.669,+0.03903,-10.00,-0.00597,1,-0.00707,+0.00722,0.16216,+0.004,1,0.0,0.0
0.361253,0,0,0.275000,0.275000,0.2750,+0.00000,0,0,1,+0.01448,-0.09669,0.05666,162.60,0,+0.000,+0.00000,-7.918,-0.00395,-10.00,-0.00907,1,-0.01590,+0.01276,0.12375,+0.005,1,0.0,0.0
0.396693,0,0,0.275000,0.275000,0.2750,+0.00000,0,0,1,+0.01629,-0.10756,0.06136,160.64,0,+0.000,+0.00000,-7.351,-0.04992,-10.00,-0.01135,1,-0.00806,+0.00325,0.08644,+0.005,1,0.0,0.0
