t,seg,active_gate,thrust,thrust_cmd,base_thrust,vtrim,descent_on,gate_v_ok,gate_found,u_err,v_err,size_frac,cy,steer,des_roll_deg,roll_n,est_pitch_deg,gyro_pitch,des_pitch_deg,pitch_n,tube_found,u_tube,curvature,area_frac,est_roll_deg,hold_on,loop_hz,det_hz
0.019706,0,0,0.277709,0.277709,0.2750,+0.00271,0,1,1,+0.02251,-0.01693,0.08444,176.95,0,+0.000,+0.00000,-17.800,+0.00000,-17.80,+0.00000,1,-0.01806,-0.00150,0.01782,+0.016,0,0.0,0.0
0.053713,0,0,0.278048,0.278048,0.2750,+0.00305,0,1,1,+0.02237,-0.01750,0.08480,176.85,0,+0.000,+0.00000,-17.800,+0.00000,-17.80,+0.00000,1,-0.01886,-0.00152,0.01764,+0.016,0,0.0,0.0
0.087987,0,0,0.278194,0.278194,0.2750,+0.00319,0,1,1,+0.02221,-0.01783,0.08517,176.79,0,+0.000,+0.00000,-17.802,-0.00399,-17.80,+0.00000,1,-0.01976,-0.00158,0.01761,-0.001,0,0.0,0.0
0.117300,0,0,0.276602,0.276602,0.2750,+0.00160,0,1,1,+0.02110,-0.01529,0.08352,177.25,0,+0.000,+0.00000,-17.330,+0.00064,-17.80,+0.00000,1,-0.02029,-0.00163,0.01815,+0.017,0,0.0,0.0
0.147524,0,0,0.277793,0.277793,0.2750,+0.00279,0,1,1,+0.02040,-0.01703,0.08444,176.94,0,+0.000,+0.00000,-16.531,-0.00279,-17.80,+0.00000,1,-0.02242,-0.00020,0.01897,+0.017,0,0.0,0.0
0.178670,0,0,0.277781,0.277781,0.2750,+0.00278,0,1,1,+0.02040,-0.01703,0.08444,176.94,0,+0.000,+0.00000,-15.315,+0.00290,-17.80,+0.00000,1,-0.02242,-0.00020,0.01897,+0.017,0,0.0,0.0
0.208153,0,0,0.277435,0.277435,0.2750,+0.00244,0,1,1,+0.02045,-0.01647,0.08389,177.04,0,+0.000,+0.00000,-14.447,+0.00054,-17.80,+0.00000,1,-0.17588,+0.14975,0.03548,+0.016,0,0.0,0.0
0.235737,0,0,0.277737,0.277737,0.2750,+0.00274,0,1,1,+0.02015,-0.01691,0.08315,176.96,0,+0.000,+0.00000,-13.461,+0.00017,-17.80,+0.00000,1,-0.00986,-0.02029,0.12252,+0.015,0,0.0,0.0
0.263524,0,0,0.278177,0.278177,0.2750,+0.00318,0,1,1,+0.01884,-0.01764,0.08165,176.82,0,+0.000,+0.00000,-12.711,+0.00051,-17.80,+0.00000,1,-0.00406,+0.00180,0.16444,+0.015,0,0.0,0.0
0.291975,0,0,0.278402,0.278402,0.2750,+0.00340,0,1,1,+0.01593,-0.01811,0.07071,176.74,0,+0.000,+0.00000,-11.931,+0.00046,-17.80,+0.00000,1,-0.00158,+0.00116,0.17581,+0.014,0,0.0,0.0
