t,seg,active_gate,thrust,thrust_cmd,base_thrust,vtrim,descent_on,gate_v_ok,gate_found,u_err,v_err,size_frac,cy,steer,des_roll_deg,roll_n,est_pitch_deg,gyro_pitch,des_pitch_deg,pitch_n,tube_found,u_tube,curvature,area_frac,est_roll_deg,hold_on,loop_hz,det_hz
0.002841,0,0,0.277240,0.277240,0.2750,+0.00224,0,1,1,+0.02081,-0.01400,0.08370,177.48,0,+0.000,+0.00000,-17.803,+0.00000,-17.80,+0.00000,1,-0.03475,+0.00501,0.10112,+0.016,0,0.0,0.0
0.037664,0,0,0.275717,0.275717,0.2750,+0.00072,0,1,1,+0.02150,-0.01266,0.08296,177.72,0,+0.000,+0.00000,-17.803,+0.00000,-17.80,+0.00000,1,-0.02875,+0.01256,0.08931,+0.016,0,0.0,0.0
0.066713,0,0,0.276103,0.276103,0.2750,+0.00110,0,1,1,+0.02116,-0.01281,0.08296,177.70,0,+0.000,+0.00000,-17.843,-0.01601,-17.80,+0.00000,1,-0.02713,+0.01987,0.08210,+0.031,0,0.0,0.0
0.098198,0,0,0.277997,0.277997,0.2750,+0.00300,0,1,1,+0.01975,-0.01431,0.08352,177.42,0,+0.000,+0.00000,-17.213,-0.00041,-17.80,+0.00000,1,-0.02421,+0.01796,0.07266,+0.027,0,0.0,0.0
0.127563,0,0,0.278320,0.278320,0.2750,+0.00332,0,1,1,+0.01947,-0.01468,0.08370,177.36,0,+0.000,+0.00000,-16.419,-0.00002,-17.80,+0.00000,1,-0.02098,+0.01478,0.06464,+0.027,0,0.0,0.0
0.158795,0,0,0.278956,0.278956,0.2750,+0.00396,0,1,1,+0.01981,-0.01538,0.08407,177.23,0,+0.000,+0.00000,-15.311,+0.00511,-17.80,+0.00000,1,-0.02005,+0.01332,0.05940,+0.026,0,0.0,0.0
0.187227,0,0,0.282037,0.282037,0.2750,+0.00704,0,1,1,+0.02005,-0.01822,0.08535,176.72,0,+0.000,+0.00000,-14.176,+0.00161,-17.80,+0.00000,1,-0.02098,+0.01637,0.05162,+0.024,0,0.0,0.0
0.213701,0,0,0.283432,0.283432,0.2750,+0.00843,0,1,1,+0.02035,-0.01993,0.08642,176.41,0,+0.000,+0.00000,-13.295,+0.00044,-17.80,+0.00000,1,-0.01755,+0.01308,0.04228,+0.022,0,0.0,0.0
0.242275,0,0,0.282593,0.282593,0.2750,+0.00759,0,1,1,+0.02035,-0.01993,0.08642,176.41,0,+0.000,+0.00000,-12.178,+0.00101,-17.80,+0.00000,1,-0.01755,+0.01308,0.04228,+0.021,0,0.0,0.0
0.273049,0,0,0.282504,0.282504,0.2750,+0.00750,0,1,1,+0.02059,-0.02050,0.08696,176.31,0,+0.000,+0.00000,-11.604,+0.00091,-17.80,+0.00000,1,-0.00733,+0.00209,0.03580,+0.020,0,0.0,0.0
0.302021,0,0,0.283255,0.283255,0.2750,+0.00825,0,1,1,+0.01968,-0.02173,0.08749,176.09,0,+0.000,+0.00000,-10.945,+0.00073,-17.80,+0.00000,1,-0.01486,+0.01172,0.02438,+0.019,0,0.0,0.0
0.332676,0,0,0.282704,0.282704,0.2750,+0.00770,0,1,1,+0.01933,-0.02195,0.08767,176.05,0,+0.000,+0.00000,-10.120,+0.00063,-17.80,+0.00000,1,-0.01342,+0.00886,0.02087,+0.017,0,0.0,0.0
0.363112,0,0,0.282614,0.282614,0.2750,+0.00761,0,1,1,+0.01959,-0.02249,0.08819,175.95,0,+0.000,+0.00000,-9.409,+0.00056,-17.80,+0.00000,1,-0.01080,+0.00402,0.02048,+0.016,0,0.0,0.0
0.393181,0,0,0.280593,0.280593,0.2750,+0.00559,0,1,1,+0.02017,-0.02132,0.08731,176.16,0,+0.000,+0.00000,-8.897,+0.00049,-17.80,+0.00000,1,-0.01586,+0.01090,0.01986,+0.015,0,0.0,0.0
0.422311,0,0,0.279860,0.279860,0.2750,+0.00486,0,1,1,+0.01929,-0.02100,0.08696,176.22,0,+0.000,+0.00000,-8.103,+0.00042,-17.80,+0.00000,1,-0.01890,+0.01857,0.01953,+0.014,0,0.0,0.0
0.452649,0,0,0.279561,0.279561,0.2750,+0.00456,0,1,1,+0.01951,-0.02096,0.08714,176.23,0,+0.000,+0.00000,-7.680,+0.00037,-17.80,+0.00000,1,-0.02349,+0.01940,0.01770,+0.013,0,0.0,0.0
0.484369,0,0,0.279350,0.279350,0.2750,+0.00435,0,1,1,+0.01951,-0.02096,0.08714,176.23,0,+0.000,+0.00000,-7.258,+0.00032,-17.80,+0.00000,1,-0.03092,+0.02621,0.01748,+0.013,0,0.0,0.0
0.515010,0,0,0.279607,0.279607,0.2750,+0.00461,0,1,1,+0.02001,-0.02133,0.08749,176.16,0,+0.000,+0.00000,-6.847,+0.00028,-17.80,+0.00000,1,-0.04621,+0.03814,0.01617,+0.012,0,0.0,0.0
0.545587,0,0,0.279874,0.279874,0.2750,+0.00487,0,1,1,+0.02016,-0.02173,0.08767,176.09,0,+0.000,+0.00000,-6.325,+0.00024,-17.80,+0.00000,1,-0.04839,+0.03913,0.01626,+0.011,0,0.0,0.0
0.575848,0,0,0.279639,0.279639,0.2750,+0.00464,0,1,1,+0.02016,-0.02173,0.08767,176.09,0,+0.000,+0.00000,-6.010,+0.00022,-17.80,+0.00000,1,-0.04839,+0.03913,0.01626,+0.010,0,0.0,0.0
0.609462,0,0,0.279426,0.279426,0.2750,+0.00443,0,1,1,+0.02016,-0.02173,0.08767,176.09,0,+0.000,+0.00000,-5.681,+0.00019,-17.80,+0.00000,1,-0.07070,+0.06343,0.01689,+0.010,0,0.0,0.0
0.638812,0,0,0.279005,0.279005,0.2750,+0.00400,0,1,1,+0.01991,-0.02150,0.08731,176.13,0,+0.000,+0.00000,-5.332,+0.00016,-17.80,+0.00000,1,-0.14985,+0.13362,0.01991,+0.009,0,0.0,0.0
0.667150,0,0,0.278753,0.278753,0.2750,+0.00375,0,1,1,+0.02038,-0.02136,0.08714,176.15,0,+0.000,+0.00000,-5.112,+0.00015,-17.80,+0.00000,1,-0.16578,+0.07410,0.07198,+0.008,0,0.0,0.0
0.696317,0,0,0.278231,0.278231,0.2750,+0.00323,0,1,1,+0.02019,-0.02096,0.08731,176.23,0,+0.000,+0.00000,-4.766,+0.00012,-17.80,+0.00000,1,-0.03837,+0.02563,0.15499,+0.008,0,0.0,0.0
0.725191,0,0,0.278251,0.278251,0.2750,+0.00325,0,1,1,+0.02019,-0.02096,0.08731,176.23,0,+0.000,+0.00000,-4.505,+0.00011,-17.80,+0.00000,1,-0.02188,+0.01803,0.16428,+0.007,0,0.0,0.0
0.750438,0,0,0.277285,0.277285,0.2750,+0.00228,0,1,1,+0.01982,-0.02014,0.08696,176.38,0,+0.000,+0.00000,-4.350,+0.00010,-17.80,+0.00000,1,-0.02006,+0.01675,0.15273,+0.007,0,0.0,0.0
0.777535,0,0,0.276936,0.276936,0.2750,+0.00194,0,1,1,+0.02006,-0.01972,0.08678,176.45,0,+0.000,+0.00000,-4.057,+0.00009,-17.80,+0.00000,1,-0.03810,+0.03260,0.11654,+0.006,0,0.0,0.0
0.804933,0,0,0.277616,0.277616,0.2750,+0.00262,0,1,1,+0.02028,-0.02014,0.08696,176.38,0,+0.000,+0.00000,-3.852,+0.00008,-17.80,+0.00000,1,-0.10452,+0.09624,0.07471,+0.006,0,0.0,0.0
0.833542,0,0,0.277713,0.277713,0.2750,+0.00271,0,1,1,+0.02028,-0.02014,0.08696,176.38,0,+0.000,+0.00000,-3.693,+0.00007,-17.80,+0.00000,1,-0.10452,+0.09624,0.07471,+0.006,0,0.0,0.0
0.864259,0,0,0.278531,0.278531,0.2750,+0.00353,0,1,1,+0.01928,-0.02077,0.08553,176.26,0,+0.000,+0.00000,-3.486,+0.00006,-17.80,+0.00000,1,-0.18300,+0.16415,0.03618,+0.005,0,0.0,0.0
0.892079,0,0,0.273459,0.273459,0.2750,-0.00154,0,1,1,+0.01950,-0.01647,0.08352,177.04,0,+0.000,+0.00000,-3.393,+0.00005,-17.80,+0.00000,1,-0.17194,+0.15727,0.01526,+0.005,0,0.0,0.0
